"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Sarah McKenzie";2019-07-15;208773;"Quoi, Quoi, Quoi";43;"2015-09-18";"5HOeQ6IXZTpbwlqSKstF3v"
"Orkesta Mendoza";2019-07-15;210474;"Cumbia Volcadora";34;"2016-10-07";"5kzf33zenaCtVddBWu9ek5"
"Pierre Barouh";2019-07-15;276720;"Samba Saravah";53;"1966";"4GU4TR3nIDycmrQyGE7wpk"
"Calexico";2019-07-15;167760;"Flores y Tamales";36;"2018-01-26";"5IrtNFutIxyCHqtbmBhOt2"
"Carmen McRae";2019-07-15;181493;"The Sound of Silence";45;"2005-05-17";"2Bny0aown7avMvSdGJC07u"
"Kočani Orkestar";2019-07-15;369906;"Papigo";8;"2008-01-01";"6iemK95mkCYpayl3UZmyik"
"Luke Winslow-King";2019-07-15;183746;"Moving On (Towards Better Days)";33;"2013-04-23";"2hYR7KyuL4GiapJL1WWEO1"
"Allen Toussaint";2019-07-15;279880;"Egyptian Fantasy";29;"2009-01-27";"3zcTpC2o6RtnpfYTjN4Jzy"
"Zaz";2019-07-15;165666;"Comme ci, comme ça - Sur la route Live 2015";25;"2015-10-30";"7H3c8NdGjNFruFiJ00iqL0"
"Dave Brubeck";2019-07-15;174573;"Take Five - Studio Rio Version";43;"2014-05-12";"7C0b904Xo4njmQPI0gvcfw"
"The Rosenberg Trio";2019-07-15;238200;"Songe d'automne";40;"2007-06-05";"0vN2kv5uBDKL6BYkjQ4GUn"
"Amsterdam Klezmer Band";2019-07-15;311986;"Sadagora Hot Dub - Remixed by Shantel";37;"2006-03-31";"5LjkNrn1rnhAk0dimZGrk5"
"Raphael Gualazzi";2019-07-15;234626;"Reality and Fantasy";0;"2011-10-18";"1g8KV6wvC14yMgb7jxGfg1"
"Adriana Calcanhotto";2019-07-15;145773;"Clandestino";41;"2000-04-17";"5rZSelFMehsRmVV0wBlqTR"
"Benjamin Biolay";2019-07-15;222880;"Palermo Queens";25;"2016-04-22";"2zk1olSlLWH2g3aovDUFul"
"Scissor Sisters";2019-07-15;272386;"Take Me Out";44;"2004-01-01";"6GuX0WFDPkeZ7N5zwgE5Fp"
"Tok Tok Tok";2019-07-15;278506;"Walk on the wild side";51;"2005-01-17";"0ZnfdSj8QzEIZxVSaKkMYX"
"The Lost Fingers";2019-07-15;228626;"Part-Time Lover";39;"2009-01-27";"0sd9j1AlDnhEWmTbkkzmdx"
"Hindi Zahra";2019-07-15;235053;"Imik si mik - Remastered Version";0;"2009";"3SCQOw6RtHMq3E4fqke8cE"
"Yma Sumac";2019-07-15;201333;"Bo Mambo - 1999 Digital Remaster";31;"1999-01-01";"0zF23nMYVx8FafTe4YPHa9"
"Ibrahim Maalouf";2019-07-15;401000;"Maeva in Wonderland";38;"2011-10-26";"6MdotbtdYEV60UBsFtWAMA"
"Dancing Mood";2019-07-15;244960;"A Night In Tunisia";34;"2004-06-01";"0lCstQiMFFAg35bv4DhvOa"
"Rodolfo Y Su Tipica";2019-07-15;239466;"Tabaco y Ron";26;"2012-04-16";"3f2vGfuy9m5nsrlhYHuOwM"
"Márcio Faraco";2019-07-15;201807;"Paris";54;"2014-08-25";"7un05z7dVN0agNGXD6G8Yq"
"Luiz Henrique";2019-07-15;184173;"Mas Que Nada";40;"1967-01-01";"39vj4Cqr8ATohv2EMcBMkv"
"Hazmat Modine";2019-07-15;363960;"Bahamut";28;"2002-08-28";"2Z1JKjeB26Eqqu6c0hZJUA"
"Eliane Elias";2019-07-15;255186;"Oye Como Va";44;"2006-08-22";"2kbn1xuLBYfxgsZbaIxzGO"
"Iggy Pop";2019-07-15;126720;"La Vie En Rose";0;"2012-05-07";"4wA1r8k370ukr6CdgytGBX"
"Plaza Francia Orchestra";2019-07-15;238535;"La Mano Encima";0;"2014-03-28";"74hwcEV6H1bpSOCVynvRh6"
"Bibi Tanga & The Selenites";2019-07-15;228053;"My Heart is Jumping";48;"2012-07-10";"2MyDwO5ntcPy3atnYtALqZ"
