"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Pau Vallvé";2022-10-31;197701;"Això ja està";41;"2022-10-21";"72ICKTcVDZIfQiSIHUKmTR"
"Morgan";2022-10-31;243910;"River";42;"2021-10-15";"3A2mrqzzNIk6QITjTTf9ao"
"Muerdo";2022-10-31;217253;"A volar (feat. Lido Pimienta)";42;"2021-03-05";"4evmLCkaMMRzMxZXHYHG3H"
"Judeline";2022-10-31;126592;"señal • atardecer";40;"2022-01-14";"378yGSuUhqGyPCsI3eWzFK"
"Las Dianas";2022-10-31;181205;"Leggins Rotos";29;"2021-10-08";"6WjosRVMn4vFuwzDHAln2m"
"Oques Grasses";2022-10-31;219840;"Petar-ho";52;"2021-05-28";"4iY5ndG0MkayVdJoN5iapM"
"Koers";2022-10-31;188468;"El Teu Amor";19;"2022-03-18";"2odbzFhCm6B2nAX72ssdWV"
"Aterciopelados";2022-10-31;207580;"Síganme los Buenos";37;"2022-03-18";"2rW21cjOMIZYEneQKO74Gm"
"Claire Laffut";2022-10-31;211506;"MDMA";41;"2021-09-03";"6fpbdcvp2uiG3K28AaweQN"
"Juanita Euka";2022-10-31;291786;"Alma Seca";37;"2022-03-25";"27YMkY29ejf68IpDywP91w"
"iolanda";2022-10-31;195312;"Contigo";29;"2022-07-29";"0AilYfQz054x9NjzmIgiik"
"La Bien Querida";2022-10-31;265043;"Llorando Por Ti (Banda Sonora Original ""Todo Lo Otro"")";28;"2021-11-28";"7eoFeduvdejcB9j28FL0fh"
"Maio";2022-10-31;205560;"Precari-eté";29;"2021-11-26";"4JOIUth9caq0jZatJKdTmT"
"Mueveloreina";2022-10-31;158910;"Défense";31;"2016-11-28";"2zTusXdFGB2NXOHkQjhVUB"
"Merina Gris";2022-10-31;211978;"sAIATZEN nAIZ :)";9;"2022-03-11";"1JbIFQ1DWYe7ZGnnmuXrEi"
"Javiera Mena";2022-10-31;201874;"Culpa";24;"2022-09-30";"5vU4ilAXgThxcO2wEuPuk3"
"DGALÁN";2022-10-31;200577;"Feel It - B.S.O. Rainbow";18;"2022-09-23";"5vaV6rbT69hnWyIUuDRXzL"
"Raquel Lúa";2022-10-31;158093;"La Parca";18;"2022-03-25";"2x0pEeEkyLY83L4fxTzlZA"
"Ruzzi";2022-10-31;221133;"Cariñito";48;"2021-07-02";"3EhNobcvRpbFTQO8aZFfDJ"
"Electrocute";2022-10-31;153065;"You Love It";28;"2020-12-02";"73MRmfgJIIN0PRR10fGTvt"
"Carlos Sadness";2022-10-31;187561;"Perreo Bonito";54;"2022-08-10";"36mS7QJlFRmi3Pcw0yikxc"
"LA ÉLITE";2022-10-31;193500;"Nuit Folle";34;"2021-11-04";"4DCGaJQuKbrNasITP3W1rQ"
"Figa Flawas";2022-10-31;203428;"La Tabarra";48;"2022-05-13";"0IG2cEpRMz95FXNUTCU0ch"
"Parcels";2022-10-31;321466;"Somethinggreater";56;"2021-11-05";"2FJj7NVoRCAwjFus0O1BXd"
"Zahara";2022-10-31;234906;"DOLORES (REPUTA)";29;"2022-09-23";"491sP7df1GOav6dScCJ4yk"
"Raffaella Carrà";2022-10-31;188426;"Rumore";46;"2011-07-19";"5mDT47zB2qvrP0yh2b9Ef8"
"BALMA";2022-10-31;207763;"X083";31;"2022-07-07";"4IcnrkxiA5YtKsF22x6h30"
"Cocanha";2022-10-31;136040;"Dempuèi auriac";35;"2016";"0e0D3S0kz3y9QWXvu7AR5g"
"Guitarricadelafuente";2022-10-31;193131;"La Filipina";48;"2022-05-06";"3BDwyojdwMAmBEsXZlyQjW"
"Mannarino";2022-10-31;231000;"Africa";42;"2021-09-16";"5qVPNtGyrqRcsvmf011CEb"
