"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Ana Prada";2020-03-30;256092;"Mandolín";39;"2009-12-03";"0V35ZCP0qEVf1fHdgIelTD"
"Rosa Zaragoza";2020-03-30;236786;"Rumbita del Sano Amor";40;"2011-11-14";"1KquopilPVG7rbSuE0Zqdv"
"Ramon Mirabet";2020-03-30;248426;"For the Lady";5;"2016-07-01";"0YMRdWgAYRXYpKv12Qx7en"
"Aziza Brahim";2020-03-30;231640;"Baraka";38;"2016-03-04";"1TVWhiqo2BlNO1rxB1exn3"
"Onda Vaga";2020-03-30;200453;"Havana Affair";0;"2008-01-01";"0p7UqQIXTkyTKcDVsL1cyy"
"Sergent Garcia";2020-03-30;537066;"El Regreso";33;"2003-09-26";"7AJvocGmrVjuvTv5sUYzEL"
"Curtis Harding";2020-03-30;191533;"Till The End";42;"2017-10-27";"3Can2qB9S1pOcElpkfExB1"
"Vieja Trova Santiaguera";2020-03-30;159680;"La Vida Sigue Igual";35;"1998";"0pTHZMeercs65EFh1FVvkh"
"Chico Trujillo";2020-03-30;249553;"Caleta Vargas";27;"2012-06-02";"2F8FyUjk8G8twPQhNgdNt1"
"Chalart58";2020-03-30;187500;"Woman Soldier";37;"2017-04-21";"4FW77B4kiziEpmknU8v0yI"
"Holy Piby";2020-03-30;334693;"My Time";33;"2004-01-01";"57jStHjPbJFKNGKKhzQ3pR"
"Afro-Cuban All Stars";2020-03-30;396440;"Amor verdadero";55;"1997-04-09";"3mjwCWLCCtHiEv0Ttek5zT"
"Kitai";2020-03-30;180000;"Riviera Maya";28;"2017-10-27";"3scX4Y6M22PbSHOLuvPxCN"
"Rolando Bruno";2020-03-30;225546;"Thai Cumbia";0;"2015-10-16";"2gDdbDdziYhGa1JOzUNFNM"
"Buika";2020-03-30;251920;"Jodida pero contenta";37;"2005-02-21";"3Vnz6dAmTvAUfAirAbuhmC"
"LADAMA";2020-03-30;226405;"Porro Maracatu";28;"2017-09-08";"0ZS5LZAEaWFcZEpdqwwub6"
"Gaye Su Akyol";2020-03-30;245335;"Laziko";19;"2018-10-26";"4DHpjemlsxMaiKjTYlK9aF"
"Juan Wauters";2020-03-30;328989;"Guapa";0;"2019-01-25";"7vnOLMJbcoOeotQTWw2Gkx"
"Sofía Viola";2020-03-30;201186;"Caca en la Cabeza";32;"2010-01-01";"2kk6T2HCYPDoUcAqBry7zT"
"Elenitakatá";2020-03-30;230533;"Verte Más";0;"2018-09-30";"0hUC3GnruIVMF3KMQBlHIe"
"Pepet I Marieta";2020-03-30;333053;"Poliamor";17;"2020-01-17";"5C8xPMEdAbDseKCYWAOWJE"
"Rosal";2020-03-30;168228;"Bombón";30;"2006-08-01";"2XqnaBT4dXBKSq5NBy4WDi"
"Josemi Carmona";2020-03-30;403000;"Morente Habichuela - Alegrías";37;"2016-03-18";"2pdYwg9y5DyRnhwQynk59A"
"The Tyets";2020-03-30;248267;"Me Escapé Con un Trompetista";39;"2019-08-07";"2VztDdL9VJIfZDBKVCI5RQ"
"Carmen Boza";2020-03-30;193232;"Mantra";27;"2018-05-11";"7DTjwf735BXLlAYHUjCoUm"
"Pupil·les";2020-03-30;236976;"Domini Màgic";28;"2019-04-11";"54PRh9c2hX1rrXXOUgrz7X"
"Senyor Oca";2020-03-30;242727;"Som Gent de Carrer";0;"2017-08-01";"5SGNCKE80rRS5WfNBwSPse"
"Malena Muyala";2020-03-30;323066;"Pasos";34;"2006-01-02";"1pMNh3OgDHDxu8HnHZhxS6"
"Siniestro Total";2020-03-30;207866;"España Se Droga";26;"1995-05-22";"1Z5rqTqg5Te1faPiPvwurT"
"Koers";2020-03-30;182646;"Fins al final";0;"2017-11-24";"7dAHccblJLdvj8G1gwuHdm"
