"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Club del Río";2020-05-11;224527;"Bahama Mamma";31;"2018-05-04";"0P6OH9tup0LkVgyZ1XEpjQ"
"Colectivo Panamera";2020-05-11;200106;"Hacia el sur";34;"2018-07-03";"34iCmUTsT7EM23TWQPGryl"
"Morgan";2020-05-11;365433;"I'm Gone";26;"2018-09-28";"13jKXhuUCdJIdTjlUHumbr"
"Jorge Drexler";2020-05-11;234360;"Milonga del moro judío";46;"2004-03-08";"5iy3qKctiZAsvb2ORx8vR7"
"Selton";2020-05-11;210600;"Across the Sea";14;"2013-11-18";"65ik3UdofL2Ic3fI7urcq6"
"El Diluvi";2020-05-11;144133;"Alegria";0;"2015-04-09";"02kasGaodvRjhjaYvCXiBP"
"LUIS BREA";2020-05-11;270200;"Automáticamente";35;"2012-02-14";"0A70PowNigoOb9xT8zkVb1"
"Chancha Via Circuito";2020-05-11;237006;"La Victoria";0;"2018-06-08";"76BZ7Sf6cZOweCJNHB0uiY"
"ZOO";2020-05-11;277088;"Robot";35;"2018-12-31";"7ycBgoUvGGG9yf3PTvqrlT"
"Califato ¾";2020-05-11;280000;"Buleríâ del aire acondiçionao - Versión Maxi";0;"2019-12-04";"5VjrN9E9tdamrLfgPEyyoD"
"Meridian Brothers";2020-05-11;258709;"La Policia";0;"2018-11-02";"2O2pJmJXODOgWlusTaulLm"
"Burning Caravan";2020-05-11;304949;"Jardín Secreto";39;"2013-12-31";"1MWn72n9t1mmlk0F4fjBSC"
"Family";2020-05-11;173826;"Viaje A Los Sueños Polares";40;"1993-12-01";"0XmSVwHuTHRnwy8pvfD0vs"
"TéCanela";2020-05-11;182037;"Mi Yo Cabrón";0;"2017-12-15";"7tnWl6gNdf7lFfTjEJjGB5"
"Gramophiles";2020-05-11;226857;"Tamborito - Gramophiles Edit";47;"2018-03-24";"1c3VDWurS8nwHh0ZIZjXTR"
"Grupo de expertos Solynieve";2020-05-11;132520;"¿por Qué No Te Largas de Aquí?";0;"2012-01-17";"7eJ2EksDMy1UmUJCYrHGzt"
"Kokoroko";2020-05-11;584478;"Colonial Mentality - Live";24;"2017-04-30";"6bDQC7CqpashYevSKaSXDE"
"Gustavo Cerati";2020-05-11;269040;"Sulky";51;"2002-11-11";"46Yq9oqsaZJb9ahoMk9iVd"
"Seelenluft";2020-05-11;258906;"Horse with No Name";38;"2015-12-04";"0Oq378bfundyQtM8cIRXQW"
"Mastodonte";2020-05-11;358983;"Redencion";25;"2018-11-14";"5CRuvcvAQ7lsW02ac0TfPC"
"Arturo O'Farrill";2020-05-11;536309;"Bebochicochuchoturo";25;"2017-08-18";"1SqBgxgGA4HrqCEv03Mf7I"
"Ava Rocha";2020-05-11;264971;"Transeunte Coração";27;"2015-07-07";"2HFGTNDjkouorM2wguYVFD"
"Andrew Bird";2020-05-11;389160;"Bloodless";48;"2019-03-22";"2xQ1WHVV0MdVSRkpND5P51"
"Clea Vincent";2020-05-11;168858;"Samba";55;"2017-04-22";"3qZJMIZSBdDlHHeQvd22vN"
"Los Chikos del Maiz";2020-05-11;302560;"El Extraño Viaje";31;"2019-10-04";"5HAzBAmrDW7SkuzYVq9XKm"
"Capablanca";2020-05-11;653614;"No Hay Ritmo";0;"2011-09-01";"5wWmQnImAjg4H3KHwWLa5d"
"Marlango";2020-05-11;183453;"Dime Que Llegaremos Lejos";29;"2018-09-28";"4wqIXf054PhBdCo56ElP4I"
"Viva Suecia";2020-05-11;166908;"Hoy Empieza Todo";54;"2018-03-09";"59f1VVLWEutPoTheYjkvIb"
"ELYELLA";2020-05-11;203328;"Get Away";32;"2017-10-27";"30TmNgV0EyTrp4wDZcatle"
"Jungle Fire";2020-05-11;198800;"Tropicoso";35;"2014-09-30";"481L9QkG0QiHGYBkDzqqsz"
