"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Amatria";2024-04-28;203706;"La tierra del lince";30;"2023-11-17";"0tqrcl0TrH3mh8jsiTHfCJ"
"Juls Cattáneo";2024-04-28;224000;"Animal";49;"2019-07-18";"7MG9d6mqOXNooyvji5eAR5"
"Las Migas";2024-04-28;225241;"La Cantaora";38;"2022-04-22";"19jNb5wI882LyuXQX8RMXo"
"Tape Five";2024-04-28;122622;"Tequila - Gardener Of Delight Radio Mix";33;"2015-10-26";"416kf9xtg62YZRoeT5jXXt"
"Joe Strummer";2024-04-28;372560;"Mondo Bongo";55;"2001";"0rrfglB0AfiuyeFjbwZWUE"
"Ketekalles";2024-04-28;195991;"La Música";29;"2023-10-05";"4X7cAnv56SV8bCKoTBEYB0"
"Marisol";2024-04-28;152040;"Tómbola";36;"1961-12-17";"0DqSFHn7l8lYqyAehQ2WGR"
"Ska Cubano";2024-04-28;188386;"Lupita";29;"2010";"7qfCYynbJSqc6OzpLQwRy6"
"Astola y Ratón";2024-04-28;174453;"No Hay Miedo";45;"2020-04-09";"7CyyNGBN2gxmNjfj5jx0Vj"
"Sierra Maestra";2024-04-28;122240;"Marieta";50;"1997-11-03";"0sBZusCQsXx3gERsOGyeOD"
"Muerdo";2024-04-28;211493;"Vas a encontrarte (feat. Guitarricadelafuente) - Acústica";46;"2020-01-17";"49r4PlotqmoaXEeEM9j1ku"
"Ricky Hombre Libre";2024-04-28;188248;"Freedom";32;"2017-04-25";"1F5h6ZPVoUPmSaiHTqdywD"
"Ginebras";2024-04-28;178274;"Ansiedad";42;"2023-03-24";"1sbuiA6muqHf3S3sbe58O3"
"Rigoberta Bandini";2024-04-28;237812;"Miami Beach";44;"2023-05-19";"3eMcXYzlOOtbazCsrZE7b9"
"Drugos";2024-04-28;182000;"Artemisa";30;"2023-11-17";"7ad2OM3qlo36mxVnOYg3dz"
"Raül Refree";2024-04-28;131506;"Seeds of Freedom";28;"2018-10-01";"55mpYFZNTBOYBy7fiIW3PE"
"Guillem Roma";2024-04-28;213493;"Despedida";30;"2019-12-27";"0urJkwPlJ9xjYHMx0PvLXU"
"The Cat Empire";2024-04-28;258573;"Still Young";50;"2013-05-17";"7Blq3llvFZhKNAZvj6XwWg"
"Sr. Chinarro";2024-04-28;153573;"Del Montón";32;"2006-01-01";"5n8o995tehQVgJI1sZER6a"
"United Flavour";2024-04-28;252093;"Lorenzo y Catalina";30;"2007-06-20";"0X4yckAfY2HO8AAxOBeKdq"
"PUTOCHINOMARICÓN";2024-04-28;127866;"Tu Puta Vida Nos Da (Un Poco) Igual";28;"2018-04-20";"3a2ZZYOBT3IjMSJ6Gd4LSn"
"Della Reese";2024-04-28;170040;"Come-On-A-My House";33;"1959";"53RAFRGPbPm62H3Usq0lOm"
"The Refrescos";2024-04-28;217626;"Aquí No Hay Playa";52;"1989-01-01";"7jaz1BgGyjVENL2vpkbR7L"
"Leftover Cuties";2024-04-28;130153;"When You're Smiling (Bonus Track)";28;"2009-02-21";"547yFW97CJmD0gW6sOkZTu"
"Melendi";2024-04-28;229308;"Lágrimas desordenadas";64;"2012-11-13";"1J83k6qJHhtXaexpnJzoqr"
"Girls from Mars";2024-04-28;185373;"Bei Mir Bist Du Schoen";26;"1999";"4zRPu8dUoqVwV1C55Mus8u"
"Pink Turtle";2024-04-28;189066;"Maniac";28;"2010-09-01";"2p1vZjBNGuLTU8JiDPmdWv"
"Love of Lesbian";2024-04-28;220628;"El mundo";34;"2021-04-16";"0JZ2SeWiwq3mk7Po6yIeF8"
"Kelvis Ochoa";2024-04-28;174861;"A Ella Le Duele";27;"2012-01-01";"3XWyRmklJmcVEH2n3YQZI4"
"The Coasters";2024-04-28;201990;"Down In Mexico";48;"2014-10-13";"0Ce9yTiZdzpv9kIdELQKIg"
