"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Toots & The Maytals";2019-10-14;245986;"Funky Kingston";31;"2004-01-01";"6ODiIJASdmYZwoyhLhUz7c"
"Baden Powell";2019-10-14;220244;"Canto de Ossanha";36;"1966-05-26";"4wfmncWQNUgblCu0XV4xKp"
"Gertrudis";2019-10-14;171626;"No sé si";41;"2011-04-12";"3anxwbzpohzyG9thgJtNQh"
"Alfredo Rodriguez";2019-10-14;194706;"Ay, Mamá Inés";41;"2016-03-04";"1e2GBOtPyLu7iuNm4EvFKG"
"Joe Bataan";2019-10-14;215953;"I'm Satisfied";21;"1972-12-31";"2W0Nz1zGl036Iy3K4SnbMb"
"Los Silvertones";2019-10-14;218226;"Tamborito Swing";0;"2010-03-01";"0x6Yvd5CKVaER5htkGOmjE"
"Helen Merrill";2019-10-14;140466;"Why Don't You Do Right - Live";20;"1961-09-20";"3rK43m2RmQENIWBnfgTokY"
"Sabu";2019-10-14;339960;"El Cumbanchero";21;"1957";"0yPE5s2h0XF9Umc6ENEKE8"
"Mulatu Astatke";2019-10-14;194293;"Yègellé Tezeta";0;"1969";"1YaUAkNsLKXtJfb0FVZcyu"
"Newen Afrobeat";2019-10-14;811626;"Santiago";0;"2014-08-15";"60XC21RghW30sUhWg8aAai"
"Motivés";2019-10-14;270666;"Hasta Siempre";32;"1997-04-01";"4WNsQtcIiGWu3oRrEsdcLp"
"Maria Rodés";2019-10-14;259373;"Ay Pena, penita, pena";0;"2014-02-24";"2n1NOGDoPY1QieAEeaIH4d"
"The Souljazz Orchestra";2019-10-14;580746;"Kapital (Remastered)";31;"2008-10-07";"6GFkTFnxYxlfb7oC94zr1U"
"Playing For Change";2019-10-14;246066;"Chanchan Son (Chan Chan)";14;"2018-07-06";"1CKbKJvpugd914Y1zw8QaZ"
"The Gramophone Allstars";2019-10-14;275520;"He Perdido Contigo";0;"2011-09-26";"1LsKVGkOrBrizfjZiJRxZL"
"Alexis HK";2019-10-14;239653;"Les Affranchis";30;"2009";"0pSd3qpihu7fIv4hcZ3JeQ"
"Sages comme des sauvages";2019-10-14;213107;"Mon commandant";32;"2015-09-18";"4n1hh1PK4rTUBNyRGdfvkv"
"Aurelio";2019-10-14;205072;"Nafagua";0;"2015-05-01";"4X7kDkmya4KmYTPM4albiP"
"The Lions";2019-10-14;273626;"Think (About It)";0;"2008-02-19";"39e7EWAZRPiCWgXT5oWaZD"
"Jeanne Moreau";2019-10-14;203573;"Quelle histoire";31;"1998-01-01";"7uzZRu1T0i14kICtviB9x7"
"George Guzman";2019-10-14;247053;"Marilu";36;"1968-01-01";"6jP4TUoDIjzM85nWsPdFgb"
"António Zambujo";2019-10-14;188587;"Guia";27;"2010-01-01";"0bWizoTgY6WWM6on7p9pEP"
"Nicola Conte";2019-10-14;316264;"Maria Moita";35;"2007-06-19";"3RtU64F1BJwkP5lMrWIE7G"
"Guillermo Portabales";2019-10-14;151493;"Cumbiamba";48;"2019-10-04";"0j3Xcy5W9nwjpmN4zfnxtS"
"Freak Power";2019-10-14;288640;"Moonbeam Woman";39;"1994-01-01";"30CvHpK3jlKpgndhjOx3n2"
"Stevie Wonder";2019-10-14;163066;"Bang Bang (My Baby Shot Me Down)";28;"1966-11-01";"1MB4UsW8MUMLMRxuNsXpDm"
"LUIS BREA";2019-10-14;210612;"Dicen por Ahí";45;"2013-02-25";"2P1uLWPSXcfpTgxNQvHp73"
"Ben Harper And The Innocent Criminals";2019-10-14;269306;"Suzie Blue";38;"1999-09-21";"51B1RzotO05EShjth3xkOZ"
"Mercedes Sosa";2019-10-14;236400;"Balderrama";17;"1999-01-01";"6948N2H1SAECTPOhWyphZA"
"Compay Segundo";2019-10-14;220653;"Hasta siempre, Comandante - Directo RNE";44;"2007-10-30";"3J6Q5Tw2OCdvibnQBZkvGq"
