"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Juls Cattáneo";2023-10-29;224000;"Animal";51;"2019-07-18";"7MG9d6mqOXNooyvji5eAR5"
"Renato Carosone";2023-10-29;208826;"Tu Vuo Fà L'Americano";58;"1995-01-01";"5p0CwCbZi2nz48COtYJPz8"
"The Cat Empire";2023-10-29;258573;"Still Young";52;"2013-05-17";"7Blq3llvFZhKNAZvj6XwWg"
"Muerdo";2023-10-29;211493;"Vas a encontrarte (feat. Guitarricadelafuente) - Acústica";49;"2020-01-17";"49r4PlotqmoaXEeEM9j1ku"
"Della Reese";2023-10-29;170040;"Come-On-A-My House";36;"1959";"53RAFRGPbPm62H3Usq0lOm"
"Hindi Zahra";2023-10-29;265400;"Beautiful Tango - Unplugged";58;"2009";"6D8piOqptylpneNaEcBiaM"
"Tape Five";2023-10-29;290750;"Tequila - Gardener Of Delight Extended Mix";29;"2015-10-26";"416kf9xtg62YZRoeT5jXXt"
"María Jiménez";2023-10-29;247880;"Con Dos Camas Vacías";51;"2002-01-01";"4j89DqadD1mU277shXYG8F"
"Hot 8 Brass Band";2023-10-29;533000;"Sexual Healing";45;"2007-10-15";"4Wt275jWR86DOTn7zgVWFR"
"Joe Strummer";2023-10-29;372560;"Mondo Bongo";55;"2001-07-24";"6lIixubBXRvyfGMFiiDN7B"
"Leftover Cuties";2023-10-29;130153;"When You're Smiling (Bonus Track)";28;"2009-02-21";"547yFW97CJmD0gW6sOkZTu"
"Rupatrupa";2023-10-29;338293;"Rara Bien";58;"2017-03-20";"1Pv5YKIRFMpZ8gJ5dANS2g"
"Guitarricadelafuente";2023-10-29;240531;"A Mi Manera";58;"2022-04-22";"2LCxdI17sy3zG5FG7RwXHs"
"Sen Senra";2023-10-29;200759;"Flowers";32;"2015-02-11";"125Qf2BPB1VmjPVt1z9WBk"
"Las Migas";2023-10-29;225241;"La Cantaora";39;"2022-04-22";"19jNb5wI882LyuXQX8RMXo"
"Shocking Blue";2023-10-29;187533;"Venus";67;"1969";"2vbAImlNuDjPBMdU6T1oRQ"
"Guillem Roma";2023-10-29;213493;"Despedida";30;"2019-12-27";"0urJkwPlJ9xjYHMx0PvLXU"
"Santero y Los Muchachos";2023-10-29;215493;"Carretera de El Saler";30;"2022-03-11";"0cGzD3kBYbOd0B6TZzQ4ee"
"Chukky";2023-10-29;198442;"Ojos Enormes";38;"2020-03-26";"7Gqx4sWaPP7zet5Rvvs5ZH"
"El Kanka";2023-10-29;219146;"Me Gusta";52;"2015-11-13";"4Au1uBJOkLcsLf9WLWVif9"
"Ska Cubano";2023-10-29;154640;"Istanbul (Not Constantinople)";30;"2005-06-10";"6dGWSlqez8ptLOJBCt1ymW"
"Paris Jazz Club";2023-10-29;373075;"Moonlight serenade";30;"2019-01-18";"0eykbcH3fC0QqqZ3WGHSjq"
"-M-";2023-10-29;190973;"Belleville rendez-vous - Version française";39;"2010-05-14";"1HTooPlkTxGohRy43IvZ3c"
"Ginebras";2023-10-29;159773;"Alex Turner";44;"2023-03-24";"1sbuiA6muqHf3S3sbe58O3"
"Lila Downs";2023-10-29;264013;"Zapata Se Queda (with Celso Piña & Totó la Momposina)";51;"2011";"08W9jeGlT5X9BtJkqqFu0O"
"Marisol";2023-10-29;169813;"Estando Contigo";31;"1961-12-17";"0DqSFHn7l8lYqyAehQ2WGR"
"Lágrimas De Sangre";2023-10-29;340253;"Buen Viaje";49;"2015-04-27";"5K54nmMoME2qVBK4KwF1WE"
"The Refrescos";2023-10-29;217626;"Aquí No Hay Playa";54;"1989-01-01";"7jaz1BgGyjVENL2vpkbR7L"
"Salvador Sobral";2023-10-29;117283;"After You've Gone";9;"2017-09-15";"2hIlNlmLP9BEHEV0WczQhD"
"Lin Cortés";2023-10-29;214456;"Yo Te Encontraré (Banda Sonora Original)";37;"2021-10-22";"4hd1SHrGvhG8LjIoT6pPH2"
