"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"The Dave Brubeck Quartet";2019-08-05;324133;"Take Five";69;"1959-12-14";"0nTTEAhCZsbbeplyDMIFuA"
"Gerald Toto";2019-08-05;183226;"Ghana Blues";32;"2015-04-27";"28rNJjo7RDgAV7Uscjv67T"
"Camille Yarbrough";2019-08-05;253573;"Take Yo' Praise";0;"1975";"3q5BYgFAEAkSble4dewhSC"
"Chinese Man";2019-08-05;246827;"Jumpin' in Havana";39;"2009-04-01";"5sG4aODV6qWPX0J7omBcnC"
"Gabin";2019-08-05;441120;"Doo Uap, Doo Uap, Doo Uap";0;"2013-01-01";"551s0xsGb3O6mzJFfOZ6Qg"
"Kevin Johansen";2019-08-05;290666;"Sur o No Sur (feat. León Gieco)";42;"2003-11-04";"2pbdnwDbOlbtJG3yZuCqkq"
"Chlorine Free";2019-08-05;231760;"D'fish";25;"2011-11-07";"0FY5QSm5vfycLeFYgf3Pn3"
"Chicha Libre";2019-08-05;273760;"Gnossienne No. 1";0;"2008";"1gbenbhLRcuY5PaLmRrlPt"
"Taggy Matcher";2019-08-05;235949;"Sugar Man";35;"2014-11-28";"6ME2dfYLPusdWevj5vsula"
"Novalima";2019-08-05;281904;"Beto Kele (Nosotros Somos)";0;"2015-06-16";"4scLJNWLmJMrMRvsp6mg80"
"Nino Ferrer";2019-08-05;203146;"La rua Madureira";50;"2004-01-01";"5M6ImA7adD4TpBV5wFq7DG"
"Jamie Cullum";2019-08-05;274073;"When I Get Famous";36;"2013-01-01";"4CAfF5JPPvnHlJ3mrvQfbe"
"Metropolitan Jazz Affair";2019-08-05;286813;"Yunowhathislifeez - Motorcity Mix";43;"2008-04-04";"4VF2p5mjVJ2e7hagTHvtHT"
"Dave Pike Set";2019-08-05;223573;"Mathar";47;"2014-01-31";"1XPvt5RaiwJvNsI5IKhAPC"
"Art Blakey";2019-08-05;441533;"No Problem - Pt. 1 / BOF ""Les liaisons dangereuses""";25;"1988-01-01";"6DKLm7OPr3leY45N2F5Fbz"
"Tété";2019-08-05;264066;"Eleanor Rigby";41;"2001";"4VVAoEKNpdeKpOoQE5NqSW"
"Kellylee Evans";2019-08-05;225613;"And So We Dance - (Alors On Dance)";29;"2013-01-01";"38uhvO0JwPThaZQRsPjpj8"
"Spanky Wilson";2019-08-05;208480;"Don't Joke With a Hungry Man, Pt. 1";41;"2006-10-02";"2olsXUlqTtaZDyYj6qoDa5"
"Me and My Friends";2019-08-05;450240;"All That Is You";0;"2016-08-26";"7bgB72uTd9YMoWeqdV9Bbe"
"La Caravane Passe";2019-08-05;203186;"T'as la touche Manouche";0;"2013-04-01";"22gIJ7lvoMxK5HpECjcea3"
"The Jolly Boys";2019-08-05;215066;"Perfect Day";0;"2010";"6PWVZZUzshbx3s4bg1UDsw"
"Jacques Renault";2019-08-05;283840;"Piano's On The Beach";1;"2009-12-14";"6nr7tzTVQG6GEA0z4JUMLV"
"Machito";2019-08-05;195786;"Ay José";10;"1963-12-31";"4gUKAZpLRdElvmtlMWazy5"
"Boozoo Bajou";2019-08-05;296493;"Killer";0;"2005-08-22";"2Jxjh6Z9QBbXNlwDZO6pzl"
"Miles Davis";2019-08-05;281240;"Chocolate Chip";34;"1992-06-26";"28IDISyL4r5E5PXP0aQMnl"
"A Man Called Adam";2019-08-05;343676;"Yachts (feat. Chris Coco)";41;"2011-06-13";"6iSKjUQTZUnnRipZwKtfrf"
"Tom Waits";2019-08-05;184533;"Ice Cream Man";46;"1973-03-06";"67F2ya9fonXH0jVVgLa7sb"
"Blundetto";2019-08-05;236760;"Nautilus";0;"2010-06-07";"3gayu58nRRL9fDpd5Az8kz"
"Aṣa";2019-08-05;328506;"Fire on the Mountain - Live";23;"2009-08-31";"5aGqELUjONXlwZJlIB16Q6"
"Curumin";2019-08-05;214573;"Tudo Bem Malandro";0;"2002-12-10";"4NQdOnSf8y9kapTUZJsxYq"
