"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Quadro Nuevo";2024-02-11;237920;"Tu Vuo";30;"2002";"4yVGaXgXULa3zFjFRAlgJx"
"The Dixie Cups";2024-02-11;126500;"Iko Iko";58;"2006-12-13";"3r8dNiqNnFU7hNmQH5Reb8"
"Nat Simons";2024-02-11;222333;"No Me Importa Nada";30;"2024-01-12";"1ijU1JeBhw97SOfyWAeSWg"
"Sister Rosetta Tharpe";2024-02-11;122946;"Jericho";41;"1956-01-01";"3TdM8fxuOgqJoEA8tS84Px"
"Cavendish Music";2024-02-11;137791;"Swing";30;"2018-08-15";"1C6pnrWlNMowMNqlvO5VKF"
"Ramon Mirabet";2024-02-11;248426;"For the Lady";33;"2016-07-01";"1t3TtpcqYyhy1EIxooUxyH"
"Flo Morrissey";2024-02-11;261384;"Grease";45;"2017-01-13";"6CNgs4YV5rxsOjADfpUCg3"
"Hazmat Modine";2024-02-11;363960;"Bahamut";28;"2002-08-28";"2Z1JKjeB26Eqqu6c0hZJUA"
"Oscar Aleman";2024-02-11;132266;"Bésame Mucho";32;"2001";"3u0TegUGeLCo0VtxNBUeJ4"
"The Gramophone Allstars";2024-02-11;327186;"I'll Be Around";30;"2010-02-20";"6ay0rNMMs3WKO1li3gicxT"
"Twanguero";2024-02-11;243253;"Cumbia del Este";30;"2018-09-14";"3ke6SiV8c8nxgfUqwK9ywI"
"Benny Goodman";2024-02-11;302575;"Sing, Sing, Sing - Remastered";37;"2018-02-04";"1uNeF1nkcrq7JrNiauDgYf"
"Doris Day";2024-02-11;151706;"Perhaps, Perhaps, Perhaps";62;"1948";"6Ltxm93iOwkB1rw6nBdLNS"
"Madness";2024-02-11;138360;"One Step Beyond";46;"1979-10-19";"5Jst9QoWbNmjQFUyGIkMnA"
"Dandy Livingstone";2024-02-11;162466;"Rudy, a Message to You";62;"2017-05-26";"1dTWKqQJuXoR4u9Kqjkrj3"
"Repion";2024-02-11;197290;"Brillante";32;"2023-02-10";"5o72CTv41E3lh2h7yNEm1R"
"Natalie Cole";2024-02-11;171960;"This Will Be (An Everlasting Love)";77;"1975-01-01";"1eTNYVS06XwHjwMssf6Fsx"
"Antílopez";2024-02-11;209121;"Activíctima";35;"2021-11-26";"6AiFW1p2rJ4RqsibiTGvnd"
"Javi Cantero";2024-02-11;227035;"Recordando a Bob";43;"2009-10-01";"0CbuGBHX6o2HUPtzpTlUhU"
"Nosoträsh";2024-02-11;141186;"Voy a Aterrizar";33;"1996-07-05";"0c8ckgkM5dZe5qF9CoLj3l"
"Habana Blues";2024-02-11;170453;"En todas partes";30;"2005-06-21";"2S6U4FRcYuWIL3bgJRor36"
"Django Reinhardt";2024-02-11;158226;"Minor Swing";25;"1979-12-30";"54zVMnxFehPybXYXA5WXFH"
"Los Choclok";2024-02-11;304917;"Bonita";57;"2015-04-18";"4VwCcgBbo1DkkkeM9Zglnb"
"Sotomayor";2024-02-11;206148;"Quema";44;"2020-02-14";"3OjVcHtegHO8FE3DUkTmTX"
"ORTIGA";2024-02-11;255310;"Acostumbrao";31;"2019-10-18";"3b7snLJWv3kMC4JQ10BQru"
"Los Amaya";2024-02-11;154080;"Qué Mala Suerte";19;"2003-09-09";"0M7dfBIrxpJBHCKa0b8eKT"
"Sisa";2024-02-11;406813;"Qualsevol nit pot sortir el sol";34;"1975-01-01";"6lefE7Mvf8YAZwtUofFIPy"
"Oques Grasses";2024-02-11;231653;"Sta Guai";51;"2019-02-08";"1SZqEiFZ3Tjs2XyfHXNPGt"
"Parov Stelar";2024-02-11;197492;"Clap Your Hands";31;"2015-05-01";"396hjS6oyhLeshNjgAundf"
"El Niño de la Hipoteca";2024-02-11;209593;"A un Palmo de la Gloria";45;"2016-03-25";"4SGhIFvqCNK1mhvWKT7RcS"
