"played_at";"track.name";"name";"played";"day"
"2025-10-05T00:06:12.701Z";"Tweet-Tweet";"Abraham Inc.";"2025-10-05 00:06:12.701";"2025-10-05"
"2025-10-05T00:11:00.964Z";"Anything You Want - Not That";"Belleruche";"2025-10-05 00:11:00.964";"2025-10-05"
"2025-10-05T15:31:12.545Z";"Check Yo Self";"Ice Cube";"2025-10-05 15:31:12.545";"2025-10-05"
"2025-10-05T15:36:13.634Z";"Caterpillar (feat. Eminem & King Green)";"Royce Da 5'9\"";"2025-10-05 15:36:13.634";"2025-10-05"
"2025-10-05T15:40:33.189Z";"Like Sugar";"Chaka Khan";"2025-10-05 15:40:33.189";"2025-10-05"
"2025-10-05T15:47:36.417Z";"Nobody Speak";"DJ Shadow";"2025-10-05 15:47:36.417";"2025-10-05"
"2025-10-05T15:51:40.170Z";"HUMBLE.";"Kendrick Lamar";"2025-10-05 15:51:40.17";"2025-10-05"
"2025-10-05T16:48:00.478Z";"Bring The Pain";"Method Man";"2025-10-05 16:48:00.478";"2025-10-05"
"2025-10-05T18:54:04.929Z";"Don't Sweat The Technique";"Eric B. & Rakim";"2025-10-05 18:54:04.929";"2025-10-05"
"2025-10-05T18:54:04.977Z";"The Rockafeller Skank";"Fatboy Slim";"2025-10-05 18:54:04.977";"2025-10-05"
"2025-10-05T18:54:05.059Z";"International";"Lack Of Afro";"2025-10-05 18:54:05.059";"2025-10-05"
"2025-10-05T18:54:05.372Z";"Taulu";"Asa";"2025-10-05 18:54:05.372";"2025-10-05"
"2025-10-05T18:54:05.651Z";"Get!";"Supersci";"2025-10-05 18:54:05.651";"2025-10-05"
"2025-10-05T18:54:05.820Z";"Without Me";"Eminem";"2025-10-05 18:54:05.82";"2025-10-05"
"2025-10-05T18:54:05.845Z";"A Little Less Conversation - JXL Radio Edit Remix";"Elvis Presley";"2025-10-05 18:54:05.845";"2025-10-05"
"2025-10-05T19:57:40.038Z";"Jump Around - 30 Years Remaster";"House Of Pain";"2025-10-05 19:57:40.038";"2025-10-05"
"2025-10-05T20:07:56.574Z";"Another Run Around the Sun";"Slumbernaut";"2025-10-05 20:07:56.574";"2025-10-05"
"2025-10-05T20:11:02.603Z";"There Is An End";"The Greenhornes";"2025-10-05 20:11:02.603";"2025-10-05"
"2025-10-05T20:15:10.204Z";"No You Girls";"Franz Ferdinand";"2025-10-05 20:15:10.204";"2025-10-05"
"2025-10-05T20:26:24.967Z";"Right Here, Right Now";"Fatboy Slim";"2025-10-05 20:26:24.967";"2025-10-05"
"2025-10-05T20:30:09.295Z";"Fever";"Ray Charles";"2025-10-05 20:30:09.295";"2025-10-05"
"2025-10-05T22:55:34.561Z";"Las Nanas de Jara - Acústico";"Ciudad Jara";"2025-10-05 22:55:34.561";"2025-10-05"
"2025-10-05T22:55:35.027Z";"SAOKO";"ROSALÍA";"2025-10-05 22:55:35.027";"2025-10-05"
"2025-10-05T22:55:35.285Z";"CARAVAN - Cover";"Nettai Tropical Jazz Big Band";"2025-10-05 22:55:35.285";"2025-10-05"
