"played_at";"track.name";"name";"played";"day"
"2026-07-01T06:20:23.789Z";"Telesport Boogie";"Dr. Jazz Duo";"2026-07-01 06:20:23.789";"2026-07-01"
"2026-07-01T07:08:47.270Z";"Millor amb ell - En directe a Razzmatazz amb La Big Band";"La Ludwig Band";"2026-07-01 07:08:47.27";"2026-07-01"
"2026-07-01T07:13:03.340Z";"La gent normal - (Apolo 29/3/22)";"Manel";"2026-07-01 07:13:03.34";"2026-07-01"
"2026-07-01T07:16:22.479Z";"Segurament t'estimo";"Els Amics De Les Arts";"2026-07-01 07:16:22.479";"2026-07-01"
"2026-07-01T07:23:57.092Z";"MAIG PROU!";"Maig";"2026-07-01 07:23:57.092";"2026-07-01"
"2026-07-01T07:27:32.327Z";"T'estimo tant";"Ginestà";"2026-07-01 07:27:32.327";"2026-07-01"
"2026-07-01T08:37:48.688Z";"Un Día Es un Día";"Statuas d sal";"2026-07-01 08:37:48.688";"2026-07-01"
"2026-07-01T08:41:16.683Z";"Débora";"Statuas d sal";"2026-07-01 08:41:16.683";"2026-07-01"
"2026-07-01T08:45:26.209Z";"Payaso";"Statuas d sal";"2026-07-01 08:45:26.209";"2026-07-01"
"2026-07-01T08:48:40.787Z";"Amaraica";"Statuas d sal";"2026-07-01 08:48:40.787";"2026-07-01"
"2026-07-01T08:52:30.803Z";"Instru-Mental (Para Sara)";"Statuas d sal";"2026-07-01 08:52:30.803";"2026-07-01"
"2026-07-01T12:00:57.455Z";"Al mar - (Apolo 29/3/22)";"Manel";"2026-07-01 12:00:57.455";"2026-07-01"
"2026-07-01T12:01:08.443Z";"Balbuceas";"Statuas d sal";"2026-07-01 12:01:08.443";"2026-07-01"
"2026-07-01T12:03:24.630Z";"Al mar - (Apolo 29/3/22)";"Manel";"2026-07-01 12:03:24.63";"2026-07-01"
"2026-07-01T12:08:05.342Z";"Immortals";"Joan Dausà";"2026-07-01 12:08:05.342";"2026-07-01"
"2026-07-01T12:16:20.155Z";"LA GENT DE LA MEDITERRÀNIA";"La Fúmiga";"2026-07-01 12:16:20.155";"2026-07-01"
"2026-07-01T12:18:20.776Z";"QUÈ PASSARIA?";"Àlex Pérez";"2026-07-01 12:18:20.776";"2026-07-01"
"2026-07-01T14:12:56.976Z";"Sobran las palabras";"Flavio";"2026-07-01 14:12:56.976";"2026-07-01"
"2026-07-01T14:21:19.353Z";"Soy Yo";"Hugo Cobo";"2026-07-01 14:21:19.353";"2026-07-01"
"2026-07-01T14:24:45.374Z";"¿Qué Más Quieres de Mí?";"Marta Sango";"2026-07-01 14:24:45.374";"2026-07-01"
"2026-07-01T14:26:54.699Z";"Catalina";"Anaju";"2026-07-01 14:26:54.699";"2026-07-01"
"2026-07-01T14:29:50.933Z";"In Spain We Call It Soledad";"Rigoberta Bandini";"2026-07-01 14:29:50.933";"2026-07-01"
"2026-07-01T15:18:20.028Z";"Me Vale";"Miki Núñez";"2026-07-01 15:18:20.028";"2026-07-01"
"2026-07-01T16:53:08.800Z";"Flight of the Foo Birds";"Count Basie";"2026-07-01 16:53:08.8";"2026-07-01"
"2026-07-01T16:56:43.749Z";"Flight of the Foo Birds - 1994 Remaster";"Count Basie";"2026-07-01 16:56:43.749";"2026-07-01"
"2026-07-01T19:58:48.826Z";"Maria la Gorda";"Siberian Hotheads";"2026-07-01 19:58:48.826";"2026-07-01"
"2026-07-01T20:03:03.985Z";"Corazon - Instrumental";"Woody Herman";"2026-07-01 20:03:03.985";"2026-07-01"
"2026-07-01T20:06:22.704Z";"Skrontch Ya Later";"Brooks Prumo Orchestra";"2026-07-01 20:06:22.704";"2026-07-01"
