played_at;track.name;name;played;day
2025-03-08T05:05:44.543Z;Straight Love Affair - 45 Version;Nick Waterhouse;2025-03-08 05:05:44.543;2025-03-08
2025-03-08T05:08:02.647Z;Big John's Special - Instrumental;Benny Goodman;2025-03-08 05:08:02.647;2025-03-08
2025-03-08T05:13:29.397Z;This Here;Bobby Timmons;2025-03-08 05:13:29.397;2025-03-08
2025-03-08T05:17:28.609Z;Bebo;Fabio Gianni;2025-03-08 05:17:28.609;2025-03-08
2025-03-08T05:19:57.370Z;Why Don't You Do Right (Get Me Some Money Too);Peggy Lee;2025-03-08 05:19:57.37;2025-03-08
