"played_at";"track.name";"name";"played";"day"
"2025-09-12T07:48:12.821Z";"Äiti";"Saimaa";"2025-09-12 07:48:12.821";"2025-09-12"
"2025-09-12T07:51:17.197Z";"Ei kukaan muu";"Nössö Nova";"2025-09-12 07:51:17.197";"2025-09-12"
"2025-09-12T07:55:09.998Z";"Jyväskylä Skyline";"Brian";"2025-09-12 07:55:09.998";"2025-09-12"
"2025-09-12T08:02:21.611Z";"Muistan sen niin";"Saimaa";"2025-09-12 08:02:21.611";"2025-09-12"
"2025-09-12T08:05:27.369Z";"El Cumbanchero";"Vantaan Viihdeorkesteri";"2025-09-12 08:05:27.369";"2025-09-12"
