"played_at";"track.name";"name";"played";"day"
"2025-09-04T05:18:29.038Z";"El Día De Mi Suerte";"Willie Colón";"2025-09-04 05:18:29.038";"2025-09-04"
"2025-09-04T05:21:34.824Z";"Too Cool to Land";"ovo ~ Quack Jazz ~";"2025-09-04 05:21:34.824";"2025-09-04"
"2025-09-04T05:29:41.811Z";"Before the Swing Hit";"ovo ~ Quack Jazz ~";"2025-09-04 05:29:41.811";"2025-09-04"
"2025-09-04T05:32:53.610Z";"Long Night";"Derik Fein";"2025-09-04 05:32:53.61";"2025-09-04"
"2025-09-04T05:36:27.547Z";"Antidote";"Derik Fein";"2025-09-04 05:36:27.547";"2025-09-04"
"2025-09-04T05:39:07.048Z";"Dreamin'";"New Delica";"2025-09-04 05:39:07.048";"2025-09-04"
"2025-09-04T05:44:59.156Z";"Indecisive Little Mess";"FLEECE";"2025-09-04 05:44:59.156";"2025-09-04"
"2025-09-04T05:46:11.065Z";"Indecisive Little Mess";"FLEECE";"2025-09-04 05:46:11.065";"2025-09-04"
"2025-09-04T05:49:21.129Z";"Moonshine";"Whispr";"2025-09-04 05:49:21.129";"2025-09-04"
"2025-09-04T05:53:25.469Z";"Don't Wake Me Up";"Nora Mae";"2025-09-04 05:53:25.469";"2025-09-04"
"2025-09-04T05:57:10.323Z";"Moreton";"Sugarlook";"2025-09-04 05:57:10.323";"2025-09-04"
"2025-09-04T06:02:04.965Z";"Mercy";"Derik Fein";"2025-09-04 06:02:04.965";"2025-09-04"
"2025-09-04T06:07:43.907Z";"Colours In My Head";"John Muirhead";"2025-09-04 06:07:43.907";"2025-09-04"
"2025-09-04T06:12:08.276Z";"Bullshit!";"Dalia";"2025-09-04 06:12:08.276";"2025-09-04"
"2025-09-04T06:15:46.766Z";"Mars";"Kublaii";"2025-09-04 06:15:46.766";"2025-09-04"
"2025-09-04T06:23:54.684Z";"Tangerine";"Kublaii";"2025-09-04 06:23:54.684";"2025-09-04"
"2025-09-04T06:28:26.333Z";"Kaleidoscope";"Kublaii";"2025-09-04 06:28:26.333";"2025-09-04"
"2025-09-04T06:33:45.680Z";"Tells";"Kublaii";"2025-09-04 06:33:45.68";"2025-09-04"
"2025-09-04T06:37:39.300Z";"How It Goes";"Kublaii";"2025-09-04 06:37:39.3";"2025-09-04"
"2025-09-04T06:41:03.488Z";"Berlin";"Kublaii";"2025-09-04 06:41:03.488";"2025-09-04"
"2025-09-04T06:45:37.957Z";"Get Up";"Spicy Lychees";"2025-09-04 06:45:37.957";"2025-09-04"
"2025-09-04T06:53:22.219Z";"Flower Power";"Greta Van Fleet";"2025-09-04 06:53:22.219";"2025-09-04"
"2025-09-04T07:38:06.148Z";"I Heard It Through The Grapevine";"Creedence Clearwater Revival";"2025-09-04 07:38:06.148";"2025-09-04"
"2025-09-04T07:41:40.148Z";"Sinnerman - Sofi Tukker Remix";"Nina Simone";"2025-09-04 07:41:40.148";"2025-09-04"
"2025-09-04T07:45:31.896Z";"Bad Habits";"Ed Sheeran";"2025-09-04 07:45:31.896";"2025-09-04"
"2025-09-04T07:48:34.353Z";"Move Your Feet";"Junior Senior";"2025-09-04 07:48:34.353";"2025-09-04"
"2025-09-04T07:53:14.934Z";"Fat Papa";"Charlie Palmieri";"2025-09-04 07:53:14.934";"2025-09-04"
"2025-09-04T07:59:34.974Z";"Either You Have It Or You Don’t";"Charlie Palmieri";"2025-09-04 07:59:34.974";"2025-09-04"
"2025-09-04T08:05:24.450Z";"No Puedo Vivir";"Charlie Palmieri";"2025-09-04 08:05:24.45";"2025-09-04"
"2025-09-04T08:08:39.926Z";"Boogaloo Mania";"Charlie Palmieri";"2025-09-04 08:08:39.926";"2025-09-04"
"2025-09-04T08:39:40.444Z";"Fat Papa's Descarga";"Charlie Palmieri";"2025-09-04 08:39:40.444";"2025-09-04"
"2025-09-04T08:45:32.874Z";"Luisito Mozambique";"Charlie Palmieri";"2025-09-04 08:45:32.874";"2025-09-04"
"2025-09-04T08:49:50.400Z";"Sandstorm";"Charlie Palmieri";"2025-09-04 08:49:50.4";"2025-09-04"
"2025-09-04T08:53:52.687Z";"Guaguancó En Borinquen";"Charlie Palmieri";"2025-09-04 08:53:52.687";"2025-09-04"
"2025-09-04T13:59:32.581Z";"I Heard It Through The Grapevine";"Creedence Clearwater Revival";"2025-09-04 13:59:32.581";"2025-09-04"
"2025-09-04T14:00:06.755Z";"Autobahn";"Kraftwerk";"2025-09-04 14:00:06.755";"2025-09-04"
"2025-09-04T18:14:21.352Z";"I Heard It Through The Grapevine";"Creedence Clearwater Revival";"2025-09-04 18:14:21.352";"2025-09-04"
