"played_at";"track.name";"track.id";"name";"artist.id";"featured_artists";"featured_artist_ids";"played";"day"
"2026-08-04T06:31:58.743Z";"LA COMBI VERSACE";"5gCNf9wMVrYuM2fvfgLTlF";"ROSALÍA";"7ltDVBr6mKbRvohxheJ9h1";"Tokischa";"2p4aN0Uxkk3iT3HK0cJ2cJ";"2026-08-04 06:31:58.743";"2026-08-04"
"2026-08-04T06:34:09.706Z";"Dios Es Un Stalker";"6FdOGTRYvLCJ79d55YtGgZ";"ROSALÍA";"7ltDVBr6mKbRvohxheJ9h1";;;"2026-08-04 06:34:09.706";"2026-08-04"
"2026-08-04T06:41:11.333Z";"Pa ti no estoy";"74D5vPIqKXeha7ElxMLc8Z";"Rosana";"5ttV0N9HvMH3KLqNKcS2M0";;;"2026-08-04 06:41:11.333";"2026-08-04"
"2026-08-04T07:21:19.611Z";"Valerie (feat. Amy Winehouse) - Version Revisited";"6kopmMZiyLmw7h66uXcXR7";"Mark Ronson";"3hv9jJF3adDNsBSIQDqcjp";"Amy Winehouse";"6Q192DXotxtaysaqNPy5yR";"2026-08-04 07:21:19.611";"2026-08-04"
"2026-08-04T07:24:49.615Z";"Back On 74";"19kHhX6f6EfLU7rcO3RqjO";"Jungle";"59oA5WbbQvomJz2BuRG071";;;"2026-08-04 07:24:49.615";"2026-08-04"
"2026-08-04T07:29:53.948Z";"Mr. Blue Sky";"2RlgNHKcydI9sayD2Df2xp";"Electric Light Orchestra";"7jefIIksOi1EazgRTfW2Pk";;;"2026-08-04 07:29:53.948";"2026-08-04"
"2026-08-04T09:19:55.546Z";"Nothing Breaks Like a Heart (feat. Miley Cyrus)";"02dRkCEc8Q5ch4TTcnLxOn";"Mark Ronson";"3hv9jJF3adDNsBSIQDqcjp";"Miley Cyrus";"5YGY8feqx7naU7z4HrwZM6";"2026-08-04 09:19:55.546";"2026-08-04"
"2026-08-04T09:22:57.334Z";"Alright - 2015 Remaster";"05ajrG3EAcIe3j7NuqRV9B";"Supergrass";"0sHeX8oQ6o7xic3wMf4NBU";;;"2026-08-04 09:22:57.334";"2026-08-04"
"2026-08-04T09:26:12.463Z";"Prometo No Olvidar";"6A8qFoq5UwP2irm1jGuMKs";"La Casa Azul";"2Ynst7DZrEJnlaMM41ZCxd";;;"2026-08-04 09:26:12.463";"2026-08-04"
"2026-08-04T09:30:11.527Z";"Talk It Up";"7FQCZ5i5bmQ76LoGHyVcX0";"Sammy Rae & The Friends";"3lFDsTyYNPQc8WzJExnQWn";;;"2026-08-04 09:30:11.527";"2026-08-04"
