played_at;track.name;name;played;day
2025-06-01T08:51:09.727Z;Johnny Come Lately - 1999 Remastered;Duke Ellington;2025-06-01 08:51:09.727;2025-06-01
2025-06-01T08:56:30.952Z;Work Song - Remastered;The Cannonball Adderley Quintet;2025-06-01 08:56:30.952;2025-06-01
2025-06-01T08:59:35.381Z;My Little Suede Shoes;Charlie Parker And His Orchestra;2025-06-01 08:59:35.381;2025-06-01
2025-06-01T09:11:49.600Z;Django;The Modern Jazz Quartet;2025-06-01 09:11:49.6;2025-06-01
2025-06-01T09:14:24.526Z;Gotta Dance;Jimmy Giuffre;2025-06-01 09:14:24.526;2025-06-01
2025-06-01T09:18:56.431Z;Daahoud;Ray Bryant Trio;2025-06-01 09:18:56.431;2025-06-01
2025-06-01T09:23:00.294Z;Grand Central;The Cannonball Adderley Quintet;2025-06-01 09:23:00.294;2025-06-01
2025-06-01T09:27:12.509Z;Anthropology;Elvin Jones;2025-06-01 09:27:12.509;2025-06-01
2025-06-01T09:29:36.817Z;Off Minor - 1990 Remaster;Bud Powell Trio;2025-06-01 09:29:36.817;2025-06-01
2025-06-01T09:32:19.534Z;Trictatism (12);Oscar Pettiford;2025-06-01 09:32:19.534;2025-06-01
2025-06-01T09:35:53.085Z;Jubilation;Junior Mance;2025-06-01 09:35:53.085;2025-06-01
2025-06-01T09:39:48.543Z;Sticks - Live;The Cannonball Adderley Quintet;2025-06-01 09:39:48.543;2025-06-01
2025-06-01T09:42:21.232Z;Skål Brothers;Tommy Flanagan Trio;2025-06-01 09:42:21.232;2025-06-01
2025-06-01T09:46:21.074Z;Big P;Jimmy Heath;2025-06-01 09:46:21.074;2025-06-01
2025-06-01T09:50:37.756Z;Nice And Easy - Remastered 2006/Rudy Van Gelder Edition;Johnny Griffin;2025-06-01 09:50:37.756;2025-06-01
2025-06-01T09:53:03.594Z;Drew's Blues;Kenny Drew Trio;2025-06-01 09:53:03.594;2025-06-01
2025-06-01T09:56:14.071Z;Stella By Starlight;The Cannonball Adderley Quintet;2025-06-01 09:56:14.071;2025-06-01
2025-06-01T10:00:36.575Z;Whisper Not;Junior Mance;2025-06-01 10:00:36.575;2025-06-01
2025-06-01T10:02:26.813Z;Lullaby of Birdland;Bud Powell Trio;2025-06-01 10:02:26.813;2025-06-01
2025-06-01T10:05:24.772Z;Confirmation;Charlie Parker;2025-06-01 10:05:24.772;2025-06-01
2025-06-01T10:09:36.630Z;A Bientot;Oliver Nelson;2025-06-01 10:09:36.63;2025-06-01
2025-06-01T10:14:42.398Z;Dat Dere - Remastered;The Cannonball Adderley Quintet;2025-06-01 10:14:42.398;2025-06-01
2025-06-01T10:18:30.607Z;Have You Met Miss Jones;McCoy Tyner Trio;2025-06-01 10:18:30.607;2025-06-01
2025-06-01T10:22:02.710Z;Pretty Memory;Bobby Timmons Trio;2025-06-01 10:22:02.71;2025-06-01
2025-06-01T10:25:55.838Z;Miss Jackie's Delight;Junior Mance;2025-06-01 10:25:55.838;2025-06-01
2025-06-01T10:29:00.514Z;Oleo;Phineas Newborn Jr.;2025-06-01 10:29:00.514;2025-06-01
2025-06-01T11:13:06.880Z;Limehouse Blues;The Cannonball Adderley Quintet;2025-06-01 11:13:06.88;2025-06-01
2025-06-01T11:16:47.327Z;Brotherhood Of Man;Oscar Peterson Trio;2025-06-01 11:16:47.327;2025-06-01
2025-06-01T11:20:58.848Z;Serenata;Cannonball Adderley Quartet;2025-06-01 11:20:58.848;2025-06-01
2025-06-01T11:24:19.338Z;Samba Triste;Bobby Timmons Trio;2025-06-01 11:24:19.338;2025-06-01
2025-06-01T11:27:49.978Z;Softly As In A Morning Sunrise;The Modern Jazz Quartet;2025-06-01 11:27:49.978;2025-06-01
2025-06-01T11:32:33.511Z;Del Sasser - Remastered;The Cannonball Adderley Quintet;2025-06-01 11:32:33.511;2025-06-01
2025-06-01T11:37:37.216Z;True Blue;Tina Brooks;2025-06-01 11:37:37.216;2025-06-01
2025-06-01T11:40:39.608Z;Gravy Waltz;Marc Hemmeler;2025-06-01 11:40:39.608;2025-06-01
2025-06-01T11:43:08.590Z;Walkin' Shoes;Gerry Mulligan Quartet;2025-06-01 11:43:08.59;2025-06-01
2025-06-01T11:46:28.543Z;La Tirita;Belén Aguilera;2025-06-01 11:46:28.543;2025-06-01
2025-06-01T11:49:49.940Z;Nuevo mundo (feat. Juancho Marqués);Fuel Fandango;2025-06-01 11:49:49.94;2025-06-01
2025-06-01T11:53:20.157Z;Fuera de la Fiesta;Chica Sobresalto;2025-06-01 11:53:20.157;2025-06-01
2025-06-01T11:57:06.258Z;Díselo a la Vida;Rafa Romera;2025-06-01 11:57:06.258;2025-06-01
2025-06-01T12:00:44.326Z;Fugitivos;Bruno Alves;2025-06-01 12:00:44.326;2025-06-01
2025-06-01T12:03:58.520Z;In Spain We Call It Soledad;Rigoberta Bandini;2025-06-01 12:03:58.52;2025-06-01
2025-06-01T12:07:33.089Z;Sin Más;Samantha;2025-06-01 12:07:33.089;2025-06-01
2025-06-01T12:10:43.230Z;8 Maravillas;NIA;2025-06-01 12:10:43.23;2025-06-01
2025-06-01T12:23:06.724Z;L'altra Fase;Joan Garrido;2025-06-01 12:23:06.724;2025-06-01
2025-06-01T12:27:00.879Z;Celébrate;Miki Núñez;2025-06-01 12:27:00.879;2025-06-01
2025-06-01T12:29:36.622Z;¿Qué Tal?;Manel Navarro;2025-06-01 12:29:36.622;2025-06-01
2025-06-01T12:32:42.562Z;Asúmelo;NIA;2025-06-01 12:32:42.562;2025-06-01
2025-06-01T12:35:22.828Z;NO PASA NADA;Samantha;2025-06-01 12:35:22.828;2025-06-01
