"played_at";"track.name";"name";"played";"day"
"2026-02-12T06:35:00.742Z";"Valoa varten";"KUUMAA";"2026-02-12 06:35:00.742";"2026-02-12"
"2026-02-12T07:10:15.662Z";"Jackel";"Madchild";"2026-02-12 07:10:15.662";"2026-02-12"
"2026-02-12T09:02:48.755Z";"Caterpillar (feat. Eminem & King Green)";"Royce Da 5'9\\";"2026-02-12 09:02:48.755";"2026-02-12"
"2026-02-12T09:02:48.755Z";"Caterpillar (feat. Eminem & King Green)";"Royce Da 5'9\"";"2026-02-12 09:02:48.755";"2026-02-12"
"2026-02-12T09:06:47.652Z";"Things Done Changed - 2005 Remaster";"The Notorious B.I.G.";"2026-02-12 09:06:47.652";"2026-02-12"
"2026-02-12T09:16:39.948Z";"Greatest";"Eminem";"2026-02-12 09:16:39.948";"2026-02-12"
"2026-02-12T09:21:06.207Z";"Sunshine";"Mos Def";"2026-02-12 09:21:06.207";"2026-02-12"
"2026-02-12T09:24:33.413Z";"Definition";"Black Star";"2026-02-12 09:24:33.413";"2026-02-12"
"2026-02-12T09:28:27.362Z";"Boom - Explicit Album Version";"Royce Da 5'9\;2026-02-12 09:28:27.362;2026-02-12
2026-02-12T09:28:27.362Z;Boom - Explicit Album Version;Royce Da 5'9\";"2026-02-12 09:28:27.362";"2026-02-12"
"2026-02-12T09:28:27.362Z";"Boom - Explicit Album Version";"Royce Da 5'9\"";"2026-02-12 09:28:27.362";"2026-02-12"
"2026-02-12T09:31:31.410Z";"King's Paradise";"Rakim";"2026-02-12 09:31:31.41";"2026-02-12"
"2026-02-12T09:45:46.683Z";"Ready to Die - 2005 Remaster";"The Notorious B.I.G.";"2026-02-12 09:45:46.683";"2026-02-12"
"2026-02-12T09:49:50.061Z";"Just Don't Give A Fuck";"Eminem";"2026-02-12 09:49:50.061";"2026-02-12"
"2026-02-12T09:51:45.399Z";"Alphabet Insanity";"Mac Lethal";"2026-02-12 09:51:45.399";"2026-02-12"
