"played_at";"track.name";"track.id";"name";"artist.id";"featured_artists";"featured_artist_ids";"played";"day"
"2026-08-21T10:09:09.862Z";"Kuivilla susta";"4cR4gpeLWhFgRO780LMVKe";"Kristiina Brask";"5L0xsQmR0XRypu4bkbyoz9";;;"2026-08-21 10:09:09.862";"2026-08-21"
"2026-08-21T10:21:38.796Z";"Blue Cellophane";"6DAwhqQTY4Xm4RpkfwDYgb";"Sant Andreu Jazz Band";"3gIH8tsuSEzETOoazmNNXE";"Joan Chamorro|Luc Martín";"0DuHQPF3vijiN2raRXwx2c|53j9o5Z5y00VfgktyeztpM";"2026-08-21 10:21:38.796";"2026-08-21"
"2026-08-21T10:23:37.206Z";"Too Marvelous for Words";"7xNLDKaM5B76gk5uoPMsWo";"Sant Andreu Jazz Band";"3gIH8tsuSEzETOoazmNNXE";"Joan Chamorro|Pere Company";"0DuHQPF3vijiN2raRXwx2c|1ApPTDL7WBgxVXmkpZ8MkJ";"2026-08-21 10:23:37.206";"2026-08-21"
"2026-08-21T10:28:36.174Z";"Eden";"6YxMB7YsT4K3tT5YehPMah";"Jenni Vartiainen";"6PP1ZiMzBbTeRqGvhr3pV9";;;"2026-08-21 10:28:36.174";"2026-08-21"
"2026-08-21T10:41:06.164Z";"Supernaiset";"3cGY1fqKRllxTkVIBOmBBv";"Kaija Koo";"60UkyJpgRSEUtcVTasRFEq";;;"2026-08-21 10:41:06.164";"2026-08-21"
"2026-08-21T10:44:04.790Z";"Kuollut liekki";"1pEiJfcpRDglgmE50pf1uQ";"Benjamin";"5FgAhHocNrSCn7Ox87uyef";;;"2026-08-21 10:44:04.79";"2026-08-21"
"2026-08-21T10:47:16.923Z";"Frida";"2DnfYBSG1cEcEYieldgp2X";"Behm";"3bAa4FKwIgwWYHdaUJicmE";;;"2026-08-21 10:47:16.923";"2026-08-21"
"2026-08-21T10:50:49.355Z";"#eurodab";"5LUbJo8GHzcqlCCrE83c05";"Käärijä";"6LkMGN0t3HDNL8hIvma70r";"Baby Lasagna";"1ncWEkB4AQh1rxC8ObpBoH";"2026-08-21 10:50:49.355";"2026-08-21"
"2026-08-21T10:56:45.545Z";"En haluu kuolla tänä yönä";"2HkbPwcNRj4KXTOythLyLi";"Jenni Vartiainen";"6PP1ZiMzBbTeRqGvhr3pV9";;;"2026-08-21 10:56:45.545";"2026-08-21"
"2026-08-21T18:14:37.786Z";"Myynnissä";"2PJOS3HOPn6wcT1gIiYN0y";"Erika Vikman";"6JVB6uiYxpF2K1PGsPRpWR";;;"2026-08-21 18:14:37.786";"2026-08-21"
"2026-08-21T18:16:15.288Z";"Myynnissä";"2PJOS3HOPn6wcT1gIiYN0y";"Erika Vikman";"6JVB6uiYxpF2K1PGsPRpWR";;;"2026-08-21 18:16:15.288";"2026-08-21"
"2026-08-21T18:20:35.659Z";"Yhtä en saa (Vain elämää kausi 16)";"5z6aHcG1yIjw7arHTH37lB";"Käärijä";"6LkMGN0t3HDNL8hIvma70r";;;"2026-08-21 18:20:35.659";"2026-08-21"
"2026-08-21T18:47:03.032Z";"Bensaa tulipaloon";"1FCjidFdL7qwloCUnzQkoD";"Benjamin";"5FgAhHocNrSCn7Ox87uyef";;;"2026-08-21 18:47:03.032";"2026-08-21"
"2026-08-21T19:38:58.778Z";"Viimeinen pisara (feat. Etta)";"57fbod7eZlRVKTg71wHEqV";"Jenni Vartiainen";"6PP1ZiMzBbTeRqGvhr3pV9";"Etta";"3Lc2yroP05lRK5z9NtQTkc";"2026-08-21 19:38:58.778";"2026-08-21"
"2026-08-21T19:41:49.818Z";"Uutta exää";"3y7JOrxavYesPR6sypC3D3";"Benjamin";"5FgAhHocNrSCn7Ox87uyef";;;"2026-08-21 19:41:49.818";"2026-08-21"
"2026-08-21T19:45:13.452Z";"Älä droppaa mun tunnelmaa";"1aty40lOztXmjuKi1XO81m";"Vesala";"5fyBhURKALJ81CC9X4DvZP";;;"2026-08-21 19:45:13.452";"2026-08-21"
"2026-08-21T19:49:56.283Z";"Tequila";"3bf34ookDu0b5WA9dIjfB6";"Vesala";"5fyBhURKALJ81CC9X4DvZP";;;"2026-08-21 19:49:56.283";"2026-08-21"
"2026-08-21T19:53:19.631Z";"Huuda! (feat. JVG) - Remix";"4XzqJ6ntqIiZII6GUyHXz2";"Haloo Helsinki!";"0JTMRuiDzOCjWuYtWMgv2s";"JVG";"55mdlQp6zN8zdyIYB9DDQj";"2026-08-21 19:53:19.631";"2026-08-21"
"2026-08-21T22:12:16.557Z";"Vanha nainen hunningolla";"5HbIX2mD0LCY0NUbIWXa5z";"Erin";"5H34mYQz0gLcqPWIOTyDaJ";;;"2026-08-21 22:12:16.557";"2026-08-21"
