"played_at";"track.name";"name";"played";"day"
"2025-12-07T13:03:10.924Z";"Jazz Me Blues";"Woody Herman";"2025-12-07 13:03:10.924";"2025-12-07"
"2025-12-07T13:06:45.397Z";"Sam's Song";"Sammy Davis Jr. | Dean Martin";"2025-12-07 13:06:45.397";"2025-12-07"
"2025-12-07T13:13:57.161Z";"Stolen Moments";"Oliver Nelson";"2025-12-07 13:13:57.161";"2025-12-07"
"2025-12-07T13:16:06.869Z";"September In The Rain";"Dinah Washington";"2025-12-07 13:16:06.869";"2025-12-07"
"2025-12-07T13:20:38.769Z";"Lullaby Of Birdland";"George Shearing";"2025-12-07 13:20:38.769";"2025-12-07"
"2025-12-07T13:22:18.004Z";"More (Theme From Mondo Cane)";"Frank Sinatra";"2025-12-07 13:22:18.004";"2025-12-07"
"2025-12-07T13:25:12.208Z";"Anvil Chorus";"Members Of The Glenn Miller Orchestra";"2025-12-07 13:25:12.208";"2025-12-07"
"2025-12-07T13:29:15.110Z";"Ain't Misbehavin'";"Benny Goodman";"2025-12-07 13:29:15.11";"2025-12-07"
"2025-12-07T13:33:04.055Z";"Give Me The Simple Life";"Lorez Alexandria";"2025-12-07 13:33:04.055";"2025-12-07"
"2025-12-07T13:33:44.025Z";"Little Brown Jug";"Members Of The Glenn Miller Orchestra";"2025-12-07 13:33:44.025";"2025-12-07"
"2025-12-07T13:38:18.291Z";"Say It (Over And Over Again)";"John Coltrane Quartet";"2025-12-07 13:38:18.291";"2025-12-07"
"2025-12-07T13:41:26.164Z";"Flight of the Foo Birds";"Count Basie";"2025-12-07 13:41:26.164";"2025-12-07"
"2025-12-07T13:44:15.770Z";"In A Sentimental Mood";"Duke Ellington";"2025-12-07 13:44:15.77";"2025-12-07"
"2025-12-07T13:49:35.516Z";"Tampico";"Stan Kenton & His Orchestra";"2025-12-07 13:49:35.516";"2025-12-07"
"2025-12-07T13:51:01.751Z";"Shake, Rattle and Roll";"Joe Williams";"2025-12-07 13:51:01.751";"2025-12-07"
"2025-12-07T13:52:36.188Z";"Chi Chi";"Charlie Parker Quartet";"2025-12-07 13:52:36.188";"2025-12-07"
"2025-12-07T13:56:26.268Z";"Do Nothing Till You Hear from Me";"Cootie Williams";"2025-12-07 13:56:26.268";"2025-12-07"
"2025-12-07T13:58:59.002Z";"Take the \A\ Train";"Duke Ellington";"2025-12-07 13:58:59.002";"2025-12-07"
"2025-12-07T13:58:59.002Z";"Take the \"A\" Train";"Duke Ellington";"2025-12-07 13:58:59.002";"2025-12-07"
"2025-12-07T14:02:15.533Z";"Let Me Off Uptown";"Gene Krupa Big Band";"2025-12-07 14:02:15.533";"2025-12-07"
"2025-12-07T14:07:28.178Z";"With Plenty Of Money And You";"Tony Bennett";"2025-12-07 14:07:28.178";"2025-12-07"
"2025-12-07T14:08:24.279Z";"All Of Me - New Stereo Remaster 2024";"Billie Holiday";"2025-12-07 14:08:24.279";"2025-12-07"
"2025-12-07T14:10:08.976Z";"Alright, Okay, You Win";"Count Basie";"2025-12-07 14:10:08.976";"2025-12-07"
"2025-12-07T14:14:03.059Z";"Teach Me Tonight";"Dinah Washington";"2025-12-07 14:14:03.059";"2025-12-07"
"2025-12-07T14:15:41.438Z";"Savoy Blues";"Kid Ory's Creole Jazz Band";"2025-12-07 14:15:41.438";"2025-12-07"
"2025-12-07T14:18:08.814Z";"More - Remastered 2004";"Bobby Darin";"2025-12-07 14:18:08.814";"2025-12-07"
"2025-12-07T14:21:07.468Z";"Caxton Hall Swing";"Louie Bellson";"2025-12-07 14:21:07.468";"2025-12-07"
"2025-12-07T14:24:28.870Z";"Four Brothers";"Woody Herman";"2025-12-07 14:24:28.87";"2025-12-07"
"2025-12-07T14:27:49.005Z";"Cherokee";"Charlie Barnet";"2025-12-07 14:27:49.005";"2025-12-07"
"2025-12-07T14:30:37.411Z";"Jump Session";"Slim & Slam";"2025-12-07 14:30:37.411";"2025-12-07"
"2025-12-07T14:34:39.799Z";"Splanky";"Count Basie";"2025-12-07 14:34:39.799";"2025-12-07"
"2025-12-07T14:38:03.380Z";"La chanson des jumelles";"Claude Bolling Big Band";"2025-12-07 14:38:03.38";"2025-12-07"
"2025-12-07T14:41:16.040Z";"Fine Brown Frame";"Nellie Lutcher";"2025-12-07 14:41:16.04";"2025-12-07"
"2025-12-07T14:45:22.424Z";"Baby, Won't You Please Come Home - Remastered";"Jonah Jones";"2025-12-07 14:45:22.424";"2025-12-07"
"2025-12-07T14:46:11.322Z";"Stompin' At The Savoy - Instrumental";"Benny Goodman Trio";"2025-12-07 14:46:11.322";"2025-12-07"
"2025-12-07T14:46:51.404Z";"I Dreamt I Dwelt in Harlem";"Herb Miller Orchestra";"2025-12-07 14:46:51.404";"2025-12-07"
"2025-12-07T15:18:05.189Z";"Haloo";"PMMP";"2025-12-07 15:18:05.189";"2025-12-07"
"2025-12-07T17:25:06.642Z";"Suuren päivän ilta";"KUUMAA";"2025-12-07 17:25:06.642";"2025-12-07"
"2025-12-07T17:25:44.257Z";"Suuren päivän ilta";"KUUMAA";"2025-12-07 17:25:44.257";"2025-12-07"
"2025-12-07T17:30:00.999Z";"Takavoltti";"Käärijä";"2025-12-07 17:30:00.999";"2025-12-07"
"2025-12-07T17:33:17.995Z";"Tuolileikki";"Lyyti";"2025-12-07 17:33:17.995";"2025-12-07"
"2025-12-07T17:36:28.743Z";"Rusketusraidat";"PMMP";"2025-12-07 17:36:28.743";"2025-12-07"
"2025-12-07T17:40:14.707Z";"Ihmeen pää";"Josén Pimeä Puoli";"2025-12-07 17:40:14.707";"2025-12-07"
