played_at;track.name;name;played;day
2023-08-22T06:38:57.465Z;Wake Me Up;Avicii;2023-08-22 06:38:57.465;2023-08-22
2023-08-22T07:42:05.194Z;Ojalá;Silvio Rodríguez;2023-08-22 07:42:05.194;2023-08-22
2023-08-22T08:17:48.268Z;El Surco;Jorge Drexler;2023-08-22 08:17:48.268;2023-08-22
2023-08-22T08:22:26.257Z;Alfileres De Colores;Miguel Poveda;2023-08-22 08:22:26.257;2023-08-22
2023-08-22T08:26:10.356Z;Perquè Vull;Ovidi Montllor;2023-08-22 08:26:10.356;2023-08-22
2023-08-22T08:40:59.085Z;Estadio Azteca;Bunbury;2023-08-22 08:40:59.085;2023-08-22
2023-08-22T09:51:55.189Z;Soledad (Tango Canción);Diego El Cigala;2023-08-22 09:51:55.189;2023-08-22
2023-08-22T10:06:38.313Z;Volver;Andrés Calamaro;2023-08-22 10:06:38.313;2023-08-22
2023-08-22T10:09:47.185Z;Las Nanas de Jara - Acústico;Ciudad Jara;2023-08-22 10:09:47.185;2023-08-22
2023-08-22T10:18:35.436Z;Canto pal que está despierto;Muerdo;2023-08-22 10:18:35.436;2023-08-22
2023-08-22T10:28:05.298Z;El Marido de la Peluquera - En Directo;Pedro Guerra;2023-08-22 10:28:05.298;2023-08-22
2023-08-22T10:31:08.389Z;Em Dius Que El Nostre Amor;Toti Soler;2023-08-22 10:31:08.389;2023-08-22
2023-08-22T10:33:49.358Z;Nunca Estoy;C. Tangana;2023-08-22 10:33:49.358;2023-08-22
2023-08-22T10:45:07.050Z;Aunque no sea conmigo;Bunbury;2023-08-22 10:45:07.05;2023-08-22
2023-08-22T11:07:09.174Z;It's A Long Way;Caetano Veloso;2023-08-22 11:07:09.174;2023-08-22
2023-08-22T11:10:21.217Z;Un Veneno - G-Mix;C. Tangana;2023-08-22 11:10:21.217;2023-08-22
2023-08-22T11:14:25.303Z;Another Love;Tom Odell;2023-08-22 11:14:25.303;2023-08-22
2023-08-22T11:17:33.351Z;Cuándo Olvidaré;C. Tangana;2023-08-22 11:17:33.351;2023-08-22
2023-08-22T11:23:29.204Z;Un Compromiso / Toda una Vida;Son De La Frontera;2023-08-22 11:23:29.204;2023-08-22
2023-08-22T11:27:57.354Z;Automáticamente;LUIS BREA;2023-08-22 11:27:57.354;2023-08-22
2023-08-22T11:44:52.011Z;Tangos de la Repompa;Las Migas;2023-08-22 11:44:52.011;2023-08-22
2023-08-22T11:54:27.403Z;Fuego Fatuo;Los Aurora;2023-08-22 11:54:27.403;2023-08-22
2023-08-22T11:59:19.220Z;Debo Partirme en Dos;Silvio Rodríguez;2023-08-22 11:59:19.22;2023-08-22
2023-08-22T12:05:10.278Z;La Maza;Silvio Rodríguez;2023-08-22 12:05:10.278;2023-08-22
2023-08-22T12:09:32.336Z;Movimiento;Jorge Drexler;2023-08-22 12:09:32.336;2023-08-22
2023-08-22T12:22:54.320Z;Logo;Kevin Johansen;2023-08-22 12:22:54.32;2023-08-22
2023-08-22T12:25:48.324Z;Canción Del Elegido;Silvio Rodríguez;2023-08-22 12:25:48.324;2023-08-22
2023-08-22T12:30:16.224Z;Inca Yuyo;Perotá Chingó;2023-08-22 12:30:16.224;2023-08-22
2023-08-22T12:35:34.252Z;Anda Jaleo;Los Aurora;2023-08-22 12:35:34.252;2023-08-22
2023-08-22T12:38:57.182Z;En lo alto del cerro (Tangos);Estrella Morente;2023-08-22 12:38:57.182;2023-08-22
2023-08-22T12:43:02.262Z;Ranchada de los Paraguayos;Niño Josele;2023-08-22 12:43:02.262;2023-08-22
2023-08-22T12:47:50.280Z;Sin documentos;Bunbury;2023-08-22 12:47:50.28;2023-08-22
2023-08-22T12:50:53.801Z;Ai, Ai, Ai;Sílvia Pérez Cruz;2023-08-22 12:50:53.801;2023-08-22
2023-08-22T13:14:30.195Z;¡Oh, Algoritmo! (feat. Noga Erez);Jorge Drexler;2023-08-22 13:14:30.195;2023-08-22
2023-08-22T13:18:55.356Z;Modo Frigio (Tema Soñado);Silvio Rodríguez;2023-08-22 13:18:55.356;2023-08-22
2023-08-22T13:24:25.202Z;Lágrimas Negras;Bebo Valdés;2023-08-22 13:24:25.202;2023-08-22
2023-08-22T13:28:00.335Z;Aunque no Esté de Moda;Silvio Rodríguez;2023-08-22 13:28:00.335;2023-08-22
2023-08-22T13:32:21.248Z;Santiago de Chile;Silvio Rodríguez;2023-08-22 13:32:21.248;2023-08-22
2023-08-22T13:36:13.075Z;La Belleza;Luis Eduardo Aute;2023-08-22 13:36:13.075;2023-08-22
2023-08-22T13:39:49.314Z;Todo se transforma;Jorge Drexler;2023-08-22 13:39:49.314;2023-08-22
2023-08-22T13:43:03.038Z;Corazón Loco;Bebo Valdés;2023-08-22 13:43:03.038;2023-08-22
2023-08-22T13:47:05.251Z;De Repente;Kevin Johansen;2023-08-22 13:47:05.251;2023-08-22
2023-08-22T13:53:22.096Z;Desconsuelo;Pequeña Orquesta Reincidentes;2023-08-22 13:53:22.096;2023-08-22
2023-08-22T14:28:05.227Z;Sam's Town;The Killers;2023-08-22 14:28:05.227;2023-08-22
2023-08-22T14:44:03.531Z;Stand By;Extremoduro;2023-08-22 14:44:03.531;2023-08-22
2023-08-22T14:49:27.526Z;Flecha;Leiva;2023-08-22 14:49:27.526;2023-08-22
2023-08-22T14:53:01.006Z;Te sigo soñando;DePedro;2023-08-22 14:53:01.006;2023-08-22
2023-08-22T14:58:44.521Z;Hoy la Bestia Cena en Casa - Radio Edit;Zahara;2023-08-22 14:58:44.521;2023-08-22
2023-08-22T15:01:02.584Z;Lunes;Club del Río;2023-08-22 15:01:02.584;2023-08-22
2023-08-22T15:08:21.486Z;No Gires;Varry Brava;2023-08-22 15:08:21.486;2023-08-22
2023-08-22T15:08:23.601Z;Miedo;M-Clan;2023-08-22 15:08:23.601;2023-08-22
2023-08-22T19:05:10.924Z;Ingobernable;C. Tangana;2023-08-22 19:05:10.924;2023-08-22
2023-08-22T19:08:52.595Z;A Un Paso De La Luna;Ana Mena;2023-08-22 19:08:52.595;2023-08-22
2023-08-22T19:12:17.475Z;Formentera;Aitana;2023-08-22 19:12:17.475;2023-08-22
2023-08-22T19:12:47.463Z;Buenos Genes;Rels B;2023-08-22 19:12:47.463;2023-08-22
