played_at;track.name;name;played;day
2025-06-11T13:21:20.318Z;The Date;Ray Collins' Hot Club;2025-06-11 13:21:20.318;2025-06-11
2025-06-11T13:22:34.235Z;SAOKO;ROSALÍA;2025-06-11 13:22:34.235;2025-06-11
2025-06-11T15:27:25.092Z;ICH KOMME;Erika Vikman;2025-06-11 15:27:25.092;2025-06-11
2025-06-11T16:29:57.717Z;Huijausta jumalauta;Saimaa;2025-06-11 16:29:57.717;2025-06-11
2025-06-11T16:51:24.053Z;Reiviluola;Haloo Helsinki!;2025-06-11 16:51:24.053;2025-06-11
2025-06-11T16:56:25.201Z;Haloo;PMMP;2025-06-11 16:56:25.201;2025-06-11
2025-06-11T16:57:06.708Z;Sisko;emma & matilda;2025-06-11 16:57:06.708;2025-06-11
2025-06-11T16:57:41.433Z;Vihaajat vihaa;Bee;2025-06-11 16:57:41.433;2025-06-11
2025-06-11T16:58:58.742Z;Ram pam pam;BESS;2025-06-11 16:58:58.742;2025-06-11
2025-06-11T16:59:57.596Z;Sekaisin;costee;2025-06-11 16:59:57.596;2025-06-11
2025-06-11T17:01:17.613Z;Häitä pidelly;Robin Packalen;2025-06-11 17:01:17.613;2025-06-11
2025-06-11T17:11:17.048Z;Huutaa;Vilma Jää;2025-06-11 17:11:17.048;2025-06-11
2025-06-11T17:21:38.668Z;Volevo essere un duro;Lucio Corsi;2025-06-11 17:21:38.668;2025-06-11
2025-06-11T17:23:31.497Z;ZORRA;Nebulossa;2025-06-11 17:23:31.497;2025-06-11
2025-06-11T17:40:14.985Z;The Code;Nemo;2025-06-11 17:40:14.985;2025-06-11
2025-06-11T17:52:18.255Z;eurodab;Käärijä;2025-06-11 17:52:18.255;2025-06-11
2025-06-11T18:21:09.274Z;Myynnissä;Erika Vikman;2025-06-11 18:21:09.274;2025-06-11
2025-06-11T19:09:44.739Z;Camino al abismo;Eddie Palmieri;2025-06-11 19:09:44.739;2025-06-11
2025-06-11T19:10:10.395Z;La Malanga;Eddie Palmieri;2025-06-11 19:10:10.395;2025-06-11
2025-06-11T19:18:46.109Z;Un Puesto Vacante - Extended Mix (Remastered);Eddie Palmieri;2025-06-11 19:18:46.109;2025-06-11
2025-06-11T19:24:52.188Z;A contraluz;Eddie Palmieri;2025-06-11 19:24:52.188;2025-06-11
2025-06-11T19:37:01.355Z;Incomprendido;Ismael Rivera;2025-06-11 19:37:01.355;2025-06-11
2025-06-11T19:38:50.066Z;Brujeria;El Gran Combo De Puerto Rico;2025-06-11 19:38:50.066;2025-06-11
2025-06-11T19:52:51.032Z;El Todopoderoso;Héctor Lavoe;2025-06-11 19:52:51.032;2025-06-11
2025-06-11T19:58:11.916Z;Que Rico Boogaloo;La-33;2025-06-11 19:58:11.916;2025-06-11
2025-06-11T20:16:37.470Z;Tu Loco Loco Y Yo Tranquilo;Roberto Roena Y Su Apollo Sound;2025-06-11 20:16:37.47;2025-06-11
2025-06-11T20:22:40.114Z;Tu Loco Loco Y Yo Tranquilo;Roberto Roena Y Su Apollo Sound;2025-06-11 20:22:40.114;2025-06-11
2025-06-11T20:28:59.884Z;La Pantera Mambo;La-33;2025-06-11 20:28:59.884;2025-06-11
