"played_at";"track.name";"name";"played";"day"
"2025-11-14T08:24:54.749Z";"Stompy Jones";"Duke Ellington";"2025-11-14 08:24:54.749";"2025-11-14"
"2025-11-14T09:18:59.993Z";"Blue Monday '88";"New Order";"2025-11-14 09:18:59.993";"2025-11-14"
"2025-11-14T10:02:58.543Z";"Just Can't Get Enough";"Depeche Mode";"2025-11-14 10:02:58.543";"2025-11-14"
"2025-11-14T12:14:10.675Z";"Self Control";"Laura Branigan";"2025-11-14 12:14:10.675";"2025-11-14"
"2025-11-14T15:01:28.748Z";"DÓNDE";"Kapo";"2025-11-14 15:01:28.748";"2025-11-14"
"2025-11-14T15:05:52.057Z";"Batshit";"Sofi Tukker";"2025-11-14 15:05:52.057";"2025-11-14"
"2025-11-14T15:09:45.159Z";"Sinnerman - Sofi Tukker Remix";"Nina Simone";"2025-11-14 15:09:45.159";"2025-11-14"
"2025-11-14T15:12:31.038Z";"The Sun";"Parov Stelar";"2025-11-14 15:12:31.038";"2025-11-14"
"2025-11-14T15:15:29.174Z";"Freak Like Me";"NoMBe";"2025-11-14 15:15:29.174";"2025-11-14"
"2025-11-14T15:18:44.634Z";"Lion";"Bakermat";"2025-11-14 15:18:44.634";"2025-11-14"
"2025-11-14T15:26:36.427Z";"Brazilian Soul (feat. Sofi Tukker)";"The Knocks";"2025-11-14 15:26:36.427";"2025-11-14"
"2025-11-14T15:30:54.073Z";"Body Funk";"Purple Disco Machine";"2025-11-14 15:30:54.073";"2025-11-14"
