"played_at";"track.name";"track.id";"name";"artist.id";"featured_artists";"featured_artist_ids";"played";"day"
"2026-09-18T05:04:00.865Z";"Plans";"20AIH9Jv4Rcj2Gxp8ywzIN";"Brandon Flowers";"18Zv2g2vUcEGqJf6WnjfXN";;;"2026-09-18 05:04:00.865";"2026-09-18"
"2026-09-18T05:43:44.659Z";"I Heard It Through The Grapevine";"0eOt6ksp9ng4a00UdIw2OE";"Creedence Clearwater Revival";"3IYUhFvPQItj6xySrBmZkd";;;"2026-09-18 05:43:44.659";"2026-09-18"
"2026-09-18T05:47:12.583Z";"Long Train Runnin'";"4nXkbcTj3nyww1cHkw5RAP";"The Doobie Brothers";"39T6qqI0jDtSWWioX8eGJz";;;"2026-09-18 05:47:12.583";"2026-09-18"
"2026-09-18T05:50:12.430Z";"Bad, Bad Leroy Brown";"2r3XNMon9K7bl2KTtHsaQO";"Jim Croce";"1R6Hx1tJ2VOUyodEpC12xM";;;"2026-09-18 05:50:12.43";"2026-09-18"
