"played_at";"track.name";"name";"played";"day"
"2026-05-11T05:32:35.616Z";"Ryderz";"Hudson Mohawke";"2026-05-11 05:32:35.616";"2026-05-11"
"2026-05-11T05:55:31.937Z";"San Francisco Boy";"Käärijä";"2026-05-11 05:55:31.937";"2026-05-11"
"2026-05-11T06:01:40.882Z";"Tipus suite - (Apolo 29/3/22)";"Manel";"2026-05-11 06:01:40.882";"2026-05-11"
"2026-05-11T06:12:02.653Z";"Jo competeixo - (Apolo 29/3/22)";"Manel";"2026-05-11 06:12:02.653";"2026-05-11"
"2026-05-11T06:20:25.159Z";"Formigues - (Apolo 29/3/22)";"Manel";"2026-05-11 06:20:25.159";"2026-05-11"
"2026-05-11T06:26:58.264Z";"Al mar - (Apolo 29/3/22)";"Manel";"2026-05-11 06:26:58.264";"2026-05-11"
"2026-05-11T06:32:47.353Z";"La gent normal - (Apolo 29/3/22)";"Manel";"2026-05-11 06:32:47.353";"2026-05-11"
"2026-05-11T06:38:41.863Z";"Les estrelles - (Apolo 29/3/22)";"Manel";"2026-05-11 06:38:41.863";"2026-05-11"
"2026-05-11T06:43:43.164Z";"Mala Sang";"Sopa De Cabra";"2026-05-11 06:43:43.164";"2026-05-11"
"2026-05-11T07:06:42.573Z";"Olen odottanut kärsivällisesti";"Pyhimys";"2026-05-11 07:06:42.573";"2026-05-11"
"2026-05-11T07:12:15.660Z";"Ylös alas outo lumo";"Pyhimys";"2026-05-11 07:12:15.66";"2026-05-11"
"2026-05-11T07:22:41.821Z";"Corren";"Gossos";"2026-05-11 07:22:41.821";"2026-05-11"
"2026-05-11T09:09:34.889Z";"Saaret ovat alkaneet kiehtoa minua";"Pyhimys";"2026-05-11 09:09:34.889";"2026-05-11"
"2026-05-11T09:12:12.114Z";"Planeando el Tiempo";"Elsa y Elmar";"2026-05-11 09:12:12.114";"2026-05-11"
"2026-05-11T09:15:14.316Z";"Carmesí";"Vicente Garcia";"2026-05-11 09:15:14.316";"2026-05-11"
"2026-05-11T09:20:18.250Z";"Caramelo";"La Lá";"2026-05-11 09:20:18.25";"2026-05-11"
"2026-05-11T09:22:07.970Z";"Chachachá";"Jósean Log";"2026-05-11 09:22:07.97";"2026-05-11"
"2026-05-11T09:23:49.638Z";"Chachachá";"Jósean Log";"2026-05-11 09:23:49.638";"2026-05-11"
"2026-05-11T11:10:59.360Z";"Ylös alas outo lumo";"Pyhimys";"2026-05-11 11:10:59.36";"2026-05-11"
"2026-05-11T11:14:56.183Z";"Saaret ovat alkaneet kiehtoa minua";"Pyhimys";"2026-05-11 11:14:56.183";"2026-05-11"
"2026-05-11T11:18:56.954Z";"Hermesetas";"Pyhimys";"2026-05-11 11:18:56.954";"2026-05-11"
"2026-05-11T11:23:57.152Z";"Mustarastaan laulu viemärissä";"Pyhimys";"2026-05-11 11:23:57.152";"2026-05-11"
"2026-05-11T11:30:03.267Z";"Suoritetaan lottoarvonta";"Pyhimys";"2026-05-11 11:30:03.267";"2026-05-11"
"2026-05-11T11:35:47.606Z";"Styroxista rakennettu talo";"Pyhimys";"2026-05-11 11:35:47.606";"2026-05-11"
"2026-05-11T11:45:09.404Z";"Llamando a la tierra (Serenade From the Stars) (Sin enchufe)";"M-Clan";"2026-05-11 11:45:09.404";"2026-05-11"
"2026-05-11T11:49:01.474Z";"Salvaje";"Fuel Fandango";"2026-05-11 11:49:01.474";"2026-05-11"
"2026-05-11T11:55:42.563Z";"Copacabana";"IZAL";"2026-05-11 11:55:42.563";"2026-05-11"
"2026-05-11T11:59:16.675Z";"En Egipto Se Anda Así";"Los Jaguares De La Bahía";"2026-05-11 11:59:16.675";"2026-05-11"
"2026-05-11T12:02:43.699Z";"Lucha De Gigantes";"Love of Lesbian";"2026-05-11 12:02:43.699";"2026-05-11"
"2026-05-11T12:05:43.961Z";"Mon Amour - Remix";"zzoilo";"2026-05-11 12:05:43.961";"2026-05-11"
"2026-05-11T12:08:08.420Z";"No Gires";"Varry Brava";"2026-05-11 12:08:08.42";"2026-05-11"
"2026-05-11T12:12:04.934Z";"Guerra y Paz";"Zahara";"2026-05-11 12:12:04.934";"2026-05-11"
"2026-05-11T12:16:42.195Z";"Toro";"El Columpio Asesino";"2026-05-11 12:16:42.195";"2026-05-11"
"2026-05-11T12:20:22.529Z";"El mundo (feat. Gaby Moreno)";"Love of Lesbian";"2026-05-11 12:20:22.529";"2026-05-11"
"2026-05-11T12:23:30.520Z";"Te Venero";"C. Tangana";"2026-05-11 12:23:30.52";"2026-05-11"
"2026-05-11T12:27:29.396Z";"Mi danza (feat. Dani de Morón)";"Fuel Fandango";"2026-05-11 12:27:29.396";"2026-05-11"
"2026-05-11T12:31:50.981Z";"Ser Brigada";"León Benavente";"2026-05-11 12:31:50.981";"2026-05-11"
"2026-05-11T12:34:21.092Z";"Tuyo";"Zahara";"2026-05-11 12:34:21.092";"2026-05-11"
"2026-05-11T12:37:39.893Z";"Tú Me Dejaste De Querer";"C. Tangana";"2026-05-11 12:37:39.893";"2026-05-11"
"2026-05-11T12:41:14.061Z";"Enamorada";"Pedrina y Rio";"2026-05-11 12:41:14.061";"2026-05-11"
