played_at;track.name;name;played;day
2024-07-03T08:48:50.068Z;Medicine;Nick Waterhouse;2024-07-03 08:48:50.068;2024-07-03
2024-07-03T08:52:01.096Z;Happy Man;Jungle;2024-07-03 08:52:01.096;2024-07-03
2024-07-03T08:54:28.071Z;Do Right;The Limboos;2024-07-03 08:54:28.071;2024-07-03
2024-07-03T12:01:27.065Z;Nothing Breaks Like a Heart (feat. Miley Cyrus);Mark Ronson;2024-07-03 12:01:27.065;2024-07-03
2024-07-03T12:04:35.099Z;Illusion;Dua Lipa;2024-07-03 12:04:35.099;2024-07-03
2024-07-03T12:42:56.510Z;Caravan;Thelonious Monk;2024-07-03 12:42:56.51;2024-07-03
2024-07-03T13:01:37.413Z;Caravan;The Brian Setzer Orchestra;2024-07-03 13:01:37.413;2024-07-03
2024-07-03T13:46:20.222Z;Take Five;The Dave Brubeck Quartet;2024-07-03 13:46:20.222;2024-07-03
2024-07-03T14:18:39.588Z;Les dues torres;Guillem Gisbert;2024-07-03 14:18:39.588;2024-07-03
2024-07-03T14:22:45.605Z;Icebergs i gèisers;Antònia Font;2024-07-03 14:22:45.605;2024-07-03
2024-07-03T14:25:20.048Z;Muntanya Russa;bert bert;2024-07-03 14:25:20.048;2024-07-03
2024-07-03T14:37:12.042Z;Tracy;Nick Waterhouse;2024-07-03 14:37:12.042;2024-07-03
2024-07-03T14:40:46.439Z;Been a Whole Lot of Time;The Limboos;2024-07-03 14:40:46.439;2024-07-03
2024-07-03T14:43:23.577Z;Fever;Dua Lipa;2024-07-03 14:43:23.577;2024-07-03
2024-07-03T14:46:41.539Z;Fugitive Lover;Nick Waterhouse;2024-07-03 14:46:41.539;2024-07-03
2024-07-03T14:53:22.001Z;Pa' Mantener Tradición;Jimmy Bosch;2024-07-03 14:53:22.001;2024-07-03
2024-07-03T14:58:24.837Z;Sofrito;Mongo Santamaria;2024-07-03 14:58:24.837;2024-07-03
2024-07-03T15:00:58.025Z;Camarón;George Guzman;2024-07-03 15:00:58.025;2024-07-03
2024-07-03T15:11:43.250Z;Eso Se Baila Así;Willie Colón;2024-07-03 15:11:43.25;2024-07-03
2024-07-03T15:17:34.722Z;Salchicha Con Huevos;Jimmy Sabater;2024-07-03 15:17:34.722;2024-07-03
2024-07-03T15:26:28.438Z;Que Rico Boogaloo;La-33;2024-07-03 15:26:28.438;2024-07-03
2024-07-03T15:31:37.522Z;No Diggity;Blackstreet;2024-07-03 15:31:37.522;2024-07-03
2024-07-03T15:35:22.602Z;Taulu;Asa;2024-07-03 15:35:22.602;2024-07-03
2024-07-03T15:55:02.445Z;Mistadobalina;Del The Funky Homosapien;2024-07-03 15:55:02.445;2024-07-03
2024-07-03T15:59:09.316Z;You Know My Steez;Gang Starr;2024-07-03 15:59:09.316;2024-07-03
2024-07-03T16:04:31.054Z;Lose Yourself;Eminem;2024-07-03 16:04:31.054;2024-07-03
2024-07-03T16:13:35.018Z;International;Lack Of Afro;2024-07-03 16:13:35.018;2024-07-03
2024-07-03T16:16:31.060Z;Preservation;Wu-Tang Clan;2024-07-03 16:16:31.06;2024-07-03
2024-07-03T17:02:29.245Z;Als nostres amants;Socunbohemio;2024-07-03 17:02:29.245;2024-07-03
