"played_at";"track.name";"name";"played";"day"
"2026-07-07T07:01:13.243Z";"C'est Magnifique";"Harry Arnold and His Swedish Radio Studio Orchestra";"2026-07-07 07:01:13.243";"2026-07-07"
"2026-07-07T11:35:52.724Z";"Blood and Bones";"The Blake Robinson Synthetic Orchestra";"2026-07-07 11:35:52.724";"2026-07-07"
"2026-07-07T11:39:10.635Z";"Rule #34";"Fish in a Birdcage";"2026-07-07 11:39:10.635";"2026-07-07"
"2026-07-07T11:43:08.869Z";"Money Game, Pt. 2";"Ren";"2026-07-07 11:43:08.869";"2026-07-07"
"2026-07-07T14:01:41.834Z";"Caterpillar (feat. Eminem & King Green)";"Royce Da 5'9\"";"2026-07-07 14:01:41.834";"2026-07-07"
"2026-07-07T17:55:45.282Z";"San Francisco Boy";"Käärijä";"2026-07-07 17:55:45.282";"2026-07-07"
"2026-07-07T17:58:30.718Z";"Wasted Love";"JJ";"2026-07-07 17:58:30.718";"2026-07-07"
"2026-07-07T17:59:51.778Z";"Moottoritie on kuuma (Vain elämää kausi 16)";"Käärijä";"2026-07-07 17:59:51.778";"2026-07-07"
