"played_at";"track.name";"name";"played";"day"
"2026-02-11T07:08:31.773Z";"Tornarem";"Lax'n'Busto";"2026-02-11 07:08:31.773";"2026-02-11"
"2026-02-11T07:12:25.801Z";"Adeu i gràcies";"Blanca Campins";"2026-02-11 07:12:25.801";"2026-02-11"
"2026-02-11T07:16:24.279Z";"Explosió";"La iaia";"2026-02-11 07:16:24.279";"2026-02-11"
"2026-02-11T07:20:37.509Z";"Sa Lluna Damunt Formentera";"Projecte Mut";"2026-02-11 07:20:37.509";"2026-02-11"
"2026-02-11T07:25:17.292Z";"Flor de primavera";"La Troba Kung-Fú";"2026-02-11 07:25:17.292";"2026-02-11"
"2026-02-11T07:28:14.383Z";"Els Amants";"Ovidi Montllor";"2026-02-11 07:28:14.383";"2026-02-11"
"2026-02-11T07:31:50.615Z";"Estiu";"ZOO";"2026-02-11 07:31:50.615";"2026-02-11"
"2026-02-11T07:34:03.338Z";"L'Arbre Ple de Flors";"Guillem Ramisa";"2026-02-11 07:34:03.338";"2026-02-11"
"2026-02-11T07:37:49.254Z";"Ceràmiques Guzmán";"Manel";"2026-02-11 07:37:49.254";"2026-02-11"
"2026-02-11T07:43:16.489Z";"Manela, no vull currar per vostè";"La Ludwig Band";"2026-02-11 07:43:16.489";"2026-02-11"
"2026-02-11T07:47:17.676Z";"Te Vendré a Cercar";"Xanguito";"2026-02-11 07:47:17.676";"2026-02-11"
"2026-02-11T10:23:39.252Z";"per avorriment";"Jo Jet i Maria Ribot";"2026-02-11 10:23:39.252";"2026-02-11"
"2026-02-11T13:06:29.772Z";"Caterpillar (feat. Eminem & King Green)";"Royce Da 5'9\"";"2026-02-11 13:06:29.772";"2026-02-11"
"2026-02-11T13:09:31.496Z";"Work";"Gang Starr";"2026-02-11 13:09:31.496";"2026-02-11"
"2026-02-11T13:12:44.051Z";"Sound The Horns";"Wu-Tang Clan";"2026-02-11 13:12:44.051";"2026-02-11"
"2026-02-11T13:16:53.210Z";"Mathematics";"Mos Def";"2026-02-11 13:16:53.21";"2026-02-11"
