"played_at";"track.name";"name";"played";"day"
"2026-06-30T02:31:52.585Z";"Ramblers Groove";"Siberian Hotheads";"2026-06-30 02:31:52.585";"2026-06-30"
"2026-06-30T05:43:54.380Z";"TANZSCHEIN";"COSMÓ";"2026-06-30 05:43:54.38";"2026-06-30"
"2026-06-30T05:46:44.068Z";"Ya Ya Ya";"JONAS LOVV";"2026-06-30 05:46:44.068";"2026-06-30"
"2026-06-30T05:49:42.765Z";"Bangaranga";"DARA";"2026-06-30 05:49:42.765";"2026-06-30"
"2026-06-30T05:51:38.306Z";"Cha Cha Cha / Rim Tim Tagi Dim (Battle Mashup)";"Käärijä";"2026-06-30 05:51:38.306";"2026-06-30"
"2026-06-30T05:54:37.836Z";"Rim Tim Tagi Dim";"Baby Lasagna";"2026-06-30 05:54:37.836";"2026-06-30"
"2026-06-30T05:57:25.121Z";"Bara Bada Bastu";"KAJ";"2026-06-30 05:57:25.121";"2026-06-30"
"2026-06-30T06:00:25.763Z";"Dancing on the ice";"Essyla";"2026-06-30 06:00:25.763";"2026-06-30"
"2026-06-30T06:02:57.712Z";"Hausparty";"RIAN";"2026-06-30 06:02:57.712";"2026-06-30"
"2026-06-30T06:19:04.019Z";"Malediven";"Laurenz Nikolaus";"2026-06-30 06:19:04.019";"2026-06-30"
"2026-06-30T06:24:09.546Z";"Illa";"Projecte Mut";"2026-06-30 06:24:09.546";"2026-06-30"
"2026-06-30T06:27:44.002Z";"Comissió de Festes";"Projecte Mut";"2026-06-30 06:27:44.002";"2026-06-30"
"2026-06-30T06:31:18.185Z";"Misirlou - Instrumental";"Projecte Mut";"2026-06-30 06:31:18.185";"2026-06-30"
"2026-06-30T07:09:05.929Z";"Bruixes";"Projecte Mut";"2026-06-30 07:09:05.929";"2026-06-30"
"2026-06-30T08:00:54.228Z";"Flight of the Foo Birds";"Count Basie";"2026-06-30 08:00:54.228";"2026-06-30"
"2026-06-30T10:48:45.745Z";"Taulu";"Asa";"2026-06-30 10:48:45.745";"2026-06-30"
"2026-06-30T10:52:55.409Z";"Mä haluun olla hippi";"Asa";"2026-06-30 10:52:55.409";"2026-06-30"
"2026-06-30T10:57:03.308Z";"Reiviluola";"Haloo Helsinki!";"2026-06-30 10:57:03.308";"2026-06-30"
"2026-06-30T11:00:05.798Z";"Made Of";"Goldielocks";"2026-06-30 11:00:05.798";"2026-06-30"
"2026-06-30T11:05:26.236Z";"Haloo";"PMMP";"2026-06-30 11:05:26.236";"2026-06-30"
"2026-06-30T11:08:10.482Z";"Sekaisin";"costee";"2026-06-30 11:08:10.482";"2026-06-30"
"2026-06-30T11:22:10.921Z";"Eden";"Jenni Vartiainen";"2026-06-30 11:22:10.921";"2026-06-30"
"2026-06-30T13:26:34.247Z";"Te Venero";"C. Tangana";"2026-06-30 13:26:34.247";"2026-06-30"
"2026-06-30T13:28:45.753Z";"GATA";"Ralphie Choo";"2026-06-30 13:28:45.753";"2026-06-30"
"2026-06-30T13:32:35.297Z";"CAFé CON RON";"Bad Bunny";"2026-06-30 13:32:35.297";"2026-06-30"
"2026-06-30T13:34:26.018Z";"TU VAS SIN (fav)";"Rels B";"2026-06-30 13:34:26.018";"2026-06-30"
"2026-06-30T13:37:13.742Z";"pa quererte";"Rels B";"2026-06-30 13:37:13.742";"2026-06-30"
