played_at;track.name;name;played;day
2024-03-06T08:16:25.385Z;A Little Bird Told Me (10-26-48);Blue Lu Barker;2024-03-06 08:16:25.385;2024-03-06
2024-03-06T08:18:34.101Z;Fado Boémio e vadio;Piedade Fernandes;2024-03-06 08:18:34.101;2024-03-06
2024-03-06T08:23:13.202Z;Ella y Yo;Joan Chamorro;2024-03-06 08:23:13.202;2024-03-06
2024-03-06T09:13:33.235Z;María;Zulu 9.30;2024-03-06 09:13:33.235;2024-03-06
2024-03-06T09:19:46.834Z;Sami tosi isot imas;Pyhimys;2024-03-06 09:19:46.834;2024-03-06
2024-03-06T09:23:01.705Z;Elokuva;Paperi T;2024-03-06 09:23:01.705;2024-03-06
2024-03-06T09:26:25.077Z;Sä jätät jäljen;Paperi T;2024-03-06 09:26:25.077;2024-03-06
2024-03-06T09:30:03.948Z;Pakofantasia;Pyhimys;2024-03-06 09:30:03.948;2024-03-06
2024-03-06T09:33:13.191Z;Jokaiselle jotakin;Ruger Hauer;2024-03-06 09:33:13.191;2024-03-06
2024-03-06T09:37:32.673Z;Mulkut - Vain Elämää Kausi 9;Pyhimys;2024-03-06 09:37:32.673;2024-03-06
2024-03-06T09:40:16.100Z;King's Kakadu;OPIUM;2024-03-06 09:40:16.1;2024-03-06
2024-03-06T09:43:52.151Z;Päivänsäde (feat. F);costee;2024-03-06 09:43:52.151;2024-03-06
2024-03-06T09:49:26.256Z;Riippusilta;Ruger Hauer;2024-03-06 09:49:26.256;2024-03-06
2024-03-06T09:53:31.397Z;Tavalliset hautajaiset;Samuli Putro;2024-03-06 09:53:31.397;2024-03-06
2024-03-06T09:55:36.764Z;Kultaa Hiuksissa;Olavi Uusivirta;2024-03-06 09:55:36.764;2024-03-06
2024-03-06T11:23:11.075Z;Kultaa Hiuksissa;Olavi Uusivirta;2024-03-06 11:23:11.075;2024-03-06
2024-03-06T11:27:20.019Z;Kaunotar ja Sirviö;Pyhimys;2024-03-06 11:27:20.019;2024-03-06
2024-03-06T11:30:21.093Z;Mania;NCO;2024-03-06 11:30:21.093;2024-03-06
2024-03-06T11:33:28.071Z;Mieli Sairastaa;Chebaleba;2024-03-06 11:33:28.071;2024-03-06
2024-03-06T11:36:53.056Z;Celeste;Pyhimys;2024-03-06 11:36:53.056;2024-03-06
2024-03-06T11:41:10.072Z;Ollaanko tämä kesä näin?;Olavi Uusivirta;2024-03-06 11:41:10.072;2024-03-06
2024-03-06T13:17:04.069Z;Jotain Enemmän;AHTI;2024-03-06 13:17:04.069;2024-03-06
2024-03-06T13:21:02.038Z;Eden;Jenni Vartiainen;2024-03-06 13:21:02.038;2024-03-06
2024-03-06T13:23:35.067Z;Ihme ja kumma (feat. Spin);Pyhimys;2024-03-06 13:23:35.067;2024-03-06
2024-03-06T13:26:53.002Z;Me ollaan nuoriso;Pikku G;2024-03-06 13:26:53.002;2024-03-06
2024-03-06T13:29:55.065Z;Panomies;Skandaali;2024-03-06 13:29:55.065;2024-03-06
2024-03-06T14:24:33.230Z;Paniikki;Paperi T;2024-03-06 14:24:33.23;2024-03-06
2024-03-06T15:47:05.040Z;Kultaa Hiuksissa;Olavi Uusivirta;2024-03-06 15:47:05.04;2024-03-06
2024-03-06T15:52:38.466Z;Ote;Pyhimys;2024-03-06 15:52:38.466;2024-03-06
2024-03-06T15:55:45.530Z;Mieli Sairastaa;Chebaleba;2024-03-06 15:55:45.53;2024-03-06
2024-03-06T15:59:14.807Z;Ei taida tietää tyttö;Erin;2024-03-06 15:59:14.807;2024-03-06
2024-03-06T16:03:32.280Z;Ollaanko tämä kesä näin?;Olavi Uusivirta;2024-03-06 16:03:32.28;2024-03-06
2024-03-06T16:07:30.939Z;Eden;Jenni Vartiainen;2024-03-06 16:07:30.939;2024-03-06
