played_at;track.name;name;played;day
2024-12-08T08:30:05.647Z;Funk The Rich;Lex Eazy & The Mambo Club;2024-12-08 08:30:05.647;2024-12-08
2024-12-08T08:33:50.631Z;Shiny Stockings;Bobby Valentin;2024-12-08 08:33:50.631;2024-12-08
2024-12-08T08:36:37.662Z;Dile a Catalina;Bebo & Cachao;2024-12-08 08:36:37.662;2024-12-08
2024-12-08T08:39:05.931Z;Mas Que Nada;Oscar Peterson;2024-12-08 08:39:05.931;2024-12-08
2024-12-08T08:43:48.835Z;Chan-Chan;Abdoulaye Diabaté;2024-12-08 08:43:48.835;2024-12-08
2024-12-08T08:46:28.228Z;Sandunga;Dave Pike;2024-12-08 08:46:28.228;2024-12-08
2024-12-08T08:49:28.036Z;Mississippi Mambo;Noro Morales;2024-12-08 08:49:28.036;2024-12-08
2024-12-08T08:53:59.736Z;Temptation Rag;Lu Watters Yerba Buena Jazz Band;2024-12-08 08:53:59.736;2024-12-08
2024-12-08T20:56:08.600Z;Shiny Stockings;Bobby Valentin;2024-12-08 20:56:08.6;2024-12-08
