played_at;track.name;name;played;day
2024-03-15T06:46:48.730Z;Mía (Casa Abandonada);Boraj;2024-03-15 06:46:48.73;2024-03-15
2024-03-15T06:51:51.579Z;Q’antataita;Puentes;2024-03-15 06:51:51.579;2024-03-15
2024-03-15T06:54:42.320Z;Bones (feat. Jófriður);Low Roar;2024-03-15 06:54:42.32;2024-03-15
2024-03-15T06:58:19.340Z;El Fuerte;GUAZÚ;2024-03-15 06:58:19.34;2024-03-15
2024-03-15T07:01:43.238Z;Un Amor;Amatria;2024-03-15 07:01:43.238;2024-03-15
2024-03-15T07:02:42.490Z;Napas;Mercan Dede;2024-03-15 07:02:42.49;2024-03-15
2024-03-15T07:08:56.509Z;Don't Be So Serious;Low Roar;2024-03-15 07:08:56.509;2024-03-15
2024-03-15T07:14:57.141Z;El Camino De Mi Alma;Hermanos Gutiérrez;2024-03-15 07:14:57.141;2024-03-15
2024-03-15T07:21:39.057Z;Nevar;El Búho;2024-03-15 07:21:39.057;2024-03-15
2024-03-15T07:26:38.675Z;Suéltalo;Hermanos Gutiérrez;2024-03-15 07:26:38.675;2024-03-15
2024-03-15T07:35:58.535Z;Wanzka;Kalabrese;2024-03-15 07:35:58.535;2024-03-15
2024-03-15T07:41:07.583Z;Criançada (con Castello Branco);Nicola Cruz;2024-03-15 07:41:07.583;2024-03-15
2024-03-15T07:48:51.465Z;El Viaje;Joaquín Cornejo;2024-03-15 07:48:51.465;2024-03-15
2024-03-15T08:02:23.177Z;Mona Ki Ngi Xica;Bonga;2024-03-15 08:02:23.177;2024-03-15
2024-03-15T09:56:26.055Z;Los Perros;Arde Bogotá;2024-03-15 09:56:26.055;2024-03-15
2024-03-15T09:58:26.888Z;Hoy la Bestia Cena en Casa - Radio Edit;Zahara;2024-03-15 09:58:26.888;2024-03-15
2024-03-15T18:08:25.232Z;Life Must Be Beautiful (Original Song From a Movie “Life Must Be Beautiful”);ALMA;2024-03-15 18:08:25.232;2024-03-15
2024-03-15T18:11:35.136Z;Hardcore;Iisa;2024-03-15 18:11:35.136;2024-03-15
2024-03-15T18:17:07.627Z;Los Perros;Arde Bogotá;2024-03-15 18:17:07.627;2024-03-15
2024-03-15T18:19:40.677Z;Matar la Pena;Besmaya;2024-03-15 18:19:40.677;2024-03-15
