"played_at";"track.name";"name";"played";"day"
"2025-11-27T06:14:13.326Z";"Que bonic!";"La Ludwig Band";"2025-11-27 06:14:13.326";"2025-11-27"
"2025-11-27T06:17:31.469Z";"On t'has ficat aquesta nit?";"La Ludwig Band";"2025-11-27 06:17:31.469";"2025-11-27"
"2025-11-27T06:18:41.830Z";"A la voreta del foc";"Alosa";"2025-11-27 06:18:41.83";"2025-11-27"
"2025-11-27T06:20:45.169Z";"Amic dels Cirerers";"Pau Vallvé";"2025-11-27 06:20:45.169";"2025-11-27"
"2025-11-27T06:23:24.210Z";"Estratègies per seduir un imbècil";"Blanca Campins";"2025-11-27 06:23:24.21";"2025-11-27"
"2025-11-27T06:25:11.312Z";"Estudiantina";"Guillem Gisbert";"2025-11-27 06:25:11.312";"2025-11-27"
"2025-11-27T06:27:23.555Z";"Flor de nit";"Mar Pujol";"2025-11-27 06:27:23.555";"2025-11-27"
"2025-11-27T06:31:03.910Z";"El meu amor se n’ha anat de vacances";"La Ludwig Band";"2025-11-27 06:31:03.91";"2025-11-27"
"2025-11-27T06:41:13.317Z";"Rockin' In Rhythm - Live At Newport Jazz Festival, Newport, RI / 1959";"Duke Ellington Orchestra";"2025-11-27 06:41:13.317";"2025-11-27"
"2025-11-27T06:41:49.871Z";"Take The \A\ Train - Live In Newport / 1959";"Duke Ellington";"2025-11-27 06:41:49.871";"2025-11-27"
"2025-11-27T06:47:21.113Z";"Perdido - Live At Newport Jazz Festival, Newport, RI / 1959";"Duke Ellington";"2025-11-27 06:47:21.113";"2025-11-27"
"2025-11-27T06:49:47.719Z";"Take the a Train";"Duke Ellington Orchestra";"2025-11-27 06:49:47.719";"2025-11-27"
"2025-11-27T06:52:20.763Z";"Cherokee";"Charlie Barnet";"2025-11-27 06:52:20.763";"2025-11-27"
"2025-11-27T06:55:09.102Z";"Anvil Chorus";"Members Of The Glenn Miller Orchestra";"2025-11-27 06:55:09.102";"2025-11-27"
"2025-11-27T07:00:03.497Z";"NUEVAYoL";"Bad Bunny";"2025-11-27 07:00:03.497";"2025-11-27"
"2025-11-27T07:03:53.559Z";"LO QUE LE PASÓ A HAWAii";"Bad Bunny";"2025-11-27 07:03:53.559";"2025-11-27"
"2025-11-27T07:07:20.464Z";"PIToRRO DE COCO";"Bad Bunny";"2025-11-27 07:07:20.464";"2025-11-27"
"2025-11-27T07:12:42.415Z";"WELTiTA";"Bad Bunny";"2025-11-27 07:12:42.415";"2025-11-27"
"2025-11-27T07:16:37.960Z";"Sexo, Violencia y Llantas";"ROSALÍA";"2025-11-27 07:16:37.96";"2025-11-27"
"2025-11-27T08:04:39.898Z";"Reliquia";"ROSALÍA";"2025-11-27 08:04:39.898";"2025-11-27"
"2025-11-27T10:58:26.279Z";"Reliquia";"ROSALÍA";"2025-11-27 10:58:26.279";"2025-11-27"
"2025-11-27T11:02:50.733Z";"Divinize";"ROSALÍA";"2025-11-27 11:02:50.733";"2025-11-27"
"2025-11-27T11:07:16.281Z";"Porcelana";"ROSALÍA";"2025-11-27 11:07:16.281";"2025-11-27"
"2025-11-27T12:03:03.832Z";"Mio Cristo Piange Diamanti";"ROSALÍA";"2025-11-27 12:03:03.832";"2025-11-27"
"2025-11-27T12:06:02.124Z";"Berghain";"ROSALÍA";"2025-11-27 12:06:02.124";"2025-11-27"
"2025-11-27T12:09:15.784Z";"La Perla";"ROSALÍA";"2025-11-27 12:09:15.784";"2025-11-27"
"2025-11-27T12:11:41.723Z";"Mundo Nuevo";"ROSALÍA";"2025-11-27 12:11:41.723";"2025-11-27"
"2025-11-27T12:13:20.050Z";"De Madrugá";"ROSALÍA";"2025-11-27 12:13:20.05";"2025-11-27"
"2025-11-27T12:15:45.620Z";"Dios Es Un Stalker";"ROSALÍA";"2025-11-27 12:15:45.62";"2025-11-27"
"2025-11-27T12:20:16.225Z";"La Yugular";"ROSALÍA";"2025-11-27 12:20:16.225";"2025-11-27"
"2025-11-27T12:23:23.174Z";"Sauvignon Blanc";"ROSALÍA";"2025-11-27 12:23:23.174";"2025-11-27"
"2025-11-27T12:27:54.957Z";"La Rumba Del Perdón";"ROSALÍA";"2025-11-27 12:27:54.957";"2025-11-27"
"2025-11-27T12:32:35.477Z";"Memória";"ROSALÍA";"2025-11-27 12:32:35.477";"2025-11-27"
"2025-11-27T12:34:32.816Z";"Magnolias";"ROSALÍA";"2025-11-27 12:34:32.816";"2025-11-27"
"2025-11-27T12:37:59.057Z";"Catalina";"ROSALÍA";"2025-11-27 12:37:59.057";"2025-11-27"
"2025-11-27T12:40:22.791Z";"NI EN LOS PUERTOS ITALIANOS";"Yerai Cortés";"2025-11-27 12:40:22.791";"2025-11-27"
"2025-11-27T12:44:13.660Z";"Porque llorax blanca niña";"Rita Payés";"2025-11-27 12:44:13.66";"2025-11-27"
"2025-11-27T12:47:56.925Z";"Oral";"Björk";"2025-11-27 12:47:56.925";"2025-11-27"
"2025-11-27T12:51:02.254Z";"mangata";"Judeline";"2025-11-27 12:51:02.254";"2025-11-27"
"2025-11-27T12:54:21.191Z";"A CABALLO";"NATHY PELUSO";"2025-11-27 12:54:21.191";"2025-11-27"
"2025-11-27T12:58:35.147Z";"Aunque Es De Noche";"ROSALÍA";"2025-11-27 12:58:35.147";"2025-11-27"
"2025-11-27T13:02:07.630Z";"Barefoot In The Park (feat. ROSALÍA)";"James Blake";"2025-11-27 13:02:07.63";"2025-11-27"
"2025-11-27T13:06:12.053Z";"Nunca vas a comprender";"Rita Payés";"2025-11-27 13:06:12.053";"2025-11-27"
"2025-11-27T13:11:02.930Z";"People Always Change";"Celeste";"2025-11-27 13:11:02.93";"2025-11-27"
"2025-11-27T13:14:54.048Z";"Un puente por la Bahía, la Cruz del Campo";"Judeline";"2025-11-27 13:14:54.048";"2025-11-27"
"2025-11-27T13:17:52.373Z";"Hoxe, mañá e sempre";"Tanxugueiras";"2025-11-27 13:17:52.373";"2025-11-27"
"2025-11-27T13:22:15.220Z";"COMO UN G";"ROSALÍA";"2025-11-27 13:22:15.22";"2025-11-27"
"2025-11-27T13:25:44.042Z";"La calma";"El Kanka";"2025-11-27 13:25:44.042";"2025-11-27"
"2025-11-27T13:30:20.232Z";"Quien lo diría";"Rita Payés";"2025-11-27 13:30:20.232";"2025-11-27"
