played_at;track.name;name;played;day
2024-07-27T08:25:45.020Z;Rasputin;Majestic;2024-07-27 08:25:45.02;2024-07-27
2024-07-27T08:30:20.078Z;Ma Baker;Boney M.;2024-07-27 08:30:20.078;2024-07-27
2024-07-27T08:40:23.028Z;Daddy Cool;Boney M.;2024-07-27 08:40:23.028;2024-07-27
2024-07-27T13:49:37.148Z;Castle Rock;Johnny Hodges & His Orchestra;2024-07-27 13:49:37.148;2024-07-27
2024-07-27T13:52:45.055Z;A Pound Of Blues;Johnny Hodges & His Orchestra;2024-07-27 13:52:45.055;2024-07-27
2024-07-27T13:55:47.964Z;Globe Trotter;Johnny Hodges & His Orchestra;2024-07-27 13:55:47.964;2024-07-27
2024-07-27T13:58:44.055Z;Jeep's Blues;Johnny Hodges & His Orchestra;2024-07-27 13:58:44.055;2024-07-27
2024-07-27T14:01:55.051Z;Blue Fantasia;Johnny Hodges & His Orchestra;2024-07-27 14:01:55.051;2024-07-27
2024-07-27T14:04:57.245Z;Wham;Johnny Hodges & His Orchestra;2024-07-27 14:04:57.245;2024-07-27
2024-07-27T14:08:10.053Z;A Gentle Breeze;Johnny Hodges & His Orchestra;2024-07-27 14:08:10.053;2024-07-27
2024-07-27T14:33:12.732Z;Un Dia Bonito (Edited Version);Eddie Palmieri;2024-07-27 14:33:12.732;2024-07-27
2024-07-27T14:36:03.603Z;Mambo Sangria;Cal Tjader;2024-07-27 14:36:03.603;2024-07-27
2024-07-27T14:38:01.236Z;Cuban Fantasy;Tito Puente & His Orchestra;2024-07-27 14:38:01.236;2024-07-27
2024-07-27T14:41:38.638Z;Fantasía Cubana;German Villarreal;2024-07-27 14:41:38.638;2024-07-27
2024-07-27T14:47:24.805Z;Muñeca;Charlie Palmieri;2024-07-27 14:47:24.805;2024-07-27
2024-07-27T14:53:19.977Z;Mambo Show;Charlie Palmieri;2024-07-27 14:53:19.977;2024-07-27
2024-07-27T14:57:25.896Z;Ran Kan Kan;German Villarreal;2024-07-27 14:57:25.896;2024-07-27
2024-07-27T15:00:15.247Z;La Palomilla;Joe Cuba;2024-07-27 15:00:15.247;2024-07-27
2024-07-27T15:04:04.082Z;Hong Kong Mambo;Ray Barretto;2024-07-27 15:04:04.082;2024-07-27
2024-07-27T15:11:49.431Z;Mambito;Snowboy & The Latin Section;2024-07-27 15:11:49.431;2024-07-27
2024-07-27T15:16:47.474Z;Shooting Mambo;La-33;2024-07-27 15:16:47.474;2024-07-27
2024-07-27T15:20:13.422Z;Bamboléate;Cal Tjader;2024-07-27 15:20:13.422;2024-07-27
2024-07-27T15:23:04.613Z;Mishugina Mambo;La Plata Sextette;2024-07-27 15:23:04.613;2024-07-27
2024-07-27T15:24:16.789Z;Pastime Paradise;Ray Barretto;2024-07-27 15:24:16.789;2024-07-27
2024-07-27T15:58:25.241Z;Barbra Streisand - Boney M. Mega Mashup-Mix - 128 BPM;Boney M.;2024-07-27 15:58:25.241;2024-07-27
2024-07-27T16:01:40.981Z;Pastime Paradise;Ray Barretto;2024-07-27 16:01:40.981;2024-07-27
2024-07-27T16:09:27.368Z;Parisian Throughfare - Jazz Mambo;Ricardo Ray;2024-07-27 16:09:27.368;2024-07-27
2024-07-27T16:14:06.660Z;Mambo Moderno;Vladimir and his orchestra;2024-07-27 16:14:06.66;2024-07-27
2024-07-27T16:21:14.061Z;Vámonos Pa'l Monte;Eddie Palmieri;2024-07-27 16:21:14.061;2024-07-27
