"played_at";"track.name";"track.id";"name";"artist.id";"featured_artists";"featured_artist_ids";"played";"day"
"2026-09-17T05:27:51.541Z";"No One But You (Only The Good Die Young)";"12aP2wscm9zStJvUjzjiK2";"Queen";"1dfeR4HaWDbWqFHLkxsg1d";;;"2026-09-17 05:27:51.541";"2026-09-17"
"2026-09-17T05:32:13.321Z";"In The Stars";"2NxvINbGnBMtcphlpX3UDE";"The Rolling Stones";"22bE4uQ6baNwSHPVcDxLCe";;;"2026-09-17 05:32:13.321";"2026-09-17"
"2026-09-17T05:35:16.651Z";"Thunder Rumbles - Live at Sydney Opera House";"2zIXohLW0POJPSEUYyD7wq";"The Cat Empire";"023YMawCG3OvACmRjWxLWC";"Sydney Symphony Orchestra";"6urvbTw4Mi2tGEEyBVXgMo";"2026-09-17 05:35:16.651";"2026-09-17"
"2026-09-17T05:41:05.506Z";"Turnaround Situation";"3q7sMXpdoCAC1BpAaeZIPJ";"Yes";"7AC976RDJzL2asmZuz7qil";;;"2026-09-17 05:41:05.506";"2026-09-17"
"2026-09-17T05:45:19.984Z";"A Matter of Trust - Live at Yankee Stadium, Bronx, NY - June 1990";"5KKUERxTWwjvbXAmUJtN0M";"Billy Joel";"6zFYqv1mOsgBRQbae3JJ9e";;;"2026-09-17 05:45:19.984";"2026-09-17"
"2026-09-17T05:47:46.284Z";"I Wanna Be Sedated";"6nTnjjkXY4UfqnU9bWpvIN";"The Offspring";"5LfGQac0EIXyAN8aUwmNAQ";;;"2026-09-17 05:47:46.284";"2026-09-17"
"2026-09-17T06:00:32.583Z";"Radio Ga Ga";"6RK4k63gdyYMZ8j7ICl3h1";"Queen";"1dfeR4HaWDbWqFHLkxsg1d";;;"2026-09-17 06:00:32.583";"2026-09-17"
"2026-09-17T06:04:24.944Z";"With This Tear";"5RmahHphPEqdj7QC1Og43T";"Prince";"5a2EaR3hamoenG9rDuVn8j";;;"2026-09-17 06:04:24.944";"2026-09-17"
"2026-09-17T06:11:52.316Z";"Another Brick in the Wall, Pt. 2";"4gMgiXfqyzZLMhsksGmbQV";"Pink Floyd";"0k17h0D3J5VfsdmQ1iZtE9";;;"2026-09-17 06:11:52.316";"2026-09-17"
"2026-09-17T06:13:54.798Z";"We Will Rock You - Official Remastered 2026 Version";"6beTFxzywTyG3X0PxVGCGa";"Queen";"1dfeR4HaWDbWqFHLkxsg1d";;;"2026-09-17 06:13:54.798";"2026-09-17"
"2026-09-17T06:18:44.107Z";"Saw You Stand";"5bfBYLi32nYvrKbtPi78ek";"Greta Van Fleet";"4NpFxQe2UvRCAjto3JqlSl";;;"2026-09-17 06:18:44.107";"2026-09-17"
"2026-09-17T06:22:01.568Z";"I See You Now";"4bm0BrQE6vgVH0MczVXPg2";"Roger Taylor";"2PZEd7yktruWruOqORRChA";;;"2026-09-17 06:22:01.568";"2026-09-17"
"2026-09-17T06:25:37.246Z";"Be With You";"5uRIDvs1RzuxBIj8NigFUn";"Muse";"12Chz98pHFMPJEknJQMWvI";;;"2026-09-17 06:25:37.246";"2026-09-17"
"2026-09-17T06:45:09.445Z";"November Rain - 2022 Version";"3q9npStSssk7sZWotiNQLK";"Guns N' Roses";"3qm84nBOXUEQ2vnTfUTTFC";;;"2026-09-17 06:45:09.445";"2026-09-17"
"2026-09-17T06:51:34.188Z";"Radio Ga Ga - Live in Budapest";"7mbMiEqBzdGgwEQRFVOxaV";"Queen";"1dfeR4HaWDbWqFHLkxsg1d";;;"2026-09-17 06:51:34.188";"2026-09-17"
"2026-09-17T07:05:38.041Z";"Since I Don't Have You";"5sVf9kN90ScddiT3SdT9Qh";"Guns N' Roses";"3qm84nBOXUEQ2vnTfUTTFC";;;"2026-09-17 07:05:38.041";"2026-09-17"
"2026-09-17T07:09:44.441Z";"The River of Dreams";"30qVCFYKBtAENjTIBA8FPZ";"Billy Joel";"6zFYqv1mOsgBRQbae3JJ9e";;;"2026-09-17 07:09:44.441";"2026-09-17"
"2026-09-17T07:34:36.768Z";"My Friend";"6ZZBMSIa6EaOxRrzhxK0fA";"DI-RECT";"0d1nFNO90pwRmCeeqjOx2Q";;;"2026-09-17 07:34:36.768";"2026-09-17"
