"played_at";"track.name";"track.id";"name";"artist.id";"featured_artists";"featured_artist_ids";"played";"day"
"2026-09-16T05:42:46.466Z";"Bad Boy for Life";"2eOuL8KesslTLQERQPu11D";"Diddy";"59wfkuBoNyhDMQGCljbUbA";"Black Rob|Mark Curry";"1QPZhx0asYTBxD5RDqfU49|20N6dS0vq9kMWXUqEkFrBA";"2026-09-16 05:42:46.466";"2026-09-16"
"2026-09-16T10:37:37.478Z";"Amazing (feat. Melanie Rutherford)";"2oKSARzfxqUNS2wLRa7Rpm";"Royce Da 5'9\"";"6DVipHzYsPlIoA0DW8Gmns";"Melanie Rutherford";"0GGwpRkFx59V8VmkTRIIQy";"2026-09-16 10:37:37.478";"2026-09-16"
"2026-09-16T10:40:48.193Z";"1985 - Intro to “The Fall Off”";"7EulRO07ZgchxqKUHb8Pvc";"J. Cole";"6l3HvQ5sa6mXTsMTB19rO5";;;"2026-09-16 10:40:48.193";"2026-09-16"
"2026-09-16T10:45:31.704Z";"6 Summers";"0lG7iyNSstVOLV6faMIHdD";"Anderson .Paak";"3jK9MiCrA42lLAdMGUZpwa";;;"2026-09-16 10:45:31.704";"2026-09-16"
"2026-09-16T10:53:40.180Z";"Wu Tang Forever (ft. Ghostface Killah, Raekwon, RZA, Method Man, Inspectah Deck, Cappadonna, Jackpot Scotty Wotty, U-God, Masta Killa, GZA)";"6VDz4m1vEGHDDqQojf1mpc";"Logic";"4xRYI6VqpkE3UwrDrAZL8L";"Ghostface Killah|Raekwon|RZA|Method Man|Inspectah Deck|Cappadonna|Jackpot Scotty Wotty|U-God|Masta Killa|GZA";"6FD0unjzGQhX3b6eMccMJe|2yQf6b8hxahZaT5dHlWaB1|4iCwCMnqsNZ6atvRiADgtn|4VmEWwd8y9MCLwexFMdpwt|4OBbOrkD4geIjOLrICN3wO|0dS5xeDefwoUNasLUHnCjR|09XH5qagU5qcWhYXcQYsjX|0G070wUUUBptmqGEKAAUVx|0ME1RawvWt3qOJnYnxVqeh|6ns6XAOsw4B0nDUIovAOUO";"2026-09-16 10:53:40.18";"2026-09-16"
"2026-09-16T10:58:27.656Z";"Yah Yah (feat. Royce Da 5'9\", Black Thought, Q-Tip & Denaun)";"5mZXWEH2eh8zMZGCxT5aW0";"Eminem";"7dGJo4pcD2V6oG8kP0tJRR";"Royce Da 5'9\"|Black Thought|Q-Tip|Denaun";"6DVipHzYsPlIoA0DW8Gmns|6DJEUXZm0e2rAohdoZ5Voo|3ZotbHeyVQKxQCPDJuQ4SU|1WjexdTcXHgvlVIPCE8D1Q";"2026-09-16 10:58:27.656";"2026-09-16"
"2026-09-16T11:02:09.850Z";"FUBU";"76DeWL6QSLg6ZdgDZdDZcs";"Royce Da 5'9\"";"6DVipHzYsPlIoA0DW8Gmns";"Conway the Machine";"67gqUXxHedeUGDTxwBzdjS";"2026-09-16 11:02:09.85";"2026-09-16"
"2026-09-16T11:06:16.269Z";"Little Weapon (feat. Bishop G & Nikki Jean)";"7sb2qiE0af4NggQPa5FkYY";"Lupe Fiasco";"01QTIT5P1pFP3QnnFSdsJf";"Bishop G|Nikki Jean";"2HTK8zEKTdM2vQScd3Jg5C|5LkHiburgp40vnKs1PFQYR";"2026-09-16 11:06:16.269";"2026-09-16"
"2026-09-16T11:10:12.186Z";"Living Proof";"6amCeNhEjgxBlWkwgmdboa";"Bad Meets Evil";"77IURH5NC56Jn09QHi76is";;;"2026-09-16 11:10:12.186";"2026-09-16"
"2026-09-16T11:12:11.646Z";"Lotta Years";"2paPlKZIIZ2Qk76aZOXR2w";"Aesop Rock";"2fSaE6BXtQy0x7R7v9IOmZ";;;"2026-09-16 11:12:11.646";"2026-09-16"
"2026-09-16T11:19:20.044Z";"Mode II (feat. Logic)";"7jodnfNxbLDjL5jw18rgiy";"PRhyme";"4ypEjUTTCcPB0dgjQBQyf5";"L|OG|I-C";"34s18KpnOFVX6xJ77MmyBk|4NJ1mqso2Mxvp5bzT2hKZP|3USy3sONjza2FP4sXprG1M";"2026-09-16 11:19:20.044";"2026-09-16"
"2026-09-16T13:36:51.273Z";"Power";"4ivFy5sEB28IBZc2gBA3Jm";"Royce Da 5'9\"";"6DVipHzYsPlIoA0DW8Gmns";;;"2026-09-16 13:36:51.273";"2026-09-16"
"2026-09-16T17:48:34.088Z";"Who Wants to Live Forever - Live in Budapest";"0FpvhhU3bfAtjx7gFv0GOi";"Queen";"1dfeR4HaWDbWqFHLkxsg1d";;;"2026-09-16 17:48:34.088";"2026-09-16"
"2026-09-16T17:53:00.813Z";"Under Pressure (feat. David Bowie)";"0H6nXTof4PNmLE6uYUslHA";"Queen";"1dfeR4HaWDbWqFHLkxsg1d";"David Bowie";"0oSGxfWSnnOXhD2fKuz2Gy";"2026-09-16 17:53:00.813";"2026-09-16"
