"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Love";2024-01-28;204521;"Everybody's Gotta Live";61;"2015-11-27";"55SUyh2rkdGh40pAa1f0J0"
"LOS PREAM";2024-01-28;272960;"Lëkïxï Ëjts";30;"2022-06-10";"36Rcp540rFEhN1QkTdmQv1"
"Phoebe Killdeer & The Short Straws";2024-01-28;212813;"The Fade Out Line";45;"2011";"2ZWwzkd7dcy06VoLHXwvFA"
"Noisettes";2024-01-28;192213;"Never Forget You";67;"2009-01-01";"0xobW2Yg1TBQ53ybxYAlyA"
"Meschiya Lake and The Little Big Horns";2024-01-28;195013;"Comes Love";26;"2010-05-01";"2u6TroOjmXTqwJy4rkHJKY"
"Eydie Gormé";2024-01-28;168400;"Sabor a Mí";68;"1964";"09bB3v1b09ROK8YZkRd87w"
"Toots & The Maytals";2024-01-28;204026;"54-46 Was My Number";66;"1973-03-01";"6FuHnw9KkeYH6TSJaNOlto"
"Estrellita Castro";2024-01-28;210927;"Campanera";25;"1942-03-11";"6xxgVOQJxvhoVBPTzXCzXv"
"Paco de Lucía";2024-01-28;267920;"Rio Ancho";36;"1976-01-01";"1q91XEhPVMf2HOjWMHW82d"
"Los Panchos";2024-01-28;180986;"Bésame Mucho";61;"1960";"6ZqE68apCVUrnZh0nRe5x5"
"Jeff Beck";2024-01-28;182426;"I Put a Spell on You (feat. Joss Stone)";58;"2010-03-10";"2uZCLo1QvLgjAb74Q8kv53"
"María José Llergo";2024-01-28;317931;"Niña de las Dunas";35;"2018-12-14";"2mJ4vYaxM9bo1YVAayHsZu"
"Alice Wonder";2024-01-28;301783;"Bajo La Piel";42;"2018-08-31";"4qeAQc2Qidlv6QdPXH2SMr"
"Dorantes";2024-01-28;364066;"Sur";30;"2009-11-24";"2Yl7rBvEh9kzjdnxPdq6hf"
"Miriam Makeba";2024-01-28;180174;"Pata Pata - Stereo Version";60;"2017";"4xPYddRQPYB5jbTB3e7tL5"
"Lisa Bassenge";2024-01-28;133413;"Perhaps, Perhaps, Perhaps";59;"2010-10-04";"2mLHJouoo9I3yMbNTs9ciO"
"Etta James";2024-01-28;128425;"Tough Lover";26;"2011-10-18";"6s1DWmUCmFjzD09SRdnfVH"
"Perico Hernandez";2024-01-28;248613;"Oye Como Va (Live at el Jefe)";41;"2014";"4QqaH3x9V3XQCbM42DsiBa"
"Dick Dale";2024-01-28;135973;"Misirlou";62;"1960-12-10";"7bGmjO5Cthm1SNOwUhLwKE"
"Esquivel!";2024-01-28;150866;"Mini Skirt";32;"2007-08-14";"189ZduuGInmeznIQ88AvSc"
"Kase.O";2024-01-28;210421;"Mazas y Catapultas";40;"2019-02-15";"0Cpkg3yotJmhLiWQreFATI"
"Elle King";2024-01-28;202173;"Ex's & Oh's";21;"2014";"7m4d3jbswZ7fy8aeLAcbsa"
"Moby";2024-01-28;253773;"Natural Blues";69;"1999";"4KZWx8zo5ym89aopr0dBIb"
"Eileen";2024-01-28;153040;"Ces bottes sont faites pour marcher";39;"2015-04-27";"53zZVigzEiUdLMAQQhs5Zj"
"Muchachito Bombo Infierno";2024-01-28;166974;"Mi estrella (Banda Sonora de la película “La Estrella”)";29;"2013-05-24";"6G6dfL1wkhwHNpBLWi7FkF"
"Monsieur Periné";2024-01-28;328480;"Tu M'as Promis";45;"2015-06-16";"4XSLqHHDwqAnjwoMTtx7jC"
"Maria Rodés";2024-01-28;259373;"Ay Pena, penita, pena";16;"2014-02-24";"4q9uxfHWUjiKnDbg7FC88w"
"Kate Vargas";2024-01-28;206491;"7 Inches";32;"2018-07-27";"7AL1C2mLiWJfWAiFvFN0eX"
"Pitingo";2024-01-28;280190;"Don't Worry Be Happy - Spanish Version";29;"2016-05-13";"2uBtUlPbkYjrTIJ7RIvy4y"
"Bajofondo";2024-01-28;217346;"Pa' Bailar (Siempre Quiero Mas)";34;"2007";"1tEqTQTkgGkvQBIQZzggFA"
