"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Tongo";2020-06-15;203213;"Machirulo Escóndete";28;"2018-11-30";"7cRxy0MTNX3HnubQwxGobf"
"Tinariwen";2020-06-15;204600;"Sastanàqqàm";8;"2017-02-08";"1EuxcFFprJz7zHGeLtEHyk"
"Javier Limón";2020-06-15;197465;"Se Muere por Volver";35;"2018-05-11";"4MlX93BN43aQm4J0bl4hKd"
"Manel";2020-06-15;232176;"Cançó del dubte";0;"2016-04-15";"5cAaJpYGFuIaZmLigIuWBh"
"Pony Bravo";2020-06-15;241200;"Mi DNI";27;"2013-03-05";"3DP1MqutHIDwlEEVbGK3zc"
"Emir Kusturica & The No Smoking Orchestra";2020-06-15;237849;"Life Is a Miracle";17;"2018-03-26";"211ALA31Z9QblpfJjlxoUf"
"Raphael";2020-06-15;133680;"La canción del trabajo";24;"1967-12-23";"0cm8e4rwLQq30D5Yvzdy0g"
"Quimi Portet";2020-06-15;190840;"Tinc Una Bèstia Dintre Meu";36;"2012-03-13";"7hbvSIn4yOB0Pj6e8wXWO4"
"Mazoni";2020-06-15;263747;"Never Push a Sailor";30;"2016-03-11";"2RFWvJZUfpBnqasYhKqj0t"
"Gracia Montes";2020-06-15;164000;"Soy Una Feria";32;"1999-01-04";"3v6sufMLzild3gXVb4zmK8"
"Hidrogenesse";2020-06-15;233277;"No Hay Nada Más Triste Que Lo Tuyo - From ""Distancias Cortas""";31;"2016-01-29";"7x2Q38g29f11TspK1mT29l"
"La iaia";2020-06-15;141224;"La millor flor del balcó";38;"2017-06-16";"5KgRfVrzUZdzY6uOE1wxmT"
"Mastretta";2020-06-15;277586;"Blue Perro";23;"2014-01-27";"7fCNAKfHbPcLGPEGealjlA"
"Miguel Campello";2020-06-15;223840;"Danza el Aire";33;"2016-10-28";"0z8nA21wNnuISLwaja0fhd"
"Carlos Sadness";2020-06-15;187392;"Aloha";51;"2019-11-21";"23T1akaF3cPN6Pp27JQ8vi"
"Kase.O";2020-06-15;218346;"No Se Qué Voy a Hacer (Booty Song)";45;"2016-09-23";"5HTtQMQxpNk64Uj1zXjufs"
"Gecko Turner";2020-06-15;201268;"Juanita";30;"2015-04-27";"3hrJBKVG1BaNyW7HLXKCok"
"DELLAFUENTE";2020-06-15;206031;"Ya No Te Veo";50;"2018-12-13";"6a0eIW3R7axID3uTFPfi9e"
"Belize";2020-06-15;245741;"L'Hiver (Qui Sera)";31;"2016-06-10";"1FVVn0iQV0LRmiqUM5xCU9"
"Buena Vista Social Club";2020-06-15;261144;"Guajira en F (feat. Jesús Ramos)";55;"2015-03-23";"3y7CeywdF5PUHpDJriC9tC"
"La Milonga";2020-06-15;349266;"Dos Gardenias";0;"2014-12-22";"3tcSB1XxKroJyTgnSiHWle"
"David Bowie";2020-06-15;193293;"Volare (Nel Blu Dipinto Di Blu)";43;"1986";"4YfMtOTb3PcIbv5VI6zibX"
"Eels";2020-06-15;219175;"You Are the Shining Light";26;"2018-04-06";"3nhc68aAns0r8qoBZr2ley"
"Nadie Sabe Nada";2020-06-15;86298;"Me Da Asco Tu Familia";0;"2019-12-11";"5nbOTib99Xu3iptSfeMe6M"
"Bebe";2020-06-15;206693;"Corazón";35;"2018-07-27";"3xELCHrnjPHmlhsLZvRjqu"
"Luz Casal";2020-06-15;245853;"Que corra el aire";25;"2018-03-02";"76LEoorolhlTkSvgYIuc3f"
"Antonio Vega";2020-06-15;482946;"Romance De Curro ""El Palmo""";35;"1995-12-11";"3syWTQCxXokWS5Hv5RCLaT"
"Chico Ocaña";2020-06-15;261480;"Efervescente";41;"2010-03-09";"3dV8PpNOwrGzImtOiM25Tm"
"Los Zigarros";2020-06-15;259595;"A Todo Que Sí";39;"2016-04-08";"7LXLPz8rJAGS1fxWVBSQjS"
"Russian Red";2020-06-15;226780;"I Want to Break Free";38;"2017-04-14";"1okDi5avcDd4G8rpPkriRm"
