"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Rosa Passos";2020-03-23;307520;"Fusion";42;"2006-04-25";"5WIyLdYc2yschYbWx7BkSU"
"Obrint Pas";2020-03-23;271867;"Camins";33;"2007-05-22";"3HueHeaA1rXoNprTtw0dZz"
"Roswell Rudd";2020-03-23;389093;"Bamako";34;"2002-01-01";"0MWOqETgGdi5QQFcl6UGUu"
"The Skatalites";2020-03-23;420426;"James Bond Theme";40;"1997-01-01";"09U02a0PnmQnAXSa121FVN"
"Mongo Santamaria";2020-03-23;294800;"Green Onions";18;"1964";"0iAuAgfu3aba2ebIBJ63P7"
"Lorena Álvarez";2020-03-23;111566;"Si Tú Eres Mi Hombre";36;"2019-05-10";"0aEFoMGKcWmQy0OGdArpjM"
"Ruben Gonzalez";2020-03-23;507066;"Mandinga";52;"1997-09-15";"0ZMTdzojG71NWrPevltSLq"
"Ibrahim Ferrer";2020-03-23;227573;"Boliviana";48;"2003-03-10";"2U4d397MrGSUt8c289VZVT"
"Muchachito Bombo Infierno";2020-03-23;268666;"La Viajera";0;"2007-07-02";"29WcLpINAo6Pbh12oR9IRD"
"La Maravillosa Orquesta del Alcohol";2020-03-23;240573;"Ojalá - En Directo";26;"2016-12-16";"3rUzF2EJIm0OwagCESQ2RF"
"Vinícius de Moraes";2020-03-23;302320;"Catendé - Live";27;"1970-07-20";"3IGAkpd5fSALj6Z7O63D6G"
"María José Llergo";2020-03-23;317931;"Niña de las Dunas";0;"2018-12-14";"64NuTLCpZaNk9SZ6NPZ7SG"
"-M-";2020-03-23;195293;"Solidarité";55;"2017-04-07";"3jY3nT2vkn0Fk7w7rtXVR4"
"Martina Camargo";2020-03-23;226186;"Me Robaste El Sueño - Tambora";52;"2009";"34QPzQBS1xdOkxLh4btGpA"
"Tu Otra Bonita";2020-03-23;165600;"Ganas de...";46;"2016-03-20";"5sUf5WU4y5z6JYfmHUeyqy"
"Roba Estesa";2020-03-23;185880;"Una Altra Ronda";36;"2016-05-17";"1zCwd5ykIFSjWWzuVJhaqB"
"Rita Payés";2020-03-23;297664;"Algo contigo";0;"2019-05-17";"2E7qEOP4LuSEvb5yHwUlLo"
"El Niño de la Hipoteca";2020-03-23;146954;"Estando Contigo";36;"2012-11-14";"7umfV61fRb3sEG8pOqqVRB"
"Belako";2020-03-23;213997;"Sinnerman";0;"2016-01-01";"4xtd4HGAx3sVISOVhIXtfP"
"Amatria";2020-03-23;246950;"Encaja";37;"2017-10-20";"1MqdqMOclYahklFupm7wJv"
"Trans Kabar";2020-03-23;300000;"O Linndé";28;"2019-03-15";"2pH5CQfJcJEJufpDLDhxM8"
"McEnroe";2020-03-23;295445;"Un Rayo de Luz";42;"2016-04-27";"3AOz5Jt392nlueVehvlj1f"
"La Troba Kung-Fú";2020-03-23;362706;"Volant";29;"2007-03-16";"5O6sPasbRB0awvrgWZpKNT"
"Zahara";2020-03-23;149251;"Tuyo";50;"2018-05-18";"3ByCmq8z2fjrrLF20bHjUU"
"Vinicio Capossela";2020-03-23;296400;"Morna - 2018 Remaster";27;"1996-06-15";"1F8F8QOHqmUJbplkQBb6Ny"
"Los Planetas";2020-03-23;423409;"Islamabad";34;"2017-03-24";"1khQHoHWfemMaJpmxCMaqJ"
"Binker and Moses";2020-03-23;322670;"Fete by the River";0;"2017-06-02";"58TYOraDNvrGe9nebYtI0C"
"El Coleta";2020-03-23;198182;"M.O.vida Madrileña";0;"2015-05-28";"6CEkfzMTADAT9qOa1bkDIJ"
"La Bomba de Tiempo";2020-03-23;204692;"Near The Drums";31;"2019-10-10";"0SkTNP6iRKY7vI5K1ruEvK"
"Lisandro Aristimuño";2020-03-23;236618;"Pozo";0;"2012-04-01";"2u3YvCeshcE00v1fujmEDL"
