"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"La Muchacha";2024-03-10;148800;"La Sentada";46;"2021-03-19";"72xjCUlKRiJbEtQo9Zt9BV"
"Bebo San Juan";2024-03-10;264360;"Pepe Maní";29;"2019-05-24";"2QEil2mIQdn0L0Sydyp2z0"
"Paco Ibanez";2024-03-10;154693;"La mala reputación";28;"1979-01-01";"1peYUPWjd5tTGhvbT99DBd"
"Gabin";2024-03-10;276000;"Into My Soul";5;"2013-01-01";"551s0xsGb3O6mzJFfOZ6Qg"
"Pepet I Marieta";2024-03-10;261294;"Vive Tu Sueño";19;"2022-03-04";"4cGBpVvbN1k53fIjX7wAYg"
"Celso Fonseca";2024-03-10;243653;"Don de Fluir";31;"2005";"1L3lv2zua9vs86RFqQlmyt"
"Otros Aires";2024-03-10;228373;"Allerdings Otros Aires";32;"2007";"2K6RrzfNNlFq8dUOLkpzL5"
"Newen Afrobeat";2024-03-10;818842;"Opposite People";37;"2017-02-17";"6vMvy3Z88cpd16BglG5Stw"
"Anais Abreu";2024-03-10;146426;"Sé feliz";28;"2005-06-21";"2S6U4FRcYuWIL3bgJRor36"
"Cabaret Pop";2024-03-10;293080;"Juegos de amor";35;"1992-02-25";"62ZbKUPw36oweAIANCZMgA"
"Nancy Sinatra";2024-03-10;146468;"Sugar Town";55;"2006-04-25";"6rqIXGej4Zy1PZtU8J9gEC"
"Susana Baca";2024-03-10;278786;"Plena y Bomba (feat. Calle 13)";35;"2011-01-01";"1RVO4oogxRjwV9Id1nKn8q"
"Alejandro y Maria Laura";2024-03-10;204814;"Agüita del Equilibrio";41;"2017-09-09";"0SxTeOE2w7uINeSt7I8wmT"
"A banda da Loba";2024-03-10;205946;"Fábrica de Luz";30;"2019-12-01";"3IB2DMeiyDL1MVI5wsOKni"
"Maximiliano Calvo";2024-03-10;109223;"ESTANDO CONTIGO";33;"2020-08-07";"26QurE8UbLn8qMznBJuHzt"
"Bola De Nieve";2024-03-10;114373;"Déjame Recordar - Remastered 2012";26;"1957";"1TYL7hD8l0WOo0rWfxQWNg"
"Yerba Buena";2024-03-10;240226;"Electric Boogaloo";32;"2003-04-15";"1kF981Cq9HULhdiAxKH5FH"
"Mo' Horizons";2024-03-10;328866;"Ai mi morena - Chocolate Restyle";44;"2005-08-22";"4PTCPiyD0Pwhoec2VU6rlk"
"Habla de Mí en Presente";2024-03-10;210586;"QUIÉREME";28;"2023-06-20";"1CgyENZvCgu5Z9E74ILJEK"
"Morreo";2024-03-10;197004;"Pansequito";28;"2023-03-10";"2VINANReG9de41qaxOydbo"
"John Lee Hooker";2024-03-10;152350;"Boom Boom";63;"1962-01-01";"3H0HdocoAAEEfiDfcRZauz"
"David Frontado";2024-03-10;133384;"Si tú te vas";35;"2021-03-26";"5n0KRB7pcptldSsZc5wbRV"
"Sole Gimenez";2024-03-10;198133;"Aguas de marzo - Águas de março";33;"2009-06-16";"2FiY5BAXPNgAQikqnojRNS"
"Los Planetas";2024-03-10;188400;"Cumpleaños Total";37;"1998-03-30";"1mKYDmOkGg46TMEfdTGts1"
"El Caribefunk";2024-03-10;207825;"En Silencio";29;"2020-04-17";"2jPIU1eclk3qAP9p6phC5t"
"Cyrille Aimee";2024-03-10;200280;"Estrellitas y Duendes";33;"2016-01-22";"6TLoLpAz4m6oHZScZ9oSkK"
"Eva sur Seine";2024-03-10;309946;"Une Belle Histoire";56;"2014-05-14";"5GBnNsYdEFKfVk5dBnaQsp"
"Los Cojolites";2024-03-10;149400;"El Conejo";35;"2002-01-01";"1VU7NezUvswRnFjNM0M5li"
"Trüby Trio";2024-03-10;386853;"Jaleo";36;"2003-06-03";"25v6MAAGTHzuGZLHV25UKv"
"Sara Socas";2024-03-10;215454;"All Star";34;"2023-11-24";"5Z0Pg4NivyaTXBBB3DYkpd"
