"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Alondra Bentley";2022-08-15;175011;"Si Tuviera";29;"2021-10-21";"5L57yYMGUPhpYfz0eFxIjl"
"Repion";2022-08-15;197290;"Brillante";21;"2022-03-02";"3swYSzF4lwMdgw74KpP151"
"EJ Marais";2022-08-15;156055;"Dolerme (Don't Hurt Me)";35;"2020-11-26";"1Yeua19Gjj3QIEp3LNr8ax"
"Silvana Estrada";2022-08-15;211680;"La Corriente";47;"2022-01-21";"2c45X7DHudMAL9hec42DhL"
"Maestro Espada";2022-08-15;268544;"Murciana";28;"2022-04-13";"6t4OQhF5D44nOpqeQdIRy1"
"Antonio González";2022-08-15;126120;"Sabor a Mí";48;"2002-12-16";"6OLH9qv83hdT0Xho9QnhZb"
"Wild Honey";2022-08-15;171445;"Me dijeron que ya no vives aquí";42;"2021-05-28";"5Siq2o2EL2cjDBwGGo0Dzd"
"Ciao Marina";2022-08-15;170307;"Vida en B";29;"2021-03-24";"2dXTiAx67qOXsylmRoNDs0"
"Kokoshca";2022-08-15;199987;"Te Sigo Esperando";30;"2021-05-21";"2ncHPt0tCiSs1fg3nmS1hS"
"La Plaga N11";2022-08-15;276293;"Mundo Salvaje";17;"2021-09-10";"0O0ArxjA7gEaeadXfW4g83"
"Los Punsetes";2022-08-15;153722;"Todo el Mundo Quiere Hacerte Daño";24;"2021-07-07";"64HhQtckE9D7Sd46Z2aYNb"
"Tiburona";2022-08-15;188861;"Sola y Feliz";20;"2021-10-08";"6HweTmtyOeR7t6QumuD4K7"
"La Maravillosa Orquesta del Alcohol";2022-08-15;166359;"La molinera";47;"2021-12-17";"4G5H9EL6Z2G4LKQglORZSl"
"krissia";2022-08-15;200000;"Ya mi mama me decía";21;"2021-07-02";"4MZtWUNIdUChWpTwS0GRAx"
"Lori Meyers";2022-08-15;282188;"Hacerte Volar";50;"2021-10-21";"3RIlvRIfL92dIqy4OHdHul"
"Eskorzo";2022-08-15;179029;"Ángeles y Demonios";2;"2022-06-22";"2RNqqNCMsxHAlxQfnChDEk"
"Alicia Walter";2022-08-15;250199;"Suit Yourself";30;"2021-09-17";"7moHPytGPsdk7HMScIbLWC"
"Los Nastys";2022-08-15;152456;"Esta Bien Así";27;"2021-05-13";"1KpssVBsQlTGkO8KoeQ07b"
"Sienna";2022-08-15;253807;"cómo has podido";26;"2021-09-23";"6FMOkuzZQwlcVdQUyNNTR4"
"Belako";2022-08-15;197974;"Profile Anxiety - Crystal Fighters Remix";15;"2022-04-08";"38fFRP7TP8fK7FeIMfFcgA"
"Jacques";2022-08-15;172586;"La vie de tous les jours";44;"2022-02-11";"2WJrL6BbYanLAJRRRdsBhc"
"Los Invaders";2022-08-15;221374;"Wrong Is Right";4;"2020-12-18";"5u4aEJ4CSBOYF2pGEdhHyg"
"Andrew Bird";2022-08-15;285240;"Atomized";39;"2022-06-03";"3Q5tb3gLGSe5JxeEEnTysE"
"Antónimo";2022-08-15;291474;"La Psicodelia de la Virgen del Patrocinio";29;"2022-03-25";"0p8sv9JBRlInc3MShxsQqt"
"Amor Líquido";2022-08-15;134944;"Metro Ibiza";28;"2022-02-25";"4mA0FC8jHRKSedKt4oTDyI"
"Medalla";2022-08-15;255426;"Velázquez";18;"2021-10-08";"5DiB9Esfu6lBefQmvvuoGh"
"Juan Antonio Canta";2022-08-15;264240;"Rap de los 40 limones";39;"1996";"0hLMglYyJseWrWR724W2vM"
"Malva Vela";2022-08-15;185036;"Chavela";36;"2022-07-15";"1NOmwE4eto86tiCnzwoWEq"
"La Paloma";2022-08-15;195574;"Siempre Así";30;"2021-09-20";"471ryPSJmHjlRnb0uLva0u"
"Metronomy";2022-08-15;210266;"Things will be fine";51;"2022-02-18";"5CHaXCMeag2aPjo72Ib8Xj"
