"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Camellos";2020-04-27;223500;"Arroz Con Cosas";33;"2019-11-29";"1YTN0zwMwdgDwXNeM0yNv4"
"Iseo & Dodosound";2020-04-27;260320;"Chan Chan";0;"2019-06-14";"2xTfz7inT32TuN0DWM09IA"
"Sons Of Kemet";2020-04-27;329866;"My Queen Is Mamie Phipps Clark";31;"2018-03-30";"4pxnDGBdoGu88h8ZInX5f5"
"Marcel i Júlia";2020-04-27;204416;"Tot comença aquí";0;"2019-05-04";"3nVds3jM2WPqEX0l6XqOr3"
"Xiula";2020-04-27;216230;"T'estimo Bastant";38;"2018-10-19";"3EO72OBH0xAgkgMsGLgh6j"
"Oques Grasses";2020-04-27;189386;"Pedres als avions";29;"2016-04-22";"22BgXFN8Kp1rLZ3mK6IHE0"
"Angel Stanich";2020-04-27;281163;"Escupe Fuego";34;"2017-10-06";"4bDKMW2zvBbMk8u0GF3oUS"
"El Petit De Cal Eril";2020-04-27;296740;"Som transparents";33;"2018-02-02";"6OAFOQehth1y84UQwwmNp4"
"Peret";2020-04-27;114880;"Una Lagrima";42;"2015-08-28";"4moi9DmSUydEzm7N8VbbeT"
"Beirut";2020-04-27;246642;"Gallipoli";0;"2019-02-01";"3uqDi2osUi7ASUu2uGIeys"
"The Mauskovic Dance Band";2020-04-27;276158;"It's All Mauskovic";25;"2017-11-24";"7vA0IdcOIMg9JScjVPSoa3"
"La Otra";2020-04-27;200416;"Contigo";0;"2015";"29UNByudXjnpljtU2XOU6j"
"Gertrudis";2020-04-27;201608;"Tan Lluny de Tu";36;"2017-01-20";"4JjMxZjCS4jCXBt18QIXGi"
"Alex Ferreira";2020-04-27;177045;"God Only Knows";0;"2016-07-08";"6XF456kTpGrzfRAsYHOdfL"
"chicarica";2020-04-27;337391;"Papayas";33;"2016-01-12";"2yicqz18D45XpgeHAL2692"
"Los Nastys";2020-04-27;263800;"Los Autos Locos";28;"2018-03-16";"0ML50qmmPjTjDqzTjDY8b1"
"Coque Malla";2020-04-27;233651;"El último hombre en la tierra";34;"2016-02-19";"0fmNaVHkRtCWpOgNDtfoRX"
"MARTIRES DEL COMPAS";2020-04-27;228986;"Colores";40;"2004-05-18";"1faR8lTvcFOnBI6rapeBNa"
"Sidonie";2020-04-27;274146;"Fascinados (feat. Joan Manuel Serrat, Leiva, Vetusta Morla, Iván Ferreiro, Loquillo, Zahara, Dani Martin, Albert Pla, Mikel (Izal), Noni (Lori Meyers), Santi Balmes, Xoel López, Anni B Sweet, Jeanette, Carlos Sadness, Nina (Morgan), Juan Alberto (Niños Mutantes), Miri Ros, Javiera Mena, Jorge Martí (La Habitación Roja), Rafa Val (Viva Suecia), Marc (Dorian), Alondra Bentley, Abraham Boba, Carlangas (Novedades Carminha), La Bien Querida, Martí Perarnau IV (Mucho), Nita (Fuel Fandango) & Shuarma (Elefantes))";55;"2018-11-23";"2biogL3EqT9xAefITAu7h1"
"Smile";2020-04-27;208590;"When the Lights Change";24;"2017-04-28";"59staHbNHVnLta8KTeffUO"
"Tulipa Ruiz";2020-04-27;192800;"Terrorista del Amor";38;"2017-11-10";"2WgwPpY2aNg2gwgCheg8lT"
"Mallu Magalhães";2020-04-27;238693;"Shine Yellow";0;"2009-11-19";"1R6xtuomthQlX5TDLvzQcm"
"Salvatge Cor";2020-04-27;241131;"Bruixes";9;"2019-09-27";"0Dvb9NYWbuWhIiFrTVsjza"
"Carolina Durante";2020-04-27;146616;"Cayetano";48;"2018-03-07";"6TwC1ts92WU9IWOgTZ7479"
"Joe Crepúsculo";2020-04-27;209512;"Toda Esta Energía";37;"2018-09-28";"1vv3AlcBU7i3NLNzU3PygR"
"Ja T'ho Dire";2020-04-27;208133;"Si Vens";37;"1999";"47XltnowkPxDLGLqm9rBbU"
"Laurel Aitken";2020-04-27;246440;"Mi Vida Sin Tu Amor";0;"1999-01-01";"64ZHB2u13mp06rolh22Fm9"
"Ginestà";2020-04-27;201986;"Estimar-te com la terra";49;"2019-11-15";"5ntughoDsChgReXpBe8v6F"
"La Fúmiga";2020-04-27;184800;"Karrasketon - La nit és nostra";0;"2019-11-05";"0OVzhJm5mvn0bfcTF09t0g"
"Da Souza";2020-04-27;203986;"Metres per segon";0;"2020-02-14";"3kmCfx9LDG0uFI6QCBAtqc"
