"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Shivaree";2024-10-20;188826;"The Snake";37;"2002-01-01";"3DIkhbzvWgpncwPHa4Z7L8"
"Karl Zéro";2024-10-20;165800;"Allo mambo";23;"2017-04-28";"1hU4P6QxLpxl9OXgSsWbcy"
"Raul Paz";2024-10-20;221093;"25 Años";45;"2006-08-29";"7nkexp7crUHqFSS4IV3KC1"
"Antoine 'Tato' Garcia";2024-10-20;186413;"La catalane";33;"2019-04-19";"4Iq8z6TYF3QMdnkOF1CcoQ"
"Bola De Nieve";2024-10-20;94560;"La Vie En Rose - Remastered 2012";25;"1959";"2hKY87ZUSetGvN1ye6gxrM"
"Elle & The Pocket Belles";2024-10-20;180755;"Swingin' Together";33;"2015-03-11";"5TQXTf8oVMY6PEsyQJUeEa"
"Marcel Loeffler";2024-10-20;150346;"Joshua Fit The Battle Of Jericho";31;"2008-06-15";"3mf1RSVpwCZZmDaY9nmN1o"
"Colman Brothers";2024-10-20;231293;"Momo";31;"2011-06-06";"35XQUaEvpdtP4MQJe4PbZM"
"Opa Tsupa";2024-10-20;139453;"Bastringue";27;"2005-06-01";"3gFDoacvLfizGxMXtiMwjp"
"Jon Hendricks";2024-10-20;116000;"The Duck - O Pato";28;"1963";"2WUS3G5VkzSqxMIYucWnW3"
"Tony Glausi";2024-10-20;154912;"Historia de un Amor";36;"2020-06-26";"7eXcYLk739wezmOti4muFv"
"Jesse O'Mahoney";2024-10-20;152373;"Better to Miss You";28;"2015-04-13";"54ZWQvMUlb9w2EyaBBtMxJ"
"The Lost Fingers";2024-10-20;262105;"Tom's Diner";28;"2014-05-06";"7J2MfpxjuwJb3gGrbeG8qh"
"Tchan-Tchou Vidal";2024-10-20;137480;"Les yeux noirs";34;"1953-10-04";"3mn4dhcG60BHDPxH8h7BPr"
"Henri Crolla";2024-10-20;112480;"Je Cherche Après Titine - Instrumental";26;"2002-01-01";"3Szg9g1ensRcNmUnr9QJQO"
"Quadro Nuevo";2024-10-20;237920;"Tu Vuo";27;"2002";"4yVGaXgXULa3zFjFRAlgJx"
"Los Hermanos Cubero";2024-10-20;162200;"Llama encendida";25;"2021-02-19";"6KwOljrDifNhQdi9wkqpHN"
"Tchavolo Schmitt";2024-10-20;224853;"Billet doux";28;"2022-06-17";"15fwr9nsJzCGFj1Xv26pmf"
"Melbourne Ska Orchestra";2024-10-20;247693;"Get Smart";27;"2013-03-08";"6Bz6lE0HUeZqGZdPpHyVob"
"Elia y Elizabeth";2024-10-20;166440;"Soy Una Nube";36;"1972-04-15";"45nLucXUnWdmEMbACW2FH0"
"Anthony Strong";2024-10-20;153103;"Sixteen Tons";38;"2019-04-19";"4wUjstEhEsldWRvESdpuNF"
"Small Island Pride";2024-10-20;187306;"Me Ting Is Mine";25;"1959-01-01";"4wxZvFup77TmfeOsY0spI2"
"Joscho Stephan";2024-10-20;397020;"Minor Blues";31;"2024-01-10";"0ztTKEfTXBzWqnBYPNzs2X"
"Biréli Lagrène Gipsy Project";2024-10-20;174200;"Les yeux noirs";25;"2002-09-30";"15nkNdrzGxHIimtDuv38RE"
"The Johnston Brothers";2024-10-20;153506;"Hernando's Hideaway";12;"2000-01-01";"73qqpfCFHIAJcpUOUJoE0t"
"Jazz Connection";2024-10-20;211386;"(Stone's) Duck Fever";25;"2015-03-29";"5sieDkd1IhZTcBKGmKpISg"
"Nashi Young Cho Jazz Quartett";2024-10-20;248426;"Mambo Craze";10;"2008";"1svXYab9lKdr0wa5EUiX0y"
"Andre Toussaint";2024-10-20;154666;"Perfida";30;"2002-09-30";"7MnC3awiUkJWmhYt3hqHHA"
"Dúo Pajarito";2024-10-20;170725;"Carnaval de Calles";30;"2023-06-16";"1BNtRR8ypOffwBJMOzVZcT"
"Youn Sun Nah";2024-10-20;223010;"Jockey Full of Bourbon";36;"2009-04-24";"4J12DNGFaxKJvuacO3LjZY"
