"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Bomba Estéreo";2023-07-09;144544;"Tengo el Power";44;"2016-12-13";"3niUpBYv2c5miIXLEdDJ2m"
"Ana Tijoux";2023-07-09;191245;"Gol";33;"2007";"7Lf89yuqc6fa4Q80H0wIQu"
"Gossip";2023-07-09;242773;"Heavy Cross";44;"2007";"5986Ox60Imwum9mn64LDPl"
"The Velvet Candles";2023-07-09;119746;"Robot Stomp";29;"2010-01-01";"44BlaXgCNJP3b9sl7OEQJw"
"Clément Leroux";2023-07-09;207539;"Baby (Tell Me)";54;"2020-10-02";"0tVzr7LmiN8OoWuRPcoCgx"
"Persiana Jones";2023-07-09;161226;"Tremarella";39;"1999-04-10";"7wXHGLSCYy566j7revG6R0"
"Los Sencillos";2023-07-09;181600;"Bonito Es";36;"1991-10-30";"7b4ntzQ6LiGycPvfwrj2ju"
"The Penguins";2023-07-09;249346;"L'avi Que Estima el Mar";29;"2011";"6zpWybCzIRogxbdfC6zeAq"
"Mama Dousha";2023-07-09;146880;"Rikiti";34;"2023-05-10";"1suSSaPoQLN8CufLXvEdVF"
"Banda Bassotti";2023-07-09;130726;"BELLA CIAO";32;"2019-04-19";"1VrztGtsty52EA9Wr3VM2a"
"Biela";2023-07-09;125145;"El Encuentro";37;"2021-01-29";"3CDrDQdtdJpZTv7d2aNNl0"
"The Spam Allstars";2023-07-09;402546;"La Vida Continua";32;"2004-01-01";"3zdD9KFEOtzNuJujhqumqd"
"Club des Belugas";2023-07-09;283173;"Some Like It Hot";37;"2008-02-15";"0XpCbGCI0w7hHs7ZmsNQbj"
"Andana";2023-07-09;191000;"Pull Up";39;"2021-11-05";"4em2aNLbedbtxe9x0lmd2F"
"Après La Classe";2023-07-09;196205;"Ricominciamo";39;"2013-12-16";"3qALww00lpufeMEcN52Kf1"
"Deladap";2023-07-09;223456;"Crazy Swing";10;"2012-01-20";"0fbVavJe1ai0NyoT9QLSMe"
"El Diluvi";2023-07-09;209173;"Tremole";32;"2019-04-12";"6JPdkE2qBBgKhBhJTo8D1F"
"Miguel Campello";2023-07-09;239874;"GRITAR MÁS FUERTE (DÍA)";42;"2023-02-03";"10pw1CQETHEa6ukK3nkfmH"
"El Dragón Criollo";2023-07-09;244403;"La Número Uno";39;"2021-12-10";"0VpJRPCHSMXQpI1LGJx179"
"Siniestro Total";2023-07-09;212360;"Camino de la cama";29;"1990-01-01";"1hD1TZAp93etRZBV1Ct1Xa"
"Selton";2023-07-09;211000;"Voglia di infinito";39;"2016-03-18";"5xmktQiVhlqpzoeCV66tM9"
"Seikos";2023-07-09;185920;"Les meves mans";28;"2022-03-25";"1L5pOtmgBPRADYonYFdiXA"
"Bajofondo";2023-07-09;217346;"Pa' Bailar (Siempre Quiero Mas)";35;"2007";"1tEqTQTkgGkvQBIQZzggFA"
"WhoMadeWho";2023-07-09;201600;"Satisfaction";31;"2005-09-12";"1X0nQnShEvrtAPXA73rtzj"
"Balkan Beat Box";2023-07-09;199893;"Balkumbia";22;"2010-01-01";"7K03zSW73guUrG31z7hXZ9"
"Jenny And The Mexicats";2023-07-09;206100;"Starting Something";46;"2012-01-01";"45Q1wNgeymEIBtPVZ4NIe9"
"Julen";2023-07-09;208049;"Una Cançó";39;"2022-05-06";"5HdRxrEkdqSqmnvGqRydT7"
"Freischwimmer";2023-07-09;212466;"California Dreamin - Radio Edit";38;"2015-09-11";"10wPP2SEMj9uGKo7SCYhoI"
"Nico Roig";2023-07-09;138030;"Soy Esa Tonta Canción";32;"2023-03-03";"0PcL5j5fWOIrF6qj8mnGHY"
"Locomondo";2023-07-09;217000;"La mulata";42;"2017-08-23";"13dohJKnCRkjeKV96BsLyH"
