"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Victorias";2023-08-13;218394;"Vida loca";35;"2022-11-18";"4sThak71Of6EMwPneBicTH"
"Lasole";2023-08-13;136774;"Perros";35;"2021-07-23";"0cDsXwUCjoSzYguTcCJyBK"
"Toro";2023-08-13;212135;"Toma Que Toma";36;"2021-07-02";"5Rgzue5hsCt2T4pU03XGAU"
"Greg June";2023-08-13;145786;"Where Is My Mind?";33;"2015-10-09";"6cM6cVkhf7aQx1A31OuMsM"
"Tanxugueiras";2023-08-13;251754;"Coda";27;"2021-07-01";"0YxBA2JPgag1ef06SCYHC1"
"Antílopez";2023-08-13;209166;"Musa en Paro Busca Poeta";36;"2015-10-06";"1NRYsLClkmRWCxI6Ba2d0K"
"Roy Borland";2023-08-13;210753;"Limón (with El Kanka)";29;"2022-06-10";"3IkAonCJhDJxm4Lt5y1s1k"
"Zea Mays";2023-08-13;261167;"Corazón de tango - cover";43;"2022-11-25";"1JZyk2CLRXXN7fVt8vk3CY"
"Salomón Beda";2023-08-13;214000;"Kumbayeo";35;"2020-12-04";"0xIxRoYKH5fQlpvIhg45Rc"
"Martín Buscaglia";2023-08-13;138133;"Me Enamoré";33;"2020-03-27";"5gLwEInVNphcUsjYQzoTRQ"
"Altoparlante";2023-08-13;243934;"Cambiarás";45;"2017-11-25";"1x73tbGDGSdOSer7ctL5xl"
"Burning Caravan";2023-08-13;223154;"Dirty Taranta";29;"2019-05-10";"58sctZs8nWBBUJ8qY956Vk"
"Chicha Libre";2023-08-13;319720;"Popcorn Andino";40;"2008-03-25";"0p5Iiuaj58qCxzMYqgP7B1"
"Anabel Lee";2023-08-13;182933;"Natural para Vogue";32;"2022-04-28";"7tVuDINvHRar5xxhmZy2dJ"
"Sinsinati";2023-08-13;186086;"Bailemos un vals (feat. El Kanka)";45;"2020-01-24";"1aGv3dUqF8ADwM8ooZnFxx"
"El Niño de la Hipoteca";2023-08-13;189507;"Que Te Vaya Bien";44;"2016-03-25";"4SGhIFvqCNK1mhvWKT7RcS"
"La Gusana Ciega";2023-08-13;215240;"Yes Sir, I Can Boogie";56;"2008-09-02";"1iLGWwqCD5NVbI81y5xFPM"
"Ondatrópica";2023-08-13;300893;"Suena";32;"2012-07-16";"3MAaPc41qaOS2b1fvQbihk"
"Mikel Izal";2023-08-13;204306;"El paraíso";62;"2023-07-13";"4wEk3sPnrYKDLO684plsk8"
"Cimafunk";2023-08-13;231686;"Caramelo";35;"2021-10-08";"4CFpePqmtCoYlsFwejCwwI"
"Gypsy Hill";2023-08-13;259617;"Balkan Beast";32;"2013-02-14";"3BHZO6xQZCbqC89nC12Qua"
"Bad Manners";2023-08-13;128199;"Mambo/Ska No.8";31;"1993";"30ulLl6rkIucKU5fvKiuDq"
"Ska-J";2023-08-13;174360;"Quisaz, quisaz, quisaz";30;"2012";"5JTPNv42BWxJszgoOjCWpm"
"Xabarin";2023-08-13;149000;"Estou na Lavadora";29;"1994-03-01";"7s66wU1XJ2NsUuWM2NKiUV"
"Fenomeno Fuzz";2023-08-13;137131;"El Beach Boy";36;"2004-01-10";"3E2iEWxguD9ypkLuZ6UMoz"
"Los gandules";2023-08-13;175920;"Ese Loco Material";33;"2010";"2DOiQck1RIm7nGYDcRo8Yy"
"Sleepy LaBeef";2023-08-13;114906;"Good Rockin' Boogie";35;"2010-03-09";"3FfPzwVKrqAw9lOtuPnNcf"
"Adrian Raso";2023-08-13;166653;"C'est La Vie";34;"2014-01-17";"75Wstz7EuoZltj6K2U3yDU"
"Carlos Sadness";2023-08-13;228116;"Ojitos Lindos";56;"2022-12-09";"0HCSF1DdzkwdJjhIyB026B"
"Betagarri";2023-08-13;227986;"La Chica Del Batzoki";28;"1999-10-01";"0Ai7ZV2dOHEeYIqXP2chBg"
