"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Tomasito";2019-09-18;286626;"Back in Black";32;"2009";"2ikmJXuzn0ancBM16RndCA"
"Alain Péters";2019-09-18;227173;"Panier su la tête, ni chanté";32;"1998";"7Hlo3Hcq4zBxmsbXLuCKea"
"Daniel Viglietti";2019-09-18;359866;"Construcción";33;"1974-12-22";"6qIRD86UB5QpHsZQZJpbKM"
"Bonga";2019-09-18;210773;"Ku Tando";26;"2013-09-30";"0uJsux0CmYpFe5twllOiJe"
"Pink Martini";2019-09-18;372053;"No Hay Problema";0;"1997";"2PfSWJO5HCGMTZsFDUuPda"
"Carlos Lyra";2019-09-18;511386;"Samba Della Benedizioni - Samba de Bendición";35;"2013-05-28";"3bzCydy46h99xcq9A9baoX"
"Pink Turtle";2019-09-18;244866;"Walk On the Wild Side";38;"2008";"3aFzA2HdHDWyWmg9eh87IN"
"Frente Cumbiero";2019-09-18;245806;"Pitchito";0;"2019-08-09";"7JdPLI7hQ5DjpRxpkeUwUe"
"Enrique Morente";2019-09-18;284546;"Manhattan (First We Take Manhattan)";17;"2009-01-01";"3bESeiHwnLYMbaDDIzAHnx"
"Malian Musicians";2019-09-18;232826;"Niger";33;"2002-04-15";"40ncJvz2FvF1Z4EvpE3vU9"
"Estudiantina Invasora";2019-09-18;312640;"Commandante Che Guevara";0;"2013-02-18";"3Qe0kTD7vqhvt8QluWMVin"
"Machito";2019-09-18;176573;"Congo Mulence - 2000 Remaster";45;"2000-01-25";"1BHUIrORQwywRkl5cjapQz"
"Ismaël Lô";2019-09-18;240400;"Tajabone";44;"1992";"1vOvIWdV7h3Am5J6LgQ2xq"
"Fanfare Ciocarlia";2019-09-18;274546;"Iag Bari";0;"2001-01-01";"1fikVigc56vuIBuC5PL5ix"
"Frente Cumbiero";2019-09-18;243040;"Cumbietiope";0;"2016-07-01";"0OeNsZlYETGOAZkdoY7uhO"
"Fatoumata Diawara";2019-09-18;239080;"Clandestin";38;"2011-09-19";"2jdSj8ZhRoGvKFD9r22BtT"
"Alemayehu Eshete";2019-09-18;226893;"Telantena zare";35;"2004-07-04";"6ExvBlGwoUl19Fv1jth6eD"
"Doris";2019-09-18;187240;"Don't";28;"1970";"5ihQ4Gepi7qXFrKqVF5shn"
"Una Mas Trio";2019-09-18;339266;"Clear As Water - Mo' Horizons remix";0;"2009-03-10";"15K0xMRyYBZr0uEnmFgB5Q"
"Rodrigo Amarante";2019-09-18;159853;"Maná";34;"2013-09-23";"71SN16ttXq8ApL69DqbJDH"
"Bambino";2019-09-18;162200;"La Pared";40;"1998-03-28";"53dalfjHJdJZnmWbJbSHXk"
"Tina Turner";2019-09-18;323000;"Whole Lotta Love";35;"2008-07-11";"41fCqxJQMRxdFUQ3uaSsRG"
"Elza Soares";2019-09-18;130542;"Mas Que Nada";1;"2006-01-01";"7IQyuIFZv8mNkX5X4noFIX"
"Buddy Rich Big Band";2019-09-18;295266;"The Beat Goes On - Live At The Chez Club, Hollywood/1967";38;"1998-01-01";"37Ln5hig6W4u3sOxOeNt5S"
"Banda Municipale de Musica de Santiago de Cuba";2019-09-18;196120;"Les passantes - Chanson française";31;"2005";"4UolRKOaKCBedxCsqiqD5m"
"Ska Cubano";2019-09-18;222546;"Soy Campesino";0;"2005";"6Yvr3soS6j6apx1wjkzQ2r"
"Avishai Cohen";2019-09-18;269213;"Alfonsina y el mar";28;"2009-03-16";"2kjUBu5EyRskL5I42nMl3D"
"Les Amazones de Guinée";2019-09-18;297000;"Samba";30;"1983";"4biYi0K0zhWYu3zRhyIm6n"
"Howe Gelb & A Band Of Gypsies";2019-09-18;215266;"4 Door Maverick";0;"2010";"7CAfQzUsTzb4c3CWrbdSh3"
"Wilson Simonal";2019-09-18;152613;"Nem Vem Que Não Tem - Ao Vivo";56;"1967-09-16";"16XSVHKfgfOzG7tYyZhqOz"
