played_at;track.name;name;played;day
2024-10-14T07:44:58.346Z;Nunca vas a comprender;Rita Payés;2024-10-14 07:44:58.346;2024-10-14
2024-10-14T07:48:28.642Z;La Nit Sembla Que Serà Nostra;Els Amics De Les Arts;2024-10-14 07:48:28.642;2024-10-14
2024-10-14T07:53:03.135Z;Un tros d'ahir;Rita Payés;2024-10-14 07:53:03.135;2024-10-14
2024-10-14T07:56:30.733Z;Al mar!;Manel;2024-10-14 07:56:30.733;2024-10-14
2024-10-14T12:36:56.254Z;Declaració De Principis;La iaia;2024-10-14 12:36:56.254;2024-10-14
2024-10-14T19:14:40.817Z;Eufòria;Guillem Ramisa;2024-10-14 19:14:40.817;2024-10-14
2024-10-14T19:15:55.841Z;Eufòria;Guillem Ramisa;2024-10-14 19:15:55.841;2024-10-14
2024-10-14T19:19:29.130Z;Tú Que Vienes a Rondarme;Maria Arnal;2024-10-14 19:19:29.13;2024-10-14
2024-10-14T19:23:37.811Z;Ella Cus;La iaia;2024-10-14 19:23:37.811;2024-10-14
2024-10-14T19:26:28.385Z;Cor de Blat - Acústic;Guillem Ramisa;2024-10-14 19:26:28.385;2024-10-14
2024-10-14T19:29:55.820Z;Els Amigos;Joan Colomo;2024-10-14 19:29:55.82;2024-10-14
2024-10-14T19:34:32.202Z;Me Rehúso;Daniel, Me Estás Matando;2024-10-14 19:34:32.202;2024-10-14
2024-10-14T19:38:05.699Z;Explosió;La iaia;2024-10-14 19:38:05.699;2024-10-14
