played_at;track.name;name;played;day
2024-01-26T00:21:07.759Z;Khoomei;Tuva Ensemble;2024-01-26 00:21:07.759;2024-01-26
2024-01-26T00:25:25.731Z;Norupo;Heilung;2024-01-26 00:25:25.731;2024-01-26
2024-01-26T00:28:01.351Z;Wuji;Hanggai;2024-01-26 00:28:01.351;2024-01-26
2024-01-26T00:31:41.185Z;Electric Pow Wow Drum;The Halluci Nation;2024-01-26 00:31:41.185;2024-01-26
2024-01-26T00:34:30.454Z;Uja;Tanya Tagaq;2024-01-26 00:34:30.454;2024-01-26
2024-01-26T00:37:49.662Z;Huhu namyil (Cuckoo Namdshil);Egschiglen;2024-01-26 00:37:49.662;2024-01-26
2024-01-26T00:41:06.628Z;The Good, the Bad, the Ugly;Mathias Duplessy;2024-01-26 00:41:06.628;2024-01-26
2024-01-26T00:45:00.865Z;Aldhechen Manin;Tinariwen;2024-01-26 00:45:00.865;2024-01-26
2024-01-26T00:51:31.682Z;Yenilik, Pt. 2;Burhan Öçal;2024-01-26 00:51:31.682;2024-01-26
2024-01-26T00:54:14.128Z;Ryderz;Hudson Mohawke;2024-01-26 00:54:14.128;2024-01-26
2024-01-26T00:56:56.039Z;East London Street - Drums Only Version;Hidden Orchestra;2024-01-26 00:56:56.039;2024-01-26
2024-01-26T01:03:23.678Z;Right Here Right Now;Fatboy Slim;2024-01-26 01:03:23.678;2024-01-26
2024-01-26T01:09:06.339Z;Face to Face;Daphni;2024-01-26 01:09:06.339;2024-01-26
2024-01-26T01:15:43.489Z;Purple Rose;Kalabrese;2024-01-26 01:15:43.489;2024-01-26
2024-01-26T01:20:54.320Z;We Got Together;Róisín Murphy;2024-01-26 01:20:54.32;2024-01-26
2024-01-26T01:27:01.577Z;A New Error;Moderat;2024-01-26 01:27:01.577;2024-01-26
2024-01-26T01:30:53.134Z;Golden;Jill Scott;2024-01-26 01:30:53.134;2024-01-26
2024-01-26T01:33:47.544Z;De Ushuaia a La Quiaca;Gustavo Santaolalla;2024-01-26 01:33:47.544;2024-01-26
2024-01-26T01:37:04.588Z;R.I.C.O. (feat. Drake);Meek Mill;2024-01-26 01:37:04.588;2024-01-26
2024-01-26T01:40:54.972Z;Feeling Good;Avicii;2024-01-26 01:40:54.972;2024-01-26
