played_at;track.name;name;played;day
2024-05-10T07:24:43.858Z;Coloreado de Azul (feat. Bebe);Tu Otra Bonita;2024-05-10 07:24:43.858;2024-05-10
2024-05-10T07:39:10.313Z;Mi Primera Cana;Estopa;2024-05-10 07:39:10.313;2024-05-10
2024-05-10T07:43:31.809Z;Siempre me quedará;Bebe;2024-05-10 07:43:31.809;2024-05-10
2024-05-10T07:46:21.161Z;Abajo;Arde Bogotá;2024-05-10 07:46:21.161;2024-05-10
2024-05-10T07:51:10.245Z;La Increíble Historia del Hombre Que Podía Volar Pero No Sabía Cómo;IZAL;2024-05-10 07:51:10.245;2024-05-10
2024-05-10T07:55:15.808Z;Pajaros de Barro;Manolo Garcia;2024-05-10 07:55:15.808;2024-05-10
2024-05-10T07:58:43.518Z;El Día Que Tú Te Marches;Estopa;2024-05-10 07:58:43.518;2024-05-10
2024-05-10T08:04:59.351Z;Corazón Aerodinámico;Estopa;2024-05-10 08:04:59.351;2024-05-10
2024-05-10T08:09:53.677Z;Peregrino;Carlos Ares;2024-05-10 08:09:53.677;2024-05-10
2024-05-10T08:13:11.263Z;Historias de Vida y Placer;IZAL;2024-05-10 08:13:11.263;2024-05-10
2024-05-10T08:14:26.697Z;Pólvora;Xexu García;2024-05-10 08:14:26.697;2024-05-10
2024-05-10T08:17:19.299Z;Pausa;IZAL;2024-05-10 08:17:19.299;2024-05-10
2024-05-10T15:25:21.167Z;Pausa - En directo;IZAL;2024-05-10 15:25:21.167;2024-05-10
