played_at;track.name;name;played;day
2024-11-04T11:31:55.079Z;Mambo for Puente;Francisco Aguabella;2024-11-04 11:31:55.079;2024-11-04
2024-11-04T11:34:45.539Z;Special del Bebo;Bebo & Cachao;2024-11-04 11:34:45.539;2024-11-04
2024-11-04T11:37:39.444Z;At The Jazz Band Ball;Arturo Sandoval;2024-11-04 11:37:39.444;2024-11-04
2024-11-04T11:41:23.900Z;Shiny Stockings;Bobby Valentin;2024-11-04 11:41:23.9;2024-11-04
2024-11-04T11:48:08.402Z;Flamenco Ain't Bad;Sabu Martinez;2024-11-04 11:48:08.402;2024-11-04
2024-11-04T11:50:46.355Z;Seven Steps To Heaven;Hilton Ruiz;2024-11-04 11:50:46.355;2024-11-04
2024-11-04T11:53:17.473Z;El Tema Del Apollo;Eddie Palmieri;2024-11-04 11:53:17.473;2024-11-04
2024-11-04T13:36:01.861Z;Montuniana;Iván Melon Lewis;2024-11-04 13:36:01.861;2024-11-04
2024-11-04T13:40:15.477Z;Junio Groove;Asere;2024-11-04 13:40:15.477;2024-11-04
2024-11-04T13:44:23.681Z;Mi Corazón Te Llama;Eddie Palmieri;2024-11-04 13:44:23.681;2024-11-04
2024-11-04T13:52:09.860Z;Mambo Inn;Mario Bauzá;2024-11-04 13:52:09.86;2024-11-04
