played_at;track.name;name;played;day
2024-03-17T07:50:38.280Z;I Put A Spell On You;Nina Simone;2024-03-17 07:50:38.28;2024-03-17
2024-03-17T07:53:25.523Z;He Can Only Hold Her;Amy Winehouse;2024-03-17 07:53:25.523;2024-03-17
2024-03-17T07:58:57.929Z;El Fuerte;GUAZÚ;2024-03-17 07:58:57.929;2024-03-17
2024-03-17T08:02:15.787Z;Batismo;Populous;2024-03-17 08:02:15.787;2024-03-17
2024-03-17T08:09:56.441Z;Nevar;El Búho;2024-03-17 08:09:56.441;2024-03-17
2024-03-17T08:14:42.365Z;Tres Hermanos;Hermanos Gutiérrez;2024-03-17 08:14:42.365;2024-03-17
2024-03-17T08:21:24.011Z;Nevar;El Búho;2024-03-17 08:21:24.011;2024-03-17
2024-03-17T08:24:22.178Z;Arriba;Fémina;2024-03-17 08:24:22.178;2024-03-17
2024-03-17T08:26:27.722Z;Titan Anthem;Tribeqa;2024-03-17 08:26:27.722;2024-03-17
2024-03-17T08:28:02.534Z;El Nogal de las Pampas;Lagartijeando;2024-03-17 08:28:02.534;2024-03-17
2024-03-17T08:30:03.353Z;Ulysses and the Sea;Papooz;2024-03-17 08:30:03.353;2024-03-17
2024-03-17T08:33:52.362Z;Instants;Skúli Sverrisson;2024-03-17 08:33:52.362;2024-03-17
2024-03-17T08:46:09.966Z;Aguanile - DJ Jose Marquez Remix;Willie Colón;2024-03-17 08:46:09.966;2024-03-17
2024-03-17T08:54:19.870Z;Sur la planche;La Femme;2024-03-17 08:54:19.87;2024-03-17
2024-03-17T08:56:01.386Z;Porte s'ouvre;Jacques;2024-03-17 08:56:01.386;2024-03-17
2024-03-17T08:58:47.928Z;Domicile Conjugal;SOLEIL ROUGE;2024-03-17 08:58:47.928;2024-03-17
2024-03-17T09:01:14.135Z;Vitamines;The Pirouettes;2024-03-17 09:01:14.135;2024-03-17
2024-03-17T09:03:53.881Z;Hard to be a girl;The Pirouettes;2024-03-17 09:03:53.881;2024-03-17
2024-03-17T09:06:49.396Z;encore + triste;Yoa;2024-03-17 09:06:49.396;2024-03-17
2024-03-17T09:09:34.543Z;Des Adultes En Sommeil;Elephanz;2024-03-17 09:09:34.543;2024-03-17
2024-03-17T09:11:15.248Z;Panthère;Feu! Chatterton;2024-03-17 09:11:15.248;2024-03-17
2024-03-17T09:13:58.853Z;Tatiana;La Femme;2024-03-17 09:13:58.853;2024-03-17
2024-03-17T09:17:13.018Z;Ei rokki vaan blues;Hulda Huima;2024-03-17 09:17:13.018;2024-03-17
2024-03-17T09:20:00.704Z;Makso Mitä Makso;Isac Elliot;2024-03-17 09:20:00.704;2024-03-17
2024-03-17T09:23:05.398Z;Uppoova Laiva;AHTI;2024-03-17 09:23:05.398;2024-03-17
2024-03-17T09:26:11.176Z;Kaikkea pahaa;Pyhimys;2024-03-17 09:26:11.176;2024-03-17
2024-03-17T09:29:04.541Z;Sua Ei Oo;Isac Elliot;2024-03-17 09:29:04.541;2024-03-17
2024-03-17T09:31:48.520Z;Universumi;Hulda Huima;2024-03-17 09:31:48.52;2024-03-17
2024-03-17T10:09:41.898Z;Paniikki;Paperi T;2024-03-17 10:09:41.898;2024-03-17
2024-03-17T13:30:58.550Z;I Can't Give You Anything but Love;Stockholm Swing All Stars;2024-03-17 13:30:58.55;2024-03-17
2024-03-17T13:31:03.838Z;Tain't Like That;Brooks Prumo Orchestra;2024-03-17 13:31:03.838;2024-03-17
2024-03-17T13:34:45.295Z;Jive at Five;Reverent Juke;2024-03-17 13:34:45.295;2024-03-17
2024-03-17T13:37:45.619Z;Bottom's Up;Swing Shouters;2024-03-17 13:37:45.619;2024-03-17
2024-03-17T13:40:38.815Z;Johnny Come Lately;Holy Bounce Orchestra;2024-03-17 13:40:38.815;2024-03-17
2024-03-17T13:42:59.622Z;Shorty;Bun-Jon & The Big Jive;2024-03-17 13:42:59.622;2024-03-17
2024-03-17T13:46:22.234Z;Dance of the Lindy Blossoms;Jonathan Stout and his Campus Five;2024-03-17 13:46:22.234;2024-03-17
2024-03-17T13:50:05.334Z;Slow Cookin' - Reprise;Joe Smith & the Spicy Pickles;2024-03-17 13:50:05.334;2024-03-17
2024-03-17T13:53:38.456Z;Ooh-Shoo-Be-Doo-Bee;Shakin' All;2024-03-17 13:53:38.456;2024-03-17
2024-03-17T13:56:25.709Z;Effervescent Blues;Hot Swing Sextet;2024-03-17 13:56:25.709;2024-03-17
2024-03-17T15:08:42.708Z;The Grabtown Grapple;Hot Sugar Band;2024-03-17 15:08:42.708;2024-03-17
