played_at;track.name;name;played;day
2025-01-18T08:10:57.918Z;Si Veo a Tu Mamá;Bad Bunny;2025-01-18 08:10:57.918;2025-01-18
2025-01-18T08:12:12.013Z;Mía (Casa Abandonada);Boraj;2025-01-18 08:12:12.013;2025-01-18
2025-01-18T08:17:50.711Z;Mía (Casa Abandonada);Boraj;2025-01-18 08:17:50.711;2025-01-18
2025-01-18T08:20:26.027Z;Colibria;Nicola Cruz;2025-01-18 08:20:26.027;2025-01-18
2025-01-18T08:48:51.538Z;Quién dijo;Zahara;2025-01-18 08:48:51.538;2025-01-18
2025-01-18T08:53:10.291Z;MERICHANE;Zahara;2025-01-18 08:53:10.291;2025-01-18
2025-01-18T08:57:08.096Z;Un Día en el Parque;Love of Lesbian;2025-01-18 08:57:08.096;2025-01-18
2025-01-18T09:00:05.227Z;Curso Avanzado de Perra;shego;2025-01-18 09:00:05.227;2025-01-18
2025-01-18T09:02:21.739Z;Me Maten - Live at NPR's Tiny Desk;C. Tangana;2025-01-18 09:02:21.739;2025-01-18
2025-01-18T09:03:03.645Z;olvídate de mí;Natalia Lacunza;2025-01-18 09:03:03.645;2025-01-18
2025-01-18T09:07:21.966Z;Urgente;Travis Birds;2025-01-18 09:07:21.966;2025-01-18
2025-01-18T09:10:05.235Z;Yamaguchi;Amaia;2025-01-18 09:10:05.235;2025-01-18
2025-01-18T09:13:44.949Z;berlin U5;Zahara;2025-01-18 09:13:44.949;2025-01-18
2025-01-18T09:17:09.859Z;Lucha De Gigantes;Love of Lesbian;2025-01-18 09:17:09.859;2025-01-18
2025-01-18T09:21:00.117Z;Chicos malos;Jordana B.;2025-01-18 09:21:00.117;2025-01-18
2025-01-18T09:24:17.266Z;Cuestión De Suerte;Natalia Lacunza;2025-01-18 09:24:17.266;2025-01-18
2025-01-18T09:27:52.935Z;Perra;Rigoberta Bandini;2025-01-18 09:27:52.935;2025-01-18
2025-01-18T09:30:53.019Z;Yo Invito;Amaia;2025-01-18 09:30:53.019;2025-01-18
2025-01-18T15:32:39.229Z;Don't Matter;Derik Fein;2025-01-18 15:32:39.229;2025-01-18
2025-01-18T17:09:52.887Z;Nostalgia;Schur;2025-01-18 17:09:52.887;2025-01-18
2025-01-18T17:13:24.076Z;Lose Control;Teddy Swims;2025-01-18 17:13:24.076;2025-01-18
2025-01-18T17:16:46.078Z;Shadow;Derik Fein;2025-01-18 17:16:46.078;2025-01-18
2025-01-18T17:19:57.754Z;Sycophant;Schur;2025-01-18 17:19:57.754;2025-01-18
2025-01-18T17:23:30.951Z;The Door;Teddy Swims;2025-01-18 17:23:30.951;2025-01-18
2025-01-18T17:26:55.479Z;Pickpocket;Schur;2025-01-18 17:26:55.479;2025-01-18
2025-01-18T17:29:50.646Z;The Letter;Steven Rodriguez;2025-01-18 17:29:50.646;2025-01-18
2025-01-18T17:32:51.333Z;Running;Derik Fein;2025-01-18 17:32:51.333;2025-01-18
2025-01-18T19:55:20.720Z;Syncopated;Schur;2025-01-18 19:55:20.72;2025-01-18
