played_at;track.name;name;played;day
2023-10-17T08:17:09.514Z;All the Cats Join In;Allotria Jazz Band;2023-10-17 08:17:09.514;2023-10-17
2023-10-17T08:19:00.431Z;Vicente Amor;shego;2023-10-17 08:19:00.431;2023-10-17
2023-10-17T08:22:11.546Z;Un Manantial;Amatria;2023-10-17 08:22:11.546;2023-10-17
2023-10-17T08:25:15.656Z;Fusión del Núcleo;Chica Sobresalto;2023-10-17 08:25:15.656;2023-10-17
2023-10-17T09:57:42.445Z;That's It!;Preservation Hall Jazz Band;2023-10-17 09:57:42.445;2023-10-17
2023-10-17T11:14:44.173Z;La Nube;Amatria;2023-10-17 11:14:44.173;2023-10-17
2023-10-17T11:17:18.217Z;Dolerme (Don't Hurt Me);EJ Marais;2023-10-17 11:17:18.217;2023-10-17
2023-10-17T11:21:39.767Z;El Pozo (Wisemen Project & Elyella Remix);IZAL;2023-10-17 11:21:39.767;2023-10-17
2023-10-17T11:25:54.887Z;Copacabana;IZAL;2023-10-17 11:25:54.887;2023-10-17
2023-10-17T11:29:41.715Z;Wicked;Cycle;2023-10-17 11:29:41.715;2023-10-17
2023-10-17T11:36:11.345Z;Como el viento;Depedro;2023-10-17 11:36:11.345;2023-10-17
2023-10-17T11:38:54.443Z;Ya no siento nada;Alizzz;2023-10-17 11:38:54.443;2023-10-17
2023-10-17T11:44:03.448Z;Mi Realidad;Lori Meyers;2023-10-17 11:44:03.448;2023-10-17
2023-10-17T12:05:57.366Z;All the Cats Join In;Allotria Jazz Band;2023-10-17 12:05:57.366;2023-10-17
2023-10-17T13:01:24.590Z;All the Cats Join In;Allotria Jazz Band;2023-10-17 13:01:24.59;2023-10-17
2023-10-17T13:02:23.563Z;All the Cats Join In;Allotria Jazz Band;2023-10-17 13:02:23.563;2023-10-17
2023-10-17T13:03:39.646Z;Global Village;Scott Persson;2023-10-17 13:03:39.646;2023-10-17
2023-10-17T13:06:16.275Z;World Tech;Scott Persson;2023-10-17 13:06:16.275;2023-10-17
2023-10-17T13:07:15.781Z;Peacemaker;Douglas Wood;2023-10-17 13:07:15.781;2023-10-17
2023-10-17T13:08:33.058Z;Four Wheel Drive;Scott Persson;2023-10-17 13:08:33.058;2023-10-17
2023-10-17T13:09:33.546Z;Brazil;Douglas Wood;2023-10-17 13:09:33.546;2023-10-17
2023-10-17T13:10:34.846Z;Raindancer;Douglas Wood;2023-10-17 13:10:34.846;2023-10-17
2023-10-17T13:11:11.140Z;Boom Boom;Scott Persson;2023-10-17 13:11:11.14;2023-10-17
2023-10-17T13:17:29.915Z;That's It!;Preservation Hall Jazz Band;2023-10-17 13:17:29.915;2023-10-17
2023-10-17T17:57:56.519Z;Time To Dance;The Shoes;2023-10-17 17:57:56.519;2023-10-17
2023-10-17T18:00:58.521Z;Let The Good Times Roll;JD McPherson;2023-10-17 18:00:58.521;2023-10-17
2023-10-17T18:04:12.361Z;DESPERATE LOVE;JD McPherson;2023-10-17 18:04:12.361;2023-10-17
2023-10-17T18:07:04.361Z;Left Hand Free;alt-J;2023-10-17 18:07:04.361;2023-10-17
2023-10-17T18:13:30.166Z;All the Cats Join In;Allotria Jazz Band;2023-10-17 18:13:30.166;2023-10-17
2023-10-17T18:57:05.402Z;DESPERATE LOVE;JD McPherson;2023-10-17 18:57:05.402;2023-10-17
2023-10-17T19:01:48.469Z;Atomized;Andrew Bird;2023-10-17 19:01:48.469;2023-10-17
2023-10-17T19:05:03.548Z;Time To Dance;The Shoes;2023-10-17 19:05:03.548;2023-10-17
2023-10-17T19:08:29.357Z;Lust For Life / Sixteen;JD McPherson;2023-10-17 19:08:29.357;2023-10-17
2023-10-17T19:12:10.522Z;Feel Good Inc.;Gorillaz;2023-10-17 19:12:10.522;2023-10-17
2023-10-17T19:15:42.536Z;Choreomania;Florence + The Machine;2023-10-17 19:15:42.536;2023-10-17
2023-10-17T19:19:38.297Z;Rolling In The Deep - Recorded At Spotify Studios NYC;Greta Van Fleet;2023-10-17 19:19:38.297;2023-10-17
2023-10-17T19:22:16.545Z;Lonely;Imagine Dragons;2023-10-17 19:22:16.545;2023-10-17
2023-10-17T19:26:09.538Z;Poison Lips;Vitalic;2023-10-17 19:26:09.538;2023-10-17
2023-10-17T19:32:51.329Z;I Don’t Wanna Grow Up;Electrocute;2023-10-17 19:32:51.329;2023-10-17
2023-10-17T19:34:59.671Z;Heavy Soul;The Black Keys;2023-10-17 19:34:59.671;2023-10-17
2023-10-17T19:37:46.512Z;Wild Child;The Black Keys;2023-10-17 19:37:46.512;2023-10-17
2023-10-17T19:41:54.375Z;The Man;The Killers;2023-10-17 19:41:54.375;2023-10-17
2023-10-17T19:46:46.368Z;Delilah;Florence + The Machine;2023-10-17 19:46:46.368;2023-10-17
2023-10-17T19:49:02.576Z;A-Punk;Vampire Weekend;2023-10-17 19:49:02.576;2023-10-17
2023-10-17T19:52:10.488Z;Celebrate Tonight;Electrocute;2023-10-17 19:52:10.488;2023-10-17
