played_at;track.name;name;played;day
2025-07-22T07:56:19.486Z;Kaistaa;BESS;2025-07-22 07:56:19.486;2025-07-22
2025-07-22T08:00:26.564Z;Asúmelo;NIA;2025-07-22 08:00:26.564;2025-07-22
2025-07-22T08:04:06.598Z;Celébrate;Miki Núñez;2025-07-22 08:04:06.598;2025-07-22
2025-07-22T08:09:11.787Z;Nudes;Veintiuno;2025-07-22 08:09:11.787;2025-07-22
2025-07-22T08:15:01.782Z;Nadie lo entiende;Café Quijano;2025-07-22 08:15:01.782;2025-07-22
2025-07-22T08:21:20.908Z;El dorado;Revolver;2025-07-22 08:21:20.908;2025-07-22
2025-07-22T08:24:16.417Z;Mala Vida;Mano Negra;2025-07-22 08:24:16.417;2025-07-22
2025-07-22T08:28:12.515Z;Baila (Sexy Thing);Zucchero;2025-07-22 08:28:12.515;2025-07-22
2025-07-22T08:31:40.019Z;Lucha De Gigantes;Love of Lesbian;2025-07-22 08:31:40.019;2025-07-22
2025-07-22T08:35:21.882Z;Hombre de Ninguna Parte;Xoel López;2025-07-22 08:35:21.882;2025-07-22
2025-07-22T08:40:43.676Z;Iberia sumergida;Heroes Del Silencio;2025-07-22 08:40:43.676;2025-07-22
2025-07-22T08:46:59.915Z;Llegué hasta ti (feat. Juanito Makandé);Muerdo;2025-07-22 08:46:59.915;2025-07-22
2025-07-22T08:50:12.043Z;Mi Realidad;Lori Meyers;2025-07-22 08:50:12.043;2025-07-22
2025-07-22T08:54:46.553Z;La Revolución Sexual;La Casa Azul;2025-07-22 08:54:46.553;2025-07-22
2025-07-22T08:58:23.647Z;Copacabana;IZAL;2025-07-22 08:58:23.647;2025-07-22
2025-07-22T09:04:06.860Z;Quiero mucho más;Colectivo Panamera;2025-07-22 09:04:06.86;2025-07-22
2025-07-22T09:07:02.547Z;Esperando;Nil Moliner;2025-07-22 09:07:02.547;2025-07-22
2025-07-22T09:10:51.205Z;De piratas;Café Quijano;2025-07-22 09:10:51.205;2025-07-22
2025-07-22T09:14:28.059Z;Stand By - Versión 2004;Extremoduro;2025-07-22 09:14:28.059;2025-07-22
2025-07-22T09:19:04.188Z;So payaso - Versión 2004;Extremoduro;2025-07-22 09:19:04.188;2025-07-22
2025-07-22T09:22:42.481Z;Todo se transforma;Jorge Drexler;2025-07-22 09:22:42.481;2025-07-22
2025-07-22T09:27:09.224Z;Balada de John Idea;Tam Tam Go!;2025-07-22 09:27:09.224;2025-07-22
2025-07-22T09:30:27.255Z;La Lola;Café Quijano;2025-07-22 09:30:27.255;2025-07-22
2025-07-22T09:38:24.379Z;Egos;Belize;2025-07-22 09:38:24.379;2025-07-22
2025-07-22T09:41:55.516Z;El Contorno de Tus Miedos;Second;2025-07-22 09:41:55.516;2025-07-22
2025-07-22T09:48:03.816Z;La sirena varada;Heroes Del Silencio;2025-07-22 09:48:03.816;2025-07-22
2025-07-22T09:52:24.972Z;Oración;Heroes Del Silencio;2025-07-22 09:52:24.972;2025-07-22
2025-07-22T12:55:14.542Z;Caravan;Jack Costanzo And His Afro Cuban Band;2025-07-22 12:55:14.542;2025-07-22
2025-07-22T12:58:52.832Z;Are You Ready?;Johnny Zamot;2025-07-22 12:58:52.832;2025-07-22
2025-07-22T13:08:35.640Z;A Night in Tunesia;Arturo O'Farrill & The Afro Latin Jazz Orchestra;2025-07-22 13:08:35.64;2025-07-22
2025-07-22T13:14:28.579Z;Timbale Groove;Willie Bobo & His Orchestra;2025-07-22 13:14:28.579;2025-07-22
2025-07-22T13:23:15.560Z;Welcome to the Party;Har-You Percussion Group;2025-07-22 13:23:15.56;2025-07-22
2025-07-22T13:26:48.388Z;Maria la Gorda;Siberian Hotheads;2025-07-22 13:26:48.388;2025-07-22
2025-07-22T13:29:53.286Z;Só Danço Samba;Sérgio Mendes;2025-07-22 13:29:53.286;2025-07-22
2025-07-22T13:34:45.299Z;Neighbors;Adrian Cox;2025-07-22 13:34:45.299;2025-07-22
2025-07-22T13:38:46.816Z;Ain't Got No / I Got Life (From the Broadway Musical, \Hair\) - (Groovefinder Remix);Nina Simone;2025-07-22 13:38:46.816;2025-07-22
2025-07-22T13:42:01.577Z;PIMP;Bacao Rhythm & Steel Band;2025-07-22 13:42:01.577;2025-07-22
2025-07-22T13:46:51.191Z;The Nights;Avicii;2025-07-22 13:46:51.191;2025-07-22
