played_at;track.name;name;played;day
2023-11-12T10:51:33.373Z;Embryo;Hot Swing Sextet;2023-11-12 10:51:33.373;2023-11-12
2023-11-12T10:54:19.398Z;Effervescent Blues;Hot Swing Sextet;2023-11-12 10:54:19.398;2023-11-12
2023-11-12T10:57:11.661Z;Tunis In;Jonathan Stout and his Campus Five;2023-11-12 10:57:11.661;2023-11-12
2023-11-12T11:00:32.035Z;Free Eats;Girls from Mars;2023-11-12 11:00:32.035;2023-11-12
2023-11-12T11:03:15.606Z;Cole Slaw;Giorgio Cùscito & Swing Valley Band;2023-11-12 11:03:15.606;2023-11-12
2023-11-12T11:06:15.369Z;T'Ain't What You Do (SHIM-SHAM);Giorgio Cùscito & Swing Valley Band;2023-11-12 11:06:15.369;2023-11-12
2023-11-12T11:08:55.604Z;Black Coffee;The Careless Lovers;2023-11-12 11:08:55.604;2023-11-12
2023-11-12T11:14:13.331Z;Kansas City Riffs;Buster Smith;2023-11-12 11:14:13.331;2023-11-12
2023-11-12T11:17:47.275Z;Jive at Five;Reverent Juke;2023-11-12 11:17:47.275;2023-11-12
2023-11-12T11:20:56.452Z;Be Careful;Buddy Johnson;2023-11-12 11:20:56.452;2023-11-12
2023-11-12T11:23:53.634Z;Loose Wig;Hot Swing Sextet;2023-11-12 11:23:53.634;2023-11-12
2023-11-12T11:26:04.893Z;All Star Theme;Stockholm Swing All Stars;2023-11-12 11:26:04.893;2023-11-12
2023-11-12T11:28:56.312Z;24 Robbers;Dean Mora & Rusty's Rhythm Rascals;2023-11-12 11:28:56.312;2023-11-12
2023-11-12T11:31:02.125Z;Jammin' the Blues;Reverent Juke;2023-11-12 11:31:02.125;2023-11-12
2023-11-12T11:34:21.961Z;Lithuanian Artillery;THE SCHWINGS BAND;2023-11-12 11:34:21.961;2023-11-12
2023-11-12T11:37:11.633Z;Castle Rock;Johnny Hodges & His Orchestra;2023-11-12 11:37:11.633;2023-11-12
2023-11-12T11:41:08.150Z;Pennies from Heaven;Reverent Juke;2023-11-12 11:41:08.15;2023-11-12
2023-11-12T11:44:19.847Z;Shufflin & Rollin';Buddy Johnson;2023-11-12 11:44:19.847;2023-11-12
2023-11-12T11:47:15.655Z;Claudia In The Crowd;Sammy Price;2023-11-12 11:47:15.655;2023-11-12
2023-11-12T11:50:20.963Z;No More Love;Buddy Johnson;2023-11-12 11:50:20.963;2023-11-12
2023-11-12T11:53:11.652Z;Silent George;Giorgio Cùscito & Swing Valley Band;2023-11-12 11:53:11.652;2023-11-12
2023-11-12T11:56:19.617Z;Silent George;Lucky Millinder;2023-11-12 11:56:19.617;2023-11-12
2023-11-12T12:06:15.067Z;All the Cats Join In;Allotria Jazz Band;2023-11-12 12:06:15.067;2023-11-12
2023-11-12T12:09:02.752Z;Flying Home;THE SCHWINGS BAND;2023-11-12 12:09:02.752;2023-11-12
