played_at;track.name;name;played;day
2024-02-03T07:28:06.858Z;Caldonia;Louis Jordan;2024-02-03 07:28:06.858;2024-02-03
2024-02-03T07:31:24.623Z;Is You Is Or Is You Ain't (My Baby);Louis Jordan;2024-02-03 07:31:24.623;2024-02-03
2024-02-03T07:37:40.002Z;Early In The Morning;Louis Jordan;2024-02-03 07:37:40.002;2024-02-03
2024-02-03T07:39:57.002Z;Choo Choo Ch'Boogie;Louis Jordan;2024-02-03 07:39:57.002;2024-02-03
2024-02-03T07:42:49.588Z;Knock Me A Kiss;Louis Jordan;2024-02-03 07:42:49.588;2024-02-03
2024-02-03T07:45:31.599Z;Let The Good Times Roll;Louis Jordan;2024-02-03 07:45:31.599;2024-02-03
2024-02-03T07:48:45.203Z;Don't Let The Sun Catch You Crying;Louis Jordan;2024-02-03 07:48:45.203;2024-02-03
2024-02-03T07:52:26.447Z;Beware Brother Beware;Louis Jordan;2024-02-03 07:52:26.447;2024-02-03
2024-02-03T07:55:46.390Z;I'm Gonna Move To The Outskirts Of Town;Louis Jordan;2024-02-03 07:55:46.39;2024-02-03
2024-02-03T07:58:33.321Z;Salt Pork West Virginia;Louis Jordan;2024-02-03 07:58:33.321;2024-02-03
2024-02-03T08:02:13.145Z;Fishtail Blues;Wynonie Harris;2024-02-03 08:02:13.145;2024-02-03
2024-02-03T10:05:37.463Z;I've Found a New Baby;Bobby Hackett;2024-02-03 10:05:37.463;2024-02-03
2024-02-03T10:08:44.366Z;Junior Hop - Remastered - 1995;Johnny Hodges & His Orchestra;2024-02-03 10:08:44.366;2024-02-03
2024-02-03T10:11:41.662Z;Savoy Blip;Jonathan Stout and his Campus Five;2024-02-03 10:11:41.662;2024-02-03
2024-02-03T10:14:41.919Z;Black Market Stuff;Hot Swing Sextet;2024-02-03 10:14:41.919;2024-02-03
2024-02-03T10:17:55.541Z;What's Your Story (What's Your Jive);Hot Swing Sextet;2024-02-03 10:17:55.541;2024-02-03
2024-02-03T10:20:34.338Z;Bottom's Up;Swing Shouters;2024-02-03 10:20:34.338;2024-02-03
2024-02-03T10:29:20.407Z;Minor Swing;Boilermaker Jazz Band;2024-02-03 10:29:20.407;2024-02-03
2024-02-03T10:32:15.310Z;Claudia In The Crowd;Sammy Price;2024-02-03 10:32:15.31;2024-02-03
2024-02-03T10:34:10.903Z;Love Me Right;LaVern Baker;2024-02-03 10:34:10.903;2024-02-03
2024-02-03T10:37:21.823Z;Rockin’ in Rhythm;The Solomon Douglas Swingtet;2024-02-03 10:37:21.823;2024-02-03
2024-02-03T10:40:13.421Z;Jeep Jockey Jump;Bill Elliott Swing Orchestra;2024-02-03 10:40:13.421;2024-02-03
2024-02-03T10:42:34.199Z;Shorty;Bun-Jon & The Big Jive;2024-02-03 10:42:34.199;2024-02-03
