played_at;track.name;name;played;day
2024-09-10T07:34:14.034Z;Toki bat;Gorka Urbizu;2024-09-10 07:34:14.034;2024-09-10
2024-09-10T07:37:59.108Z;Love Me;Ina Forsman;2024-09-10 07:37:59.108;2024-09-10
2024-09-10T07:41:19.090Z;Estrellitas y Duendes;Cyrille Aimee;2024-09-10 07:41:19.09;2024-09-10
2024-09-10T07:44:28.033Z;Take 5;Gypsy Jazz Caravan;2024-09-10 07:44:28.033;2024-09-10
2024-09-10T07:49:57.050Z;Eloise;Tino Casal;2024-09-10 07:49:57.05;2024-09-10
2024-09-10T07:56:45.065Z;Jaleo;Trüby Trio;2024-09-10 07:56:45.065;2024-09-10
2024-09-10T08:00:32.062Z;El dia que et perdoni;La Ludwig Band;2024-09-10 08:00:32.062;2024-09-10
2024-09-10T08:04:10.130Z;Charla del pescado;Juan Perro;2024-09-10 08:04:10.13;2024-09-10
2024-09-10T08:08:01.093Z;Memories;Waldeck;2024-09-10 08:08:01.093;2024-09-10
2024-09-10T08:11:13.014Z;Tiempo al Tiempo;Mr. Kilombo;2024-09-10 08:11:13.014;2024-09-10
2024-09-10T08:14:44.022Z;Canto al cansancio;Karmento;2024-09-10 08:14:44.022;2024-09-10
2024-09-10T08:18:15.040Z;Tócame;La Otra;2024-09-10 08:18:15.04;2024-09-10
2024-09-10T08:22:42.061Z;Cosa de Dos;Pez Mago;2024-09-10 08:22:42.061;2024-09-10
2024-09-10T08:27:46.089Z;Harvest Moon;Neil Young;2024-09-10 08:27:46.089;2024-09-10
2024-09-10T08:31:56.072Z;Como la Cigarra;Nación Ekeko;2024-09-10 08:31:56.072;2024-09-10
2024-09-10T08:36:55.096Z;Itsasoa;Zea Mays;2024-09-10 08:36:55.096;2024-09-10
2024-09-10T13:45:12.107Z;Mirando al Mar;Jorge Sepúlveda;2024-09-10 13:45:12.107;2024-09-10
2024-09-10T13:48:56.058Z;Summer Wine;Nancy Sinatra;2024-09-10 13:48:56.058;2024-09-10
2024-09-10T13:52:25.047Z;A Tomar Café;Ana Carla Maza;2024-09-10 13:52:25.047;2024-09-10
2024-09-10T14:06:02.248Z;Alma Libre;Green Valley;2024-09-10 14:06:02.248;2024-09-10
2024-09-10T15:56:04.573Z;Wham!!!;Hot Sugar Band;2024-09-10 15:56:04.573;2024-09-10
2024-09-10T15:58:43.587Z;Lonely;Imagine Dragons;2024-09-10 15:58:43.587;2024-09-10
2024-09-10T16:03:56.053Z;Wham!!!;Hot Sugar Band;2024-09-10 16:03:56.053;2024-09-10
